vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"9f6sqJ9JvWm2eMC4D2bTRqjkkrzYQ8bzoUJvffmkkKL9","0","21712.313815226997","1.18.22","1","1","1","1","0.9969714567915894","0.9976693914015946","0.9997920649937753","1","0.999552237024615","","0","1","1","1","0.7161167350000001","239379.63214884998","1","2208","2","27052","29262"
"3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ","0","0","1.18.22","1","1","1","1","0.9969714567915894","0.9976693914015946","0.9997147506319447","1","0.9995422609779273","","0","1","1","1","0","0","2","0","0","30067","30067"
"2w4dcnbJDcGrAh4CFAYYpAaEJiUB2q1rFMGByBuB5Cqz","0","29318.839665832","1.18.22","1","1","1","1","0.9935490945235804","0.9997296273265053","0.9997296273265053","0.9992888837890438","0.9994768821906704","","0","1","1","1","13.837389635000001","1353.716704153","3","12","37","26867","26916"
"77hUX7gpQov27qQTBDyJKJXNwm7apatfhEdsStC3YUb8","0","23566.352731079","1.18.22","1","1","1","1","0.9935490945235804","0.9996219902074359","0.9997208995015497","0.9984384550808741","0.9994104731560457","","0","1","1","1","0.000026483","0","4","0","0","51667","51667"
"3eV533fsCb9EkazR6C41rTHnvLfwtzh415U5v5W8hZM4","0","32075.975127651","1.18.22","1","1","1","1","0.9894353114224893","0.9995724446193219","0.9997292653116862","1","0.9992420973532157","","0","1","1","1","0","42.578125154","5","0","0","9235","9235"
"CHiNU8QWVW77kGS3U9MbYLCYkWXGTfPz2iRGoy6r6CA","0","11200.758882802","1.18.18","1","1","1","0.96","0.9996548651421339","0.9996548651421339","0.9981346383434762","1","0.999048157389825","","0","1","1","1","2.348902788","92.581762691","6","1","3","13405","13409"
"4v2os15BGgAnqiy76YvPmAywp5xKh9jfBPfnQGzUVc9c","0","23807.219001624","1.18.22","1","1","1","1","0.9935490945235804","0.9945086628876071","0.9982172253427315","1","0.9988223573897066","","0","1","1","1","0.64110581","0","7","0","3","49342","49345"
"HQuUQmerqwvBRFo1moWgNPpcc43EJxGUQZmgrrmqA9sA","0","36687.577751711","1.18.22","1","1","1","1","0.9935490945235804","0.9945086628876071","0.9989797586232853","0.99841434430668","0.9988184484134348","","0","1","1","1","4.217913806","201.58421585000002","8","4","23","49327","49354"
"EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey","0","38039.281053801","1.18.22","1","1","1","0.99","0.9935490945235804","0.9945086628876071","0.9989797586232853","1","0.9987568778130039","","0","1","1","1","0","0","9","0","0","49095","49095"
"Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH","0","19892.057103114","1.18.22","1","1","1","0.99","0.9935490945235804","0.9945086628876071","0.9982172253427315","1","0.9986584864219646","","0","1","1","1","0","0","10","0","0","48730","48730"
