vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,239152.547217481,386871.3627707114,0.12773431083855447,0.011651369279803458,0.011651369279803458,0,417312.1,OVH SAS,3000000000000,326.966966518,1.13.6
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,1044707.141294082,1198505.8672908286,0.0030349651140375005,0.01285749559577759,0.01285749559577759,0,416755.4,AS-WAVE-1,0,26862.96344162,1.13.5
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,20743.0406453,23320.813197616,0.18556642895134592,0.00357142857142857,0.0015883744392649313,0,416593.0,TERASWITCH,0,0.0,1.14.17
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,296177.798017009,311483.1989616812,0.031138287372879214,0.010742228516380936,0.010742228516380936,0,416501.7,LATITUDE-SH,6501528140136,26259.348365663,1.14.17
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,4633.425691707,31720.5192708392,0.0832151190101301,0.002631578947368418,0.002631578947368418,0,415985.3,UAB Cherry Servers,0,25279.064563533,1.14.17
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,128712.12046702,151152.3243997173,0.031138287372879214,0.025730706793206815,0.016222464140365964,0,415347.5,LATITUDE-SH,2353187612488634,90627.524606083,1.13.6
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,9765.379490095,10125.77120001,0.18556642895134592,0.0,0.0,0,414636.2,TERASWITCH,0,0.0,1.14.17
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,34666.796494644,40822.0698180352,0.18556642895134592,0.0038461538461538438,0.00308362750330641,0,414614.8,TERASWITCH,0,0.0,1.13.7
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,438415.999483633,491211.1424425392,0.017716453468883876,0.015001830723450627,0.015001830723450627,0,413912.6,RELIABLESITE,1000000000000,26534.473328752,1.13.7
5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z,99620.830819535,108417.0493267639,0.0002769954604645667,0.005374053030303028,0.003932124439264931,0,413685.3,TIER-NET,2704427055171,26739.714299497,1.13.6
5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T,110510.307368373,114597.0241858502,0.00029016655108508096,0.0071747845707055054,0.006186815699663584,0,413677.5,Web Werks India Pvt. Ltd.,0,26600.450582323,1.13.5
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,483866.613372313,503868.1321503869,0.0012759207974180086,0.006345147907647908,0.006345147907647908,0,413627.2,ALLNODES,0,26589.419013507,1.13.6
EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z,278311.003719405,293781.0941331508,0.031138287372879214,0.014649680482666105,0.014649680482666105,0,413618.6,LATITUDE-SH,0,25985.725638862,1.13.6
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,145570.442701414,160500.5145886342,0.0037168981963189283,0.004489489489489485,0.003986129958339897,0,413551.1,OOO NIIR-RadioNet,0,26905.065840668,1.13.7
