vote_account,msol_votes
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,1350.088467644
22JsmBbjuGHRypQd46LNGi74z2L23vyefFb3cA4fYW1H,0.131418376
26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,0.646839125
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,52719.235918262
2bm3fmyLq12943jC1UePUcvFho7y1bUik8PisvsRc2yq,1.009254433
4K4qpgksvHbKnk8mpMNncHxihMN1ayidQ8odqJKaN7mH,1.789913578
4qvFxnUXYjBdcviCwVV7gKcGJMCENEBfS82hSLJUhyvu,4.901628866
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,91.27162997
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,1e-09
5nH6sYJNSa71DCBQHgRCsX1dh5W1bWrUPeYieo9xyZ7f,24.59186407
5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv,9992.675793026001
6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,5014.336510335
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,82.27647189199999
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,198.1605346
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,4777.595418448001
73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD,1084.92493979
76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1,179.341433137
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,5.860599596
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,18610.145468967
7bshVP74UGL7gn6CTEztizxKsZrcmwPmB4rT1tVbU3vH,77.935107951
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,958.335094968
9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,8.845912247
9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,28.875625567
9RykQjmjgDZ64o7zf76uUcbr2ai146wcwku4pUSztyLL,1.884034596
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,143.652471818
9xSvmMmFmG9atApxNDH5MY3pxKdicMKAGf7dNrwbTV1q,2.661353442
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,101.840213464
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,107.166523331
B1w6SZcyvjyp6zEyStcc8u9AxXAh2AbYvNzMmP9rRKE9,105.048984007
B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv,71.39625523000001
B9NiU9ZL3Jo2WkZA1X35sSpeyZXxLJpBi7B5Sah7zUQJ,25.412345967
BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,22.007356044
BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,1715.5112872089999
BvsRkzBdyy51NLFTYrk5BF9jjy8rqesS5LHD414kqTmE,1.026450788
BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU,45.014766101
CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY,2.886172766
CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,3800.654411635
CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu,0
CiTYUYPAPHdcri5yEfsmqVcs54J6j8X1QaiFLgYqMVe,3972.5352423739996
CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,9526.280246524
CwSZ17woioM2bqEbaswZJYvx5pemN6t3shBcU6zqPHyG,213.892485794
DfpdmTsSCBPxCDwZwgBMfjjV8mF8xHkGRcXP8dJBVmrq,134.346481416
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,240016.300030037
DySC6eaUthvVVzu4s8GFupm4PzYLNvq372AYnNrKP4xP,1e-09
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,54314.515687848
EFEKcHrUBsRoQkuTSJAQNZnj1u8h9oE4LoCYerednc3F,2138.638146446
EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw,1
Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,0.884165358
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,3628.279059157
ExArtqMtiiuwjReNHtjjuA246ydbvdKoyt7dMnjdpmpB,0
FQ7vjqjz7sxLA9m34TfieT7dZZ6hsaNhJV6r744UDRKR,119.990962206
FVhMWs3bbayWpUqDAbWUPH813gzFzJEo8fzhLhhkGstp,1.755729596
FnAPJkzf19s87sm24Qhv6bHZMZvZ43gjNUBRgjwXpD4v,512.052988647
G11K4toVD1rk4ri7eziJyYENZTXb8h7q59gzaoE3BCHX,0.423086218
GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT,57.332164784
