"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","vemnde_votes","msol_power","eligible_stake_vemnde","vemnde_power","target_stake_vemnde","target_stake_msol","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",2162843.15073244,2255718.70499346,0.00559324335148218,0.0192944601653351,0.0192944601653351,0,414512.2,"AS-WAVE-1",663.595713936,"1.16.17",0.960862468770713,0.973248444817213,0.997567643082968,259,1095,4,0.990049985629871,1,"SLOW_VOTER",0,0,1,0,255.238802306,1490.119653758,0,0,0,0,0,0,0
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",737821.261755081,755385.132083997,0.00967959018303765,0.025146355208329,0.025146355208329,0,415522.9,"RELIABLESITE",43522.878946202,"1.16.17",0.932269125573636,0.965134857195426,1,291,1397,1,0.986897931410977,0,"",1,1,2,1,964.581574492,0,0.00121293478684399,1,0,0,1448,37721,39169
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",159045.932170355,165997.703663744,0.000411602869972764,0.00263594164456233,0.00263594164456233,0,406747.5,"Web Werks India Pvt. Ltd.",41127.254501113,"1.16.17",0.997119896424075,0.996345296123402,0.978881067686041,62,60,14,0.983030443525536,0,"",1,1,3,1,0,0,0,1,0,0,0,37573,37573
"F1FkySZudpAUwfzcgrGVJTrQKFGg2bxBMJooNhRX1RBB",77467.944977045,82094.5444010691,0.000203526106340975,0.00644919017763844,0.00644919017763844,0,406730.8,"I P House Limited",39087.75488335,"1.16.18",0.998575869340499,0.991058269293725,0.978840877361994,26,231,15,0.982816829353435,0,"",1,1,4,1,0,0,0,1,0,0,0,37565,37565
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",277651.593965308,296235.501258776,0.000734413267277258,0.00779589855447055,0.00779589855447055,0,406828.8,"MWAY",50303.205985862,"1.16.17",0.994861099298379,0.989191073054533,0.97907672477257,99,322,8,0.982283116875153,0,"",1,1,5,1,4690.939708286,0,0.00589624568402609,1,0,0,7037,37544,44581
"GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD",157449.101705447,175797.91530097,0.00043569655858418,0.0144102054276473,0.0137260917961869,0,406602.3,"TEXASNET-ASN",37164.724214156,"1.16.18",0.996951305960331,0.98096892584798,0.978531628461391,64,753,22,0.981552909414043,0,"",1,1,6,1,0.006528676,0,0,1,0,0,0,37517,37517
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",224867.785250814,235975.915295538,0.00299952410195658,0.00793083056309321,0.00793083056309321,0,406711.7,"OOO NIIR-RadioNet",39967.664322162,"1.16.18",0.97901146779494,0.989003991320001,0.978794911182994,213,330,16,0.979613541441524,0,"",1,1,7,1,958.335094968,0,0.00120413629616222,1,0,0,1437,37442,38879
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",425200.499169323,434051.796395907,0.00299952410195658,0.0300866069788711,0.0300866069788711,0,406779.8,"OOO NIIR-RadioNet",40261.831043601,"1.16.18",0.97901146779494,0.958285252867342,0.978958801067282,213,1665,12,0.977376630702311,0,"",1,1,8,1,0,0,0,1,0,0,0,37357,37357
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",62828.99995031,63940.4470624859,0.00597597632658262,0.00631578947368422,0.004569869266906,0,406791.1,"HVC-AS",41207.956682111,"1.16.17",0.958184376146422,0.993663926908336,0.978985995717685,261,141,10,0.976914818182925,0,"",1,1,9,1,0,0,0,1,0,0,0,37339,37339
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",96609.078616375,103172.136613457,0.0002557917991646,0.340050064775465,0.0334883237491625,0,402640.9,"CETIN a.s.",39833.500000548,"1.16.18",0.998210151266645,0.953568810265846,0.968998098540417,31,1840,33,0.972305392169485,0,"",1,1,10,1,1.423826455,0,0.00000125692724025284,1,0,0,2,37163,37165
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",440657.899555468,467303.807532627,0.00329595970130116,0.00629876951530558,0.00629876951530558,1,402594.39,"Amarutu Technology Ltd",41326.00306372,"1.16.18",0.976937222710691,0.991266825874969,0.968886167284643,238,216,34,0.971846380318675,0,"",1,1,11,1,0,0,0,1,0,0,0,37146,37146
"6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ",297644.142682247,308321.276815929,0.00967959018303765,0.0106361539867056,0.0106361539867056,0,402773.6,"RELIABLESITE",39816.448335439,"1.16.18",0.932269125573636,0.985253090375694,0.969317455187187,291,527,31,0.964843530261141,0,"",1,1,12,1,0,0,0,1,0,0,0,36878,36878
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",1252520.93614984,1272184.67611342,0.00315489609806991,0.0694122719665089,0.0694122719665089,0,402232.8,"ALLNODES",40439.881967198,"1.16.17",0.9779242852842,0.90376065420007,0.968015962537805,218,1972,37,0.964597603857424,0,"",1,1,13,1,76.990643819,0,0.000096783397499469,1,0,0,116,36868,36984
"DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao",245261.099809756,267957.529844756,0.000664771222520214,0.0571975773141486,0.0571975773141486,0,398848.1,"23M GmbH",39784.866424461,"1.16.17",0.995348404700679,0.920696192962671,0.959870322429883,98,1969,41,0.962315094358681,0,"",1,1,14,1,0,0,0,1,0,0,0,36781,36781
"gangtRyGPTvYWb8K3xS2feJQaCks4iJ7rytFUPtVqSY",178263.045891278,199095.915637336,0.0101706584047921,0.0102568389364921,0.0102568389364921,5,400469.335,"Latitude.sh LTDA",79702.012229078,"1.16.17",0.92883298009294,0.985779006488946,0.963771996681771,391,498,38,0.960089610268657,0,"",1,1,15,1,177.909968396,73181.619673998,0.000223733048765006,1,0.0328537218984875,39210,267,36696,76173
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",5564764.16059766,5574368.87722166,0.0138240741696613,0.0222401581474174,0.0222401581474174,1,402450.048,"AMAZON-AES",39447.829802713,"1.16.17",0.90326897999392,0.969164267211608,0.968538792928139,475,1265,35,0.958545396652372,0,"",1,1,16,1,0,0,0,1,0,0,0,36637,36637
"8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P",66863.500793801,71389.6139834545,0.00101731023834128,0.0106442577030812,0.00911263458893406,4,393286.731,"TIER-NET",3167.424646907,"1.16.18",0.992881587887213,0.987365433135859,0.946486297145115,113,415,56,0.956768583104726,0,"",1,1,17,1,0,0,0,1,0,0,0,36569,36569
"9mg9SH69itqkRdy1CudMforH3ju7uR3K8GH8esGx4Mfx",52016.363419703,53021.3234693443,0.000131481947403795,0.0102380952380952,0.00682550836465035,3,390747.234,"TELUS Communications",37426.834197727,"1.16.18",0.999079983026085,0.990536508298088,0.940374727842918,12,254,59,0.953264904059957,0,"",1,1,18,1,0,0,0,1,0,0,0,36435,36435
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",4249800.32079924,4275387.94698407,0.0107012954465751,0.0141816794384869,0.0141816794384869,5,395428.935,"HURRICANE",39165.142666898,"1.16.18",0.92511996020642,0.980337258631113,0.951641738638232,407,772,46,0.949768812725097,0,"",1,1,19,1,29.984229087,0,0.0000377078172075853,1,0,0,45,36302,36347
"AXA7ztxJGz77RHmocYQ6MEbPYHbpc3TmhtQqZGrdzqo1",77458.602723542,96349.8780570558,0.00908149676727854,0.0913224489075882,0.0294344635185168,4,394613.448,"TIER-NET",33836.588187257,"1.16.18",0.936454157095839,0.959189442547554,0.949679182543249,289,1628,48,0.948376121705517,0,"",1,1,20,1,0,0,0,1,0,0,0,36248,36248
"CCknLtNpJWNzq2cBrwqYxXR9oguZmaXtoMQQQDCec2xY",67629.683699741,68336.7048006453,0.0168723669393185,0.0443504594820384,0.0177404825370059,10,398034.69,"MEVSPACE sp. z o.o.",0,"1.16.18",0.881939199404836,0.975403017576484,0.95791276485604,483,1016,44,0.947569928072812,0,"",1,1,21,1,0,0,0,1,0,0,0,36218,36218
"RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh",100450.155487573,109065.180463267,0.000270356154387978,0.117169459467212,0.0334883237491625,4,388656.48,"MARKLEY-NETWORK-SERVICES",39462.905517237,"1.16.17",0.998108240287349,0.953568810265846,0.935343106240354,33,1840,71,0.946401257941852,0,"",1,1,22,1,0,0,0,1,0,0,0,36173,36173
"Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp",54093.586246915,55169.7877230494,0.0101706584047921,0.0193460925039872,0.00790411144587077,6,392829.538,"Latitude.sh LTDA",0,"1.16.17",0.92883298009294,0.989041037079908,0.945386013622835,391,329,57,0.946197471807242,0,"",1,1,23,1,0,0,0,1,0,0,0,36165,36165
"FXRu5NA4ouLGFuZNNWZFwwnvQz9zE7JCX3D23RJTc2NU",58427.33240171,59406.7378945783,0.00014731756072832,0.0334798534798535,0.0159088377149398,5,386478.905,"Netrouting B.V.",39209.932322815,"1.16.18",0.998969176688495,0.977942572822544,0.930102540678264,14,887,73,0.944377410229398,0,"",1,1,24,1,0,0,0,1,0,0,0,36096,36096
"81LF3sFyx9aANNhZPTyPEULKHV1mTqd3qho7ZLQghNJL",204902.781443061,216834.524460278,0.000549050644331908,0.00955399938599443,0.00955399938599443,5,386269.525,"SERVERS-COM",40654.873721909,"1.16.17",0.996158134844374,0.986753485736288,0.929598645465749,84,454,97,0.944235093083272,0,"",1,1,25,1,0,0,0,1,0,0,0,36090,36090
"GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT",178175.03563044,190156.006025239,0.00047142340388581,0.0125777381659735,0.0125777381659735,5,386040.955,"K4X OU",44459.490491298,"1.16.18",0.996701314955855,0.982561105429309,0.929048567479674,72,666,104,0.943573031549059,0,"",1,1,26,1,57.332164784,17915.621708818,0.0000716448526944121,1,0.00804306813022216,9599,86,36065,45750
"5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM",281577.654163156,292940.702621674,0.00137339198860446,0.0101356674236699,0.0101356674236699,5,386418.865,"SERVER-MANIA",107158.807571044,"1.16.17",0.990389981542674,0.985947009448555,0.929958048040192,146,489,78,0.943562111764294,0,"",1,1,27,1,0.000000001,22344.387900909,0,1,0.0100309470588226,11972,0,36064,48036
"FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb",227133.6120627,237765.954551566,0.0226821231845825,0.0237494784355541,0.0237494784355541,0,399559.9,"RELIABLESITE",39317.182363745,"1.16.17",0.84128666523192,0.967071611359587,0.961583344744658,712,1339,40,0.943498337636154,0,"",1,1,28,1,0,0,0,1,0,0,0,36062,36062
"8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp",217040.604691547,255506.042206387,0.000633787544191697,0.0205565449897561,0.0190293901261429,5,386375.735,"Blix Solutions AS",40824.59078706,"1.16.18",0.995565206402656,0.973615961488838,0.929854251113476,94,1078,82,0.943329914263763,0,"",1,1,29,1,0,0,0,1,0,0,0,36056,36056
"GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j",161162.804812489,171972.188818436,0.000426318548701549,0.0111838105903055,0.0100774685734773,5,385653.64,"SIA BITE Latvija",37790.23978933,"1.16.18",0.997016926590721,0.986027701509342,0.92811645278756,63,485,110,0.943171237120491,0,"",1,1,30,1,0,0,0,1,0,0,0,36050,36050
"AM3wUMazVnap88dVdE26jdSKBeLTe8EitNS7eTV35Tjd",50226.450441332,60102.588685282,0.000148861013761697,0.082275641025641,0.0224309169574853,5,386099.475,"ServeTheWorld AS",38656.392431332,"1.16.17",0.998958376704032,0.968899782235589,0.929189402076275,15,1273,101,0.942977735108185,0,"",1,1,31,1,0,0,0,1,0,0,0,36042,36042
