"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","msol_power","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_msol","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1317208.94819843,1351627.28718863,0.00347168678142723,0.0214618329137382,0.0214618329137382,0,412765.1,"AS-WAVE-1",0,48324.942181798,"1.14.17",0.980587676148494,0.978164361612487,0.996777104644123,215,1523,6,0.992854673873131,0,"",1,1,1,1,44.916313503,0.0000503741681265847,1,0,0,62,39123,39185
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",110803.100424968,114696.249832811,0.000294609399579201,0.0140033737916802,0.0113518739787714,0,410817.4,"Web Werks India Pvt. Ltd.",0,40216.576888149,"1.14.17",0.998352658683115,0.988450407930331,0.992073647964488,37,714,11,0.992760938841649,0,"",1,1,2,1,0,0,1,0,0,0,39119,39119
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",114113.263355611,124714.87523504,0.000320393067167254,0.0190359564055216,0.0162537528249877,0,410491.2,"MWAY",25152661503971,52573.673664842,"1.14.19",0.998208486430025,0.983463151979938,0.991285914962025,42,1187,18,0.99174917495848,0,"",1,1,3,1,6714.999890367,0.0075169453104448,1,0.000604167065052129,749,9323,39079,49151
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",37991.773093516,42554.9151829837,0.00010933729286823,0.907881016042781,0.0281420588348488,0,410407.6,"ZEN-ECN",0,37229.806080392,"1.14.17",0.999388628332037,0.971367784724272,0.991084031212773,14,1747,20,0.990845027193544,0,"",1,1,4,1,0,0,1,0,0,0,39044,39044
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",563401.530795718,592089.648975303,0.00152093067794622,0.01599622019441,0.01599622019441,0,410479.5,"ALLNODES",0,37309.521061497,"1.14.18",0.991495546477887,0.9837251701131,0.991257660896639,159,1165,19,0.990714836310405,0,"",1,1,5,1,0,0,1,0,0,0,39038,39038
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",168335.199089853,315572.487038914,0.0044365573879816,0.0239397698188612,0.0239397698188612,0,410308.4,"OOO NIIR-RadioNet",0,37100.609056451,"1.14.17",0.975192494535499,0.975643265934182,0.99084447537634,263,1624,22,0.98726715452066,0,"",1,1,6,1,3.072691726,0.00000335827787510565,1,0,0,4,38903,38907
"DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao",244217.220770638,250223.455429957,0.000831485107725415,0.0148503708993091,0.0148503708993091,0,408021.5,"23M GmbH",0,37087.509446785,"1.15.0",0.995350658280804,0.984890976917904,0.985321892288258,105,1071,29,0.986831632027853,0,"",1,1,7,1,0,0,1,0,0,0,38885,38885
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",154670.201340718,158820.076699279,0.00522919089591823,0.0211173135375263,0.0129781697437428,0,408999.8,"OOO NIIR-RadioNet",0,36998.180974616,"1.14.17",0.97076039586982,0.986795786613606,0.987684366832432,303,894,27,0.985012326667505,0,"",1,1,8,1,0,0,1,0,0,0,38814,38814
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",597966.220594008,608595.160311479,0.0105939720414487,0.0154863932725465,0.0154863932725465,0,411561.5,"RELIABLESITE",1000000000000,37124.150549612,"1.14.17",0.94076262373593,0.984243876802821,0.993870558225471,311,1125,9,0.984959592809953,0,"",1,1,9,1,0,0,1,0.0000240154044637309,30,0,38812,38842
"6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ",388163.756634007,392664.091069394,0.0105939720414487,0.0348198432491679,0.0348198432491679,0,410358.8,"RELIABLESITE",0,36690.191041297,"1.14.19",0.94076262373593,0.964573691867109,0.990966185196464,311,1821,21,0.981212368561816,0,"",1,1,10,1,0,0,1,0,0,0,38664,38664
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",382185.37086569,392690.357918732,0.00516362112954982,0.016164606482709,0.016164606482709,1,406020.285,"Amarutu Technology Ltd",0,36831.608583844,"1.14.17",0.971127036531765,0.983553851003707,0.98048920344545,280,1177,33,0.97928461219398,0,"",1,1,11,1,0,0,1,0,0,0,38588,38588
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",82817.350727721,87710.8327550705,0.00125682732365863,0.0452999037999038,0.0182499988801104,0,403541.6,"CETIN a.s.",0,36744.493327549,"1.14.17",0.992972309840045,0.981432136867326,0.974503483098394,140,1340,35,0.977877814425489,0,"",1,1,12,1,0,0,1,0,0,0,38533,38533
"GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD",166127.124786306,171040.666155861,0.000439336345105071,0.022212975371512,0.00798101448571635,0,402572.6,"TEXASNET-ASN",0,36719.05384658,"1.14.17",0.997543401825147,0.991879978426071,0.972163466913886,66,352,37,0.977584727016555,0,"",1,1,13,1,0.009757611,0,1,0,0,0,38521,38521
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",5433196.91648174,5449115.14484081,0.0139970072836889,0.0135990814726326,0.0135990814726326,1,406613.691,"AMAZON-AES",0,36524.584202747,"1.14.17",0.921734172622809,0.986164060328293,0.98192220617402,543,953,31,0.972988805178009,0,"",1,1,14,1,0,0,1,0,0,0,38340,38340
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",350165.64809173,356694.849831101,0.0346278664379115,0.0164302955436352,0.0164302955436352,0,412905.3,"LATITUDE-SH",6000000000000,45452.66935983,"1.14.17",0.806374422607591,0.983283534377852,0.997115670453275,654,1206,4,0.96670685262506,0,"",1,1,15,1,0,0,1,0.000144116063991503,179,0,38092,38271
"9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6",136424.275356183,158284.808504906,0.0346278664379115,0.0132626283754055,0.00822432972012102,0,412043.6,"LATITUDE-SH",2353187612488630,117186.761101819,"1.14.17",0.806374422607591,0.991632425316606,0.995034770612005,654,377,7,0.965748382819372,0,"",1,1,16,1,1354.622941431,0.00151682217358938,1,0.0565222872053749,70105,1881,38055,110041
"CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9",72063.32072518,76683.4834956879,0.0346278664379115,0.00795124415814071,0.00683869569837588,0,410924,"LATITUDE-SH",0,36226.43591107,"1.14.17",0.806374422607591,0.993042193231484,0.992331073893557,654,249,10,0.963777059798634,0,"",1,1,17,1,0,0,1,0,0,0,37977,37977
"AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t",1148916.8520947,1171747.3274608,0.0346278664379115,0.020058209094324,0.020058209094324,0,410712.4,"LATITUDE-SH",3299928276640360,138142.686086478,"1.14.17",0.806374422607591,0.979592432657305,0.991820085839232,654,1448,13,0.962349395097293,0,"",1,1,18,1,62.301102579,0.00006940440941885,1,0.0792624642371981,98310,86,37921,136317
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",475358.531437454,482502.599338985,0.0346278664379115,0.0214352871282321,0.0214352871282321,0,410735.5,"LATITUDE-SH",28169757490035,52118.321495609,"1.14.17",0.806374422607591,0.97819136975179,0.991875869506788,654,1519,12,0.962284531541142,0,"",1,1,19,1,0,0,1,0.000676638748207443,839,0,37918,38757
"73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD",28684.055384727,31284.1304188293,0.0346278664379115,0.00584415584415584,0.00519302287000488,0,410001.9,"LATITUDE-SH",0,36151.853710017,"1.14.17",0.806374422607591,0.994716529106192,0.99010431545833,654,152,25,0.962192963761898,0,"",1,1,20,1,0,0,1,0,0,0,37915,37915
"EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z",317820.745655093,325531.313813138,0.0346278664379115,0.0213053373427403,0.0213053373427403,0,410600.8,"LATITUDE-SH",0,36192.611428183,"1.14.17",0.806374422607591,0.978323582901335,0.991550585523245,654,1514,15,0.962044483334536,0,"",1,1,21,1,0,0,1,0,0,0,37909,37909
"5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z",85885.248371074,104701.057909525,0.000269155074554809,0.0146351104401716,0.0112828441316564,4,394094.496,"TIER-NET",2704427055171,36281.804343077,"1.14.17",0.998494989380526,0.988520640085507,0.951689885310228,36,702,60,0.961723805534526,0,"",1,1,22,1,0,0,1,0.0000649550506558392,81,0,37896,37977
"RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh",48548.246666333,51517.0901657571,0.000132337135231123,0.0152777777777778,0.00732606701633265,4,393655.68,"MARKLEY-NETWORK-SERVICES",0,36107.403437409,"1.14.17",0.999260022148187,0.992546333259872,0.950630198476357,16,292,63,0.961336027870755,0,"",1,1,23,1,0,0,1,0,0,0,37881,37881
"Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9",70590.944693104,104551.848686268,0.00406393185637079,0.0138719896004379,0.0114533684160876,4,394384.512,"Latitude.sh LTDA",741077625000000,66286.526096432,"1.14.19",0.977276071756136,0.988347145742032,0.952390238389451,235,722,53,0.95898474408837,0,"",1,1,24,1,2117.685259564,0.00237094417982459,1,0.0178002839727029,22078,2941,37788,62807
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",636130.948560785,715534.369803444,0.00406393185637079,0.0136379694932477,0.0136379694932477,4,393696.48,"Latitude.sh LTDA",808581104861145,84369.579309407,"1.14.19",0.977276071756136,0.986124494986453,0.9507287254736,235,957,62,0.957535684094979,0,"",1,1,25,1,109.667942392,0.00012313685542054,1,0.0194216783321415,24089,153,37731,61973
"GmTownnqSF8zXE4Cy3ZP8daMBPDSc6PnYW6aJLzjwTkz",891778.706849745,895832.3911979,0.00230892291260255,0.0967396182342664,0.0967396182342664,2,396242.812,"GTT Communications Inc.",0,35988.168156455,"1.14.17",0.987089400009416,0.901575446514762,0.956877805031011,177,1831,51,0.957271715141823,0,"",1,1,26,1,0,0,1,0,0,0,37721,37721
"FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb",101678.935226665,109665.317308504,0.0346278664379115,0.0143862901033308,0.0126550070770317,0,406930.9,"LATITUDE-SH",0,35979.645455177,"1.14.17",0.806374422607591,0.987124577875704,0.982688227013929,654,849,30,0.955904284094629,0,"",1,1,27,1,0,0,1,0,0,0,37667,37667
"FXRu5NA4ouLGFuZNNWZFwwnvQz9zE7JCX3D23RJTc2NU",34663.577848309,36943.8352007467,0.0000949021700142422,0.0225,0.00667077516613912,5,390263.61,"Netrouting B.V.",0,35887.502443268,"1.14.19",0.999469343931491,0.993213038472638,0.94243876535047,13,229,73,0.955118413833871,0,"",1,1,28,1,0,0,1,0,0,0,37636,37636
"AM3wUMazVnap88dVdE26jdSKBeLTe8EitNS7eTV35Tjd",27813.547032458,30217.210736752,0.0000776268773625178,0.0333333333333333,0.00459246162994364,5,389999.795,"ServeTheWorld AS",0,35826.825142815,"1.14.17",0.999565940657145,0.995327550453727,0.94180168447357,12,121,93,0.954805867423363,0,"",1,1,29,1,0,0,1,0,0,0,37623,37623
"8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp",261485.796462512,272477.066483645,0.000699845042344536,0.0143165046082633,0.0143165046082633,5,390132.7,"Blix Solutions AS",0,35829.821669013,"1.14.17",0.996086738388802,0.985434141675798,0.94212263375221,88,1023,84,0.953756458151962,0,"",1,1,30,1,0,0,1,0,0,0,37582,37582
