"","vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_self","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_algo_stake","rank","in_algo_stake_set","eligible_mnde_stake","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"1220","6tWV1iEX8vNzboPfm6UBuCGmT3p4btaaxidVYc3wRkki",79568.405539251,82154.7824181286,0.125278254745541,0.0528887837084768,0.052826475578784,10,300966.3,"OVH SAS",0,0,0.370569041681315,0.927630103585411,0.810162513647787,0.751568717186608,TRUE,1301,FALSE,FALSE,0,0,0,0
"1240","F1emDGY23U6YpJj4H4af2CHcHUmiDGgAWs2xvWYZHWdR",25220.166647378,51007.0556192475,0.125278254745541,0.0418308823529412,0.0369725405731646,10,300006.63,"OVH SAS",0,0,0.370569041681315,0.949349281735185,0.807579205618043,0.75125226317525,TRUE,1302,FALSE,FALSE,0,0,0,0
"1195","F6VjFm73ooiStNbFod987ZngYugMimtSqCnnTG8qWSug",80379.140003181,82934.3946737808,0.125278254745541,0.163126964313577,0.0878987003284174,10,302411.43,"OVH SAS",0,0,0.370569041681315,0.879582732558836,0.814052617467875,0.750865153123094,TRUE,1303,FALSE,FALSE,0,0,0,0
"1232","HoFU1hVTYvh4ryBfbYCzTu9dBta73jX3Ag3rzzoqYJG6",79740.130785009,82323.9767014406,0.125278254745541,0.0487134667026213,0.044672118386897,10,300172.41,"OVH SAS",0,0,0.370569041681315,0.938801206310678,0.808025464024757,0.750784148455452,TRUE,1304,FALSE,FALSE,0,0,0,0
"1260","DksQwx83WoiCWWCWqUQZckgfuz5oz3fTweZyFrtTZCfw",101.296931806,28613.9867338654,0.125278254745541,0.0193181818181818,0.0166657223913464,10,298730.61,"OVH SAS",0,0,0.370569041681315,0.977168709630509,0.804144324135748,0.750750002642355,FALSE,1305,FALSE,FALSE,0,0,0,0
"1214","5ysJtUNfmASWjzdQy1vyvrVp9jAg5Vq791HABeobrCX5",79557.443117944,82099.4528735888,0.125278254745541,0.219810125462299,0.0765691305469002,10,301188.51,"OVH SAS",0,0,0.370569041681315,0.895103733771333,0.810760674346037,0.74952681235341,TRUE,1306,FALSE,FALSE,0,0,0,0
"1235","Ckv2pWyskfHVAXmexgFh4uH1HB7ZRXf4L2GXebbrG1eB",79571.730855913,82160.6293423713,0.125278254745541,0.0812021940418679,0.0609582789552096,10,300081.06,"OVH SAS",0,0,0.370569041681315,0.916489898573285,0.80777956159109,0.748878738295909,TRUE,1307,FALSE,FALSE,0,0,0,0
"1073","EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH",269272.176087809,269770.360378058,0.125073718341616,0.203211925684315,0.203211925684315,100,306923.2,"OVH SAS",0,0,0.371596686462882,0.721608798413019,0.826197721169521,0.748213798694923,FALSE,1308,FALSE,FALSE,0,0,0,0
"1253","7PHy8rXJtkfkgpsHVtSiiX3StdwD4MG2VdhoeciLzaHv",79740.730871836,82326.7271332403,0.125278254745541,0.0542984123156,0.0529875181257798,10,299153.52,"OVH SAS",0,0,0.370569041681315,0.927409482536652,0.805282743382842,0.747798076902131,TRUE,1309,FALSE,FALSE,0,0,0,0
"1243","3z39UyCtJf3gcCmBMgLU3LJFUBWP9Fvmr9fhGZXb9Hdi",60165.30766227,62990.9516514403,0.125278254745541,0.104949367797665,0.069264148875319,10,299946.42,"OVH SAS",0,0,0.370569041681315,0.905111230222509,0.807417128053389,0.747724661086079,TRUE,1310,FALSE,FALSE,0,0,0,0
