vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes
9R8ssXug5aeemHc175Kenn35f8DSEXWPis5G8cpqCMiJ,12561.010381115,12561.010481115,0.12527825474554077,0.5119047619047619,0.07485477021069468,100,0.0,OVH SAS,0
9QypR4m2iLGu3Q5tYoM9LqJ1qJyJcteFx16H8Rsai1FQ,14477.188799845,18337.2198463652,0.0,0.6499999999999999,0.08771691808307203,100,0.0,Unknown,0
HpsD6J6mHPXUaGumfnZVWGVc1y8N8ZGP5fqtH2MyP719,14708.044593705,18634.9853396771,0.03546086002731602,0.11354166666666665,0.05184062295718006,100,0.0,WEBNX,0
HPx7uv5ygHanVpVYsJMQGF2L82JuXDJtbxxuS2bY2qgk,14578.161292286,18471.0525942563,0.007371792328263878,0.05333333333333333,0.02014850429778109,100,0.0,Hetzner Online GmbH,0
3BLMdNjzqPTsFTDFk2jL8RFwjKhQRUhwy1jBotBWuBPk,14628.422251546,18138.9817668024,0.01578151877965373,0.16987012987012987,0.06215321217859354,100,0.0,WorldStream B.V.,0
7LCnWqQGpNCiUvBLznYG9Q6Zo7mcLkhAHA7YBjbg8SET,14457.472849397,18318.2751859847,0.0,0.8225396825396825,0.09404355799394186,100,0.0,Unknown,0
HrcY6Tewg1mWUoqCqSctc9i8Qhh53hNUFxMYz6AzGSWi,15619.719301556,19530.4252808996,0.003303503707328019,0.08150793650793652,0.05385159731805628,100,0.0,IP-Projects GmbH & Co. KG,0
HRDjVXVUfqgmPQn45cxaiECU6ZVx9SNxTC9NGPVkMCoj,14367.354948551,17861.4503619899,0.007371792328263878,0.0696825396825397,0.03671720752663815,100,0.0,Hetzner Online GmbH,0
HRfK8kbqCaKYsHk3R8HCtLNDp4aTneq1eSQ9ZrA2Kb2q,14453.04125505,17923.6310077413,0.007371792328263878,0.05416666666666666,0.025587143429711932,100,0.0,Hetzner Online GmbH,0
7LU239aHJ4kn96VzvhoHVgVUurRBBSXgV5zCCVz4m3r7,14695.321260885,18619.6133770528,0.03546086002731602,0.15824675324675322,0.07117938306947347,100,0.0,WEBNX,0
7N55twSEwaY6z7s4GmvDQwLZBNjCFS2zioTzR4cb895g,14563.618127528,18423.1533660734,0.0,0.7966964285714286,0.09404355799394187,100,0.0,Unknown,0
