vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"42U2eB71MKU7mqVpy5b63meM7Pd4YBqwAGSDevjJ9E9z","10","0","1.17.33","0.9767411828753361","0.9292071477049992","0.9","0","0.6558584113220238","0.9904537762405077","0.9306584701238049","1","0.9204706322302951","COMMISSION,NO_BOND","0","0","0","1","0","0","1214","0","0","0","0"
"5TFdzjKE6LnkhQArxWjt26yVCXskPo3fUXE8F351Cfn7","7","0","1.17.33","0.9042838953773198","1","0.93","0","0.6558584113220238","0.9989013765590051","0.9777212788375453","1","0.9198308394014338","NO_BOND","0","0","0","1","0","0","1215","0","0","0","0"
"WTpLibwKTmWo15cRBtJFiBU6NoN8qZEnMDMkuM7N1rH","7","0","1.17.33","0.8903548455449743","1","0.93","0.97","0.8485224845348388","0.8633308897961168","0.9085566003388627","1","0.9190936933955879","NO_BOND","0","0","0","1","0","0","1216","0","0","0","0"
"APXk9VZkjTPFjJNLFvmCDHqMQ7moQd3ywf3qGtSjvHyj","7","0","1.17.33","0.8351483202735763","1","0.93","0","0.9727215566352024","0.9856680989812493","0.9961119356266418","1","0.9190641727566607","NO_BOND","0","0","0","1","0","0","1217","0","0","0","0"
"DD7NQUKUex26GEsM8jpcx36MoGykbdUHJ3LbcD6Lzrfn","7","0","1.17.33","0.9486924446542179","0.9044331816403811","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9187957189158243","NO_BOND","0","0","0","1","0","0","1218","0","0","0","0"
"G5dZZ3J95jER4v7N5LBg73ybxfg9RxFBpVc3LAY57UPu","7","0","1.17.33","0.8997749945237296","1","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.918517661434985","NO_BOND","0","0","0","1","0","0","1219","0","0","0","0"
"4CaonBV9LeqJ2oGhTdbNMWKFcHMbLmCnpCyvrRZtLkz3","7","0","1.17.33","0.8911440753703732","1","0.93","0","0.8485224845348388","0.8633308897961168","0.9942933702585983","1","0.9170407378450373","NO_BOND","0","0","0","1","0","0","1220","0","0","0","0"
"26WLNWKrYSyPkQF2NU9LgLSRXGiXWjhPnvspG8ibFh63","7","0","1.17.33","0.8949459440383033","1","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.9169599032138797","NO_BOND","0","0","0","1","0","0","1221","0","0","0","0"
"BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT","2","58.700680289","1.17.31","0.9885683242184571","1","0.98","0.92","0.9766304510434523","0.9766304510434523","0.7905755914964634","0.300015537137584","0.9163074496020274","SCORE,NO_BOND","0","0","0","1","0","0","1222","0","0","0","0"
"7YsusVeBfTtWx9MrU9DMjTEji69sibXhkVaFjZ4uC1E4","7","0","1.17.33","0.9610512073357391","0.8477176377871665","0.93","0","0.6558584113220238","0.9976023077172801","0.998616808975348","1","0.9161516852900163","NO_BOND","0","0","0","1","0","0","1223","0","0","0","0"
"HDSSJahUByxK1V6nCee62QDtTEFRpM5zSwCn4456QZpX","7","0","1.17.33","0.8225117282234816","1","0.93","0","0.9727215566352024","0.9962389950850792","0.9971456567017243","1","0.9161442260505598","NO_BOND","0","0","0","1","0","0","1224","0","0","0","0"
"xSGajeS6niLPNiHGJBuy3nzQVUfyEAQV1yydrg74u4v","7","0","1.17.33","0.870657072735033","1","0.93","0","0.8495379377555894","0.9913272953509823","0.9414449114582857","1","0.9160651333789548","NO_BOND","0","0","0","1","0","0","1225","0","0","0","0"
"97QujuhmyxD19CpgdyNAcJXvKi6oDeyRPdNep6uXBbA4","7","0","1.17.33","0.8857556015682077","1","0.93","0","0.8485224845348388","0.8633308897961168","0.9995191543462026","1","0.9159768152104811","NO_BOND","0","0","0","1","0","0","1226","0","0","0","0"
"H1kyn75BFTXr8QRmToRRvuEEmYan5n6M5APyfhMLau3b","7","0","1.17.33","0.9690511677428499","1","0.93","0","0.8485224845348388","0.8633308897961168","0.7905755914964634","1","0.9158858929636252","NO_BOND","0","0","0","1","0","0","1227","0","0","0","0"
"2Z3wkL3hKB9ERwcPCDXLok7ZY5SKWC6m2ExhmDRRuCEv","7","0","1.17.33","0.9039111184565062","0.9662931508803221","0.93","0","0.8485224845348388","0.8633308897961168","0.9942933702585983","1","0.9157225502728741","NO_BOND","0","0","0","1","0","0","1228","0","0","0","0"
"FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571","8","0","1.17.31","0.9837123673388108","1","0.92","0.92","0.8485224845348388","0.8633308897961168","0.7905755914964634","0.7487772160424875","0.9156134874166763","COMMISSION,NO_BOND","0","0","0","1","1e-9","4.446655101","1229","0","0","0","0"
"5CBkJdDPMWCmss3Y48B36w78Bgxur4mDib6tQ9yMKe1B","7","0","1.17.33","0.9677654379515082","1","0.93","0","0.8485224845348388","0.8633308897961168","0.7905755914964634","1","0.915471141418031","NO_BOND","0","0","0","1","0","0","1230","0","0","0","0"
"F6VjFm73ooiStNbFod987ZngYugMimtSqCnnTG8qWSug","7","0","1.17.33","0.8899598780661668","0.9896798604118122","0.93","0","0.6558584113220238","0.9947151863796242","0.9935735443415784","1","0.9151859884474183","NO_BOND","0","0","0","1","0","0","1231","0","0","0","0"
"E2J7T2reBRF1VesJJozG6T73RiLoNBqjfFmZR3zoDkGK","7","0","1.17.33","0.9208715498312042","0.9465924034246707","0.93","0","0.6558584113220238","0.9841469812120919","0.9777212788375453","1","0.9151397224859967","NO_BOND","0","0","0","1","0","0","1232","0","0","0","0"
