vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
EFEKcHrUBsRoQkuTSJAQNZnj1u8h9oE4LoCYerednc3F,38970.111026727,39518.41905462,0.000100210098469234,0.0321581196581196,0.0069675358902784,7,380441.517,Online S.a.s.,0,25332.897425255,1.13.7,0,0.999457319159326,0.9878950694328,0.914055302960409,12,363,136,0.932874056719657,0,"",1,1,60,1,1,0,0,25600,25600
GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j,108974.407312005,120398.394169994,0.000547756863832101,0.00723091126316933,0.0051043812320159,8,379110.104,SIA BITE Latvija,0,24782.258919225,1.13.7,0,0.997033660680011,0.991131989648122,0.910856427289118,70,196,143,0.930289506453794,0,"",1,1,63,1,1,0,0,25530,25530
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,14058.626583036,53686.5007836811,0.083977351027184,0.0040204678362573,0.0040204678362573,0,416015.1,UAB Cherry Servers,0,25315.073315547,1.14.17,0,0.545226477678979,0.993015108243151,0.999525002594826,1100,134,3,0.929132160734567,0,"",1,1,64,1,1,0,0,25498,25498
RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq,377612.206222667,388991.736695127,0.00120033107515525,0.0169979666500299,0.0169979666500299,8,379116.36,CETIN a.s.,0,24706.608734045,1.13.7,0,0.993499690281692,0.970468870297563,0.910871458061838,114,1277,142,0.928167910113794,0,"",1,1,65,1,1,0,0,25471,25471
R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21,24747.886077157,45912.0837892766,0.030826883452195,0.00166666666666667,0.00166666666666667,5,391313.17,LATITUDE-SH,0,24006.237360287,1.13.7,0,0.833059149898688,0.997104444871706,0.940175722611126,769,55,83,0.928075382367718,0,"",1,1,66,1,1,0,0,25469,25469
GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT,87945.029341744,104376.143170318,0.000264699559191124,0.0278999368686869,0.0192229493822316,9,373001.265,K4X OU,10386000000000,24818.269249173,1.13.7,0,0.998566537888874,0.966603334201208,0.896179226107414,34,1418,177,0.917348359311777,0,"",1,1,98,1,1,0.000300499072662211,283,25174,25457
eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym,81026.060171706,95958.6136224081,0.030826883452195,0.017809364548495,0.0109030894993034,5,391508.87,LATITUDE-SH,0,25219.745183414,1.13.7,0,0.833059149898688,0.981057701971627,0.940645914782054,769,773,76,0.92720270381458,0,"",1,1,67,1,1,0,0,25445,25445
F2bcoVhE2he5DCruN4PKkWAriNXs2VWty94n9CCdWZ8s,88642.811648198,99901.9690481909,0.00373646878141411,0.0148599137931035,0.0105308425024853,8,379122.708,OOO NIIR-RadioNet,0,24706.602185724,1.13.7,0,0.979765412364387,0.981704418992004,0.910886709875333,224,742,141,0.926930949421085,0,"",1,1,69,1,1,0,0,25437,25437
ASrBTnxfvt8uY164wRrM9xXP925yoHzoRBnVYU5s7DEs,86417.290668454,95474.6527073297,0.00373646878141411,0.0107586067106307,0.00693625383122389,8,378613.212,OOO NIIR-RadioNet,0,23832.68238361,1.13.7,0,0.979765412364387,0.987949416788711,0.909662586061745,224,359,151,0.926469700164226,0,"",1,1,70,1,1,0,0,25425,25425
RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,2145992.99337413,2162373.4995491,0.00548335150036405,0.0101687697270828,0.0101687697270828,8,379261.812,RADIOKOMUNIKACE a.s.,0,24665.928279515,1.13.7,0,0.970305290111645,0.982333460000983,0.91122092352758,278,705,140,0.925781021192313,0,"",1,1,71,1,1,0,0,25406,25406
