vote_account,vemnde_votes
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,656550.046970597
22JsmBbjuGHRypQd46LNGi74z2L23vyefFb3cA4fYW1H,99021.259684594
26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,0
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,1591605.53775692
2bm3fmyLq12943jC1UePUcvFho7y1bUik8PisvsRc2yq,3459.821039928
34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs,5085.767467316
3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,0
4K4qpgksvHbKnk8mpMNncHxihMN1ayidQ8odqJKaN7mH,0
4qvFxnUXYjBdcviCwVV7gKcGJMCENEBfS82hSLJUhyvu,0
54LAJpkmdovUQPRqE4pyDXHRfHpVJqT5MjwEmAEVBboY,0
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,0
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,0
5nH6sYJNSa71DCBQHgRCsX1dh5W1bWrUPeYieo9xyZ7f,0
5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv,14696603.140370494
6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,0
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,0
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,0
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,0
73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD,0
76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1,0
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,0
7DrGM5rSgw8iCnXNxgjfmy4GFy6PuKu3gsujT5TjcDaA,0
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,3811899.5339570697
7bshVP74UGL7gn6CTEztizxKsZrcmwPmB4rT1tVbU3vH,0
81LF3sFyx9aANNhZPTyPEULKHV1mTqd3qho7ZLQghNJL,0
8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,100
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,0
9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,0
9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,0
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,3558865.1063682516
