vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,msol_votes,vemnde_votes,msol_power,eligible_stake_vemnde,vemnde_power,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,6168551.49196858,6181929.26895388,0.0176695166655469,0.00718727342028549,0.00718727342028549,8,378930.06,UNITAS,562937.993856426,1.17.21,0.887137437426965,0.978875883509774,0.897737284485516,491,923,350,0.902347969478374,0,"",1,1,295,0,474427.519230114,689137.824564938,0.372862200810283,1,0.0884377365932877,46463,495894,0,542357
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,724338.369477209,734969.755511274,0.156545403169308,0.0150504747746412,0.0150504747746412,7,382833.105,LATITUDE-SH,373068.042474809,1.17.21,0,0.955765147117486,0.906984133414642,1576,1490,324,0.771200498558762,0,NOT_ELIGIBLE_VEMNDE_STAKE_SCORE_TOO_LOW,1,1,1427,0,354070.599304389,402600.747274566,0.278271291540756,0,0,0,370091,0,370091
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,1027825.27014278,1064997.9747149,0.0140811132874415,0.0206909450264335,0.0206909450264335,7,383191.899,ServeTheWorld AS,376755.58673349,1.17.22,0.910060113619713,0.939187240073874,0.907834165611216,470,1587,312,0.910588394109651,0,"",1,1,243,0,291520.647578429,4601127.6536315,0.2291120288904,1,0.100000003825082,52537,304711,0,357248
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,364467.979272115,434938.923061792,0.00555546423568052,0.0432769344189716,0.0432769344189716,10,359820.72,HVC-AS,173103.857340642,1.17.22,0.964521853829566,0.872804754940028,0.852464637074248,318,1614,1397,0.871268833333972,0,"",1,1,817,0,69417.419996589,1678795.86187626,0.0545561716290932,1,0.100000003825082,52537,72558,0,125095
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,404363.034395835,408325.580389802,0.0147038425050883,0.00603560690562985,0.00603560690562985,4,405237.504,Latitude.sh LTDA,172634.278130723,1.17.20,0.906082127114913,0.982260746752184,0.960063227532406,473,777,94,0.953465944331237,0,"",1,1,85,1,86.533504496,3267474.84847737,0.0000683749936144043,1,0.100000003825082,52537,91,48843,101471
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,1295230.27284773,1389771.01564023,0.0336708532758646,0.00531219259726621,0.00531219259726621,5,391373.02,AS-CHOOPA,118304.278779781,1.17.21,0.784921097979878,0.984386933864732,0.927216363346037,837,658,242,0.909722520252681,0,"",1,1,247,0,49282.228333354,415622.575755193,0.0387316831644261,1,0.053337290508376,28022,51512,0,79534
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,454083.836808941,518788.35830366,0.00528886680370952,0.00569414997125217,0.00569414997125217,5,390298.76,TIER-NET,84278.287995246,1.17.21,0.966224874912473,0.983264322884106,0.924671294065359,302,710,268,0.935571308720203,0,"",1,1,173,0,12501.694835891,2806714.34019062,0.00982556517433659,1,0.100000003825082,52537,13068,0,65605
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,150776.396360971,152812.804096768,0.0147038425050883,0.0304968729551076,0.0149711117494426,3,406562.546,Latitude.sh LTDA,58030.78710299,1.17.22,0.906082127114913,0.955998402997884,0.963202433767217,473,1485,88,0.953860538069222,0,"",1,1,77,1,629.73809376,167502.39070178,0.000495129264104307,1,0.0214956997087085,11293,659,48863,60815
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,215925.259240361,218297.636846876,0.0031225361573829,0.00835645391759944,0.00835645391759944,5,391272.7,Hostkey B.v.,123183.472038435,1.17.22,0.980063368164141,0.975439544918055,0.926978691506596,193,1072,251,0.938873322793254,0,"",1,1,167,0,235.543810881,883837.766645203,0.000185476994172407,1,0.100000003825082,52537,247,0,52784
Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,270454.817619034,302792.407520445,0.0176695166655469,0.00796079372594258,0.00796079372594258,5,391247.62,UNITAS,130550.646787821,1.17.21,0.887137437426965,0.97660242985235,0.926919273546736,491,1027,254,0.924620772321049,0,"",1,1,202,0,102.626418653,9788337.82717198,0.0000809497050837201,1,0.100000003825082,52537,108,0,52645
