vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,msol_votes,vemnde_votes,msol_power,eligible_stake_vemnde,vemnde_power,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,6168551.49196858,6183831.05940162,0.0176900223195306,0.00749964343639667,0.00749964343639667,8,378751.948,UNITAS,563170.293912582,1.17.21,0.888584223599845,0.971416314128468,0.898187125031036,583,910,361,0.90234277012604,0,"",1,1,326,0,471931.801518608,689136.352470285,0.37144849581037,1,0.0313017827617316,16377,492571,0,508948
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,1033111.95516769,1071072.00707725,0.0131532857977241,0.0215822359760376,0.0215822359760376,7,382958.748,ServeTheWorld AS,376912.696316518,1.17.22,0.917160635226144,0.917742775536442,0.908163294440944,474,1574,317,0.910284383876782,0,"",1,1,255,0,291571.355713526,4601128.09454898,0.229489861615499,1,0.208991439859991,109342,304322,0,413664
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,726113.822870904,737923.449641801,0.158759956243514,0.0173558493104131,0.0173558493104131,7,382595.49,LATITUDE-SH,373224.640858687,1.17.21,0,0.933850969192097,0.907301850267818,1565,1527,326,0.769759190143868,0,NOT_ELIGIBLE_VEMNDE_STAKE_SCORE_TOO_LOW,1,1,1422,0,354121.146094526,402236.395349328,0.278721749711535,0,0,0,369608,0,369608
Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,270454.817619034,297931.25207882,0.0176900223195306,0.00864963191478076,0.00864963191478076,5,391060.28,UNITAS,130606.26908067,1.17.21,0.888584223599845,0.96703331782994,0.927375583047911,583,1040,256,0.924458276577595,0,"",1,1,207,0,102.626423203,9788337.82717198,0.0000810692961453517,1,0.264521593918031,138394,108,0,138502
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,405572.296485485,409146.645894356,0.0143686053118209,0.00745837113327213,0.00745837113327213,4,404843.904,Latitude.sh LTDA,172710.035371517,1.17.20,0.909505469332032,0.971573616879954,0.9600626059885,476,900,99,0.953170047340694,0,"",1,1,92,1,86.533508185,3241084.61924943,0.0000684760074237437,1,0.147215878904409,77021,91,48739,125851
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,364467.979272115,423885.026602016,0.00554938803126299,0.0444192120861995,0.0444192120861995,10,361162.752,HVC-AS,173173.730137333,1.17.22,0.965056763091238,0.830703310670607,0.856475420390913,319,1603,1383,0.871197772366324,0,"",1,1,827,0,69403.558038705,1676238.61069589,0.0546265381521553,1,0.0761377759263061,39834,72439,0,112273
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,454083.836808941,513736.152981301,0.00533924827051932,0.00358740839821846,0.00358740839821846,5,390903.435,TIER-NET,84314.192398288,1.17.21,0.966380410667684,0.986327169335821,0.927003634704491,303,382,267,0.937624949055085,0,"",1,1,173,0,13580.64303425,2773115.52114339,0.0106893408830099,1,0.125959886966137,65901,14175,0,80076
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,1320545.93033854,1401457.86803413,0.0342410437039894,0.00624469011816152,0.00624469011816152,5,391124.215,AS-CHOOPA,118354.68193154,1.17.21,0.784331133819434,0.976199367047729,0.927527200997712,839,728,250,0.909241049589517,0,"",1,1,258,0,49000.868923146,404999.617712728,0.0385677337904697,1,0.0183958504623442,9624,51144,0,60768
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,150776.396360971,153993.340865588,0.0143686053118209,0.0310177062884409,0.015491945082776,3,407149.52,Latitude.sh LTDA,65336.132841929,1.17.22,0.909505469332032,0.940954940652772,0.965530233593852,476,1478,86,0.95502063194272,0,"",1,1,78,1,629.748074334,167502.39070178,0.000495860743413317,1,0.0076082349811684,3981,658,48834,53473
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,1064767.64478347,1093401.19902678,0.00893267236997645,0.0131580466402575,0.0131580466402575,0,420108.7,RELIABLESITE,51566.812793263,1.17.21,0.94374582174669,0.949850219542066,0.996262137913878,442,1390,7,0.984612557090325,0,"",1,1,2,1,826.193168356,4363.360570245,0.000650128530253015,1,0.000198186850131212,104,862,50347,51313
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,193305.496464419,232170.288990642,0.000604772785590677,0.0176687732778619,0.0176687732778619,0,419348.4,Edgevana,51159.183307717,1.17.22,0.996202358590299,0.932658309772608,0.994459132873859,82,1530,8,0.989973411976292,0,"",1,1,1,1,458.954496187,348.586376743,0.000361269970201131,1,0.0000158580272390871,8,479,50621,51108
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,367358.648381246,371216.393262487,0.00386596959235662,0.0101353742394451,0.0101353742394451,0,411763.3,OOO NIIR-RadioNet,50969.680796527,1.17.22,0.975660433376753,0.961370649697193,0.976471531231021,205,1189,25,0.975185140673916,0,"",1,1,13,1,1109.218554115,124.099633341,0.000872872324516457,1,0.00000561959217695803,3,1157,49865,51025
DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,63396.470001869,93794.0944986195,0.00281335273365476,0.0126979822782107,0.00937757639731225,0,408004.7,Hostkey B.v.,50262.057827327,1.17.22,0.982290752879431,0.964258874405121,0.967558240762237,172,1124,76,0.969570983675873,0,"",1,1,33,1,820.019917239,683.669964698,0.000645406046982412,1,0.0000310617184027749,16,856,49578,50450
