vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,7887541.05143855,7959804.11279622,0.0210692642871661,0.0587274214114198,0.0587274214114198,8,340764.412,UNITAS,0,1190000,0.895572343182304,0.924370096814467,0.866804243816189,1089,2340,641,0.875658247795459,0,"",1,1,478,0,1,0,0,0,1190000
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1001506.91396637,1006420.24191821,0.0284918971400128,0.0329228315956605,0.0329228315956605,0,380175.9,LATITUDE-SH,3786003153965130,0,0.858782821456432,0.957601568290733,0.967055455065064,1270,1246,18,0.949670904758018,0,"",1,1,27,1,1,0.1,93269,26030,119299
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,63663.38878523,64915.7119837956,0.0284918971400128,0.0265913781780655,0.0201181754838577,0,382237.3,LATITUDE-SH,3083323237488630,0,0.858782821456432,0.974091563573778,0.972299049188393,1270,497,10,0.954972899874659,0,"",1,1,22,1,1,0.0891705878106113,83169,26175,109344
BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,74322.520472375,75955.76203662,0.00836966151471385,0.0214947667464115,0.0127287760790166,10,337163.76,NorthC Deutschland GmbH,4980321694199950,0,0.958516627423426,0.98360772396625,0.857645246209053,638,235,1104,0.882853341607971,0,"",1,1,309,0,1,0.1,93269,0,93269
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,64675.056356404,84837.0122880523,0.0375967868384515,0.0797668454733672,0.042229222268034,10,337258.26,HVC-AS,3225904541222170,0,0.813655365469718,0.945616682718667,0.857885626360723,1308,1727,1098,0.857829513635795,0,"",1,1,801,0,1,0.093294082089964,87015,0,87015
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,447241.35123402,487028.376655792,0.0853438542367677,0.0962642295725084,0.0962642295725084,5,359765.38,UAB Cherry Servers,3208558775723080,0,0.577001901904787,0.876029728739579,0.915137106987991,1708,2478,88,0.860108046340697,0,"",1,1,782,0,1,0.0927924428546056,86547,0,86547
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,129436.268948374,132072.922013945,0.00091014439867069,0.0269038074826378,0.0269038074826378,10,341456.49,SERVER-MANIA,3130659758541690,0,0.99548896223316,0.965352942350735,0.868564686298815,277,845,552,0.895536748446554,0,"",1,1,116,0,1,0.0905395682564536,84446,0,84446
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,146928.256425369,150810.925976989,0.0853438542367677,0.0257583620638326,0.0257583620638326,5,361152.285,UAB Cherry Servers,3105807641144050,0,0.577001901904787,0.966828061197205,0.918664984599136,1708,789,77,0.869806285461395,0,"",1,1,573,0,1,0.089820846659641,83775,0,83775
DfpdmTsSCBPxCDwZwgBMfjjV8mF8xHkGRcXP8dJBVmrq,161243.595769741,167031.218228849,0.00287017915451911,0.44337487118799,0.309551372141212,7,348995.799,ORACLE-BMC-31898,2982660430262400,0,0.985774250127186,0.601355895707069,0.88774246662595,407,2480,143,0.880794543247765,0,"",1,1,356,0,1,0.0862593837748778,80453,0,80453
GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe,170057.495524109,172639.356001969,0.0397665828233932,0.0225393746007601,0.0225393746007601,7,358379.964,WEBNX,2065791843695940,0,0.802900993252843,0.970973513259234,0.91161301695405,1312,615,99,0.899454282254263,0,"",1,1,84,1,1,0.0597433003820902,55722,24654,80376
1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5,330595.6987645,336893.830047385,0.0397665828233932,0.0182199937864864,0.0182199937864864,5,365921.095,WEBNX,1547542089193040,0,0.802900993252843,0.976536065555144,0.930795431912258,1312,400,52,0.914637874706416,0,"",1,1,54,1,1,0.0447553664609948,41743,25070,66813
juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,660102.372867929,667194.707460328,0.00208516034483258,0.0262129076510939,0.0262129076510939,0,379987.8,Latitude.sh LTDA,771753362570855,0,0.98966511569022,0.966242691740624,0.9665769840965,345,805,20,0.970103289545082,0,"",1,1,7,1,1,0.022319322443895,20817,26590,47407
BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,141564.587823693,144685.074321056,0.0267726890366722,0.0440626238492444,0.0313788084996958,10,341022.51,IS-AS-1,1557290301518800,0,0.867303900852793,0.959589980423559,0.867460769068951,1098,1140,604,0.874523497909127,0,"",1,1,500,0,1,0.0450372605896965,42006,0,42006
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,46771.955622918,52641.0360207341,0.0397665828233932,0.0311794742980804,0.0255659994411652,8,350001.304,WEBNX,1550726999478930,0,0.802900993252843,0.967075788173449,0.890300175032362,1312,777,132,0.882759963461751,0,"",1,1,313,0,1,0.0448474645038221,41829,0,41829
CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,1922105.96891368,1935588.7399479,0.0284918971400128,0.0270030923002366,0.0270030923002366,6,368158.52,LATITUDE-SH,592637626900623,0,0.858782821456432,0.965225082128673,0.936486781762549,1270,850,50,0.926742964820541,0,"",1,1,45,1,1,0.0171392673387948,15986,25401,41387
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,313964.883226201,326034.561088304,0.00084047569378383,0.0435716024715929,0.0435716024715929,0,380058,ASN-CXA-ALL-CCI-22773-RDC,48806897898122,0,0.99583426805427,0.943887948808794,0.96675555220917,271,1786,19,0.96947015438531,0,"",1,1,9,1,1,0.00141150201613733,1316,26573,27889
LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq,100754.10700184,107560.462350319,0.000378317882181937,0.113486244226581,0.0532708370678927,1,376708.767,STACKPATH,35293595309016,0,0.998124906051297,0.931397153949047,0.958236090447038,213,2129,32,0.962308297732464,0,"",1,1,19,1,1,0.00102070984394941,952,26376,27328
