vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,737366.288095039,784485.9624254945,0.009845377213956051,0.05104926310451004,0.05104926310451004,0,409242.5,RELIABLESITE,43681.099967525,1.16.17
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,592788.656363788,702223.8498875095,0.13640936594198785,0.011457811844608179,0.011457811844608179,0,409146.4,TERASWITCH,8028.799564323,1.16.18
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,482827.989797648,544750.6470922591,0.1452543068380055,0.047338449699572085,0.047338449699572085,0,408687.8,LATITUDE-SH,61.281041343,1.16.17
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,30819.832336059,45714.6995250859,0.13640936594198785,0.10889662603478394,0.044972336544892876,0,408671.1,TERASWITCH,10.699299701,1.16.17
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,24495.164947264,38962.7086770637,0.13640936594198785,0.11421069245082402,0.03484786980343909,0,408285.3,TERASWITCH,3.459461715,1.16.17
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,2334831.96167398,2418946.1608796846,0.006031766150165895,0.02509591229655097,0.02509591229655097,0,407367.9,AS-WAVE-1,58.026562134,1.16.17
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,881670.341653703,916598.9340859534,0.07918832603895153,0.018834681809397468,0.018834681809397468,0,398985.5,UAB Cherry Servers,2678.009683173,1.16.17
4EsJD6cpaae8rh27U9pHsfxAheCLQnze1bDvXZfpjcUv,70366.887242169,81771.0321460802,0.13640936594198785,0.020017316017316024,0.019592900425415203,0,397294.7,TERASWITCH,1.103994452,1.16.17
5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T,171478.147743303,184485.014701959,0.0004889861447598653,0.00967656682748147,0.00967656682748147,0,397148.3,Web Werks India Pvt. Ltd.,41271.915575532,1.16.17
voEskim7SFWrPx1tV2PVisqyrJejxmDEARX11mtZ5vo,94925.662057659,128471.9633567067,0.1452543068380055,0.016600482713143006,0.016600482713143006,0,397140.0,LATITUDE-SH,0.0,1.16.18
mrgn6ETrBDM8mjjYN8rbVwFqVwF8z6rtmvGLbdGuVUU,43232.336188122,75817.6262416343,0.13640936594198785,0.027656341442115595,0.026042950997643793,0,397130.6,TERASWITCH,3366.92028357,1.16.17
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,767062.861833503,794003.6161621496,0.1452543068380055,0.022749305738220336,0.022749305738220336,0,397128.8,LATITUDE-SH,25808.835297905,1.16.19
EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH,483760.036852894,494145.137359381,0.08687285096494245,0.01730831137480604,0.01730831137480604,0,397113.1,OVH SAS,5.77091916,1.16.18
7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD,64804.534187577,65676.6978108956,0.006338419721490235,0.010021146616541354,0.009598232362545752,0,397101.0,HVC-AS,41352.883484795,1.16.17
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,451567.970476221,467693.0472866733,0.0034213954259857413,0.04657794779819324,0.04657794779819324,0,397098.9,OOO NIIR-RadioNet,40403.438442339,1.16.19
