vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,msol_votes,vemnde_votes,msol_power,eligible_stake_vemnde,vemnde_power,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,6158177.21441135,6186333.89586515,0.0175989402838549,0.00914097345406022,0.00914097345406022,8,380035.348,UNITAS,564090.058152115,1.17.21,0.894457145555577,0.963816838555125,0.902984199246316,593,1049,441,0.906351778625341,0,"",1,1,514,0,461951.712011971,689129.660056176,0.367362129458506,1,0.0309335481164384,16188,483950,0,500138
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,1058045.2737449,1098009.04358109,0.009564616790457,0.0181305276063618,0.0181305276063618,7,384206.994,ServeTheWorld AS,407495.219448287,1.17.22,0.942648212146278,0.928233047524018,0.912896252013705,472,1516,346,0.918653230150279,0,"",1,1,275,0,272698.379127426,4475913.05601909,0.216860015713918,1,0.200913978892916,105143,285684,0,390827
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,738181.353877199,748776.15473072,0.166721144185468,0.0168833736312472,0.0168833736312472,7,383840.853,LATITUDE-SH,373857.446814831,1.17.21,0,0.933169717984224,0.912026281524286,1562,1478,357,0.773340964094391,0,NOT_ELIGIBLE_VEMNDE_STAKE_SCORE_TOO_LOW,1,1,1349,0,352756.895327717,403609.094054066,0.280526034526085,0,0,0,369555,0,369555
Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,204785.440541607,268608.516659847,0.0175989402838549,0.0108149075039685,0.0108149075039685,5,392383.345,UNITAS,135934.95530468,1.17.21,0.894457145555577,0.957190823691358,0.93232369685363,593,1203,268,0.928410929487601,0,"",1,1,224,0,102.626451001,9788337.82717198,0.0000819095908973792,1,0.263898116312353,138104,108,0,138212
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,364467.979272115,402121.904050338,0.0055894588662466,0.0113405268992801,0.0113405268992801,10,377745.891,HVC-AS,170394.128526047,1.17.22,0.966491800270605,0.955110238780494,0.89754432764823,308,1228,797,0.91257977813877,0,"",1,1,378,0,69473.812209383,1664612.87464753,0.0552484166796556,1,0.0747208599918784,39103,72782,0,111885
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,454083.836808941,504115.615109746,0.0057463041583633,0.00657239997267799,0.00657239997267799,5,392172.635,TIER-NET,84456.07165842,1.17.21,0.965551018893922,0.973984148352813,0.931823038686898,326,756,291,0.940255121000741,0,"",1,1,196,0,14437.740938764,2706200.24871561,0.0114816570230715,1,0.121475403212841,63571,15126,0,78697
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,409332.175249535,411907.771348307,0.0126691755722379,0.00926726737757117,0.00926726737757117,4,404005.152,Latitude.sh LTDA,173010.64213576,1.17.20,0.92402660709011,0.963316923152584,0.959937728398112,480,1060,138,0.95467287856261,0,"",1,1,129,0,86.588089308,3127802.29292087,0.0000691857709521553,1,0.140400223958128,73475,91,0,73566
A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg,97179.588848695,167711.142004767,0.000435656423718496,0.0133313141595458,0.0110484721842285,0,413091.6,Clouvider Limited,49756.527561362,1.17.22,0.997405073417658,0.956266293215896,0.981527612114069,63,1219,35,0.982027120091685,0,"",1,1,7,1,114.565343356,932247.514497742,0.0000914524558562972,1,0.0418465807396774,21899,120,49799,71818
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,1333881.05076924,1396773.68709619,0.0354802378909055,0.00635997338251676,0.00635997338251676,5,392373.18,AS-CHOOPA,118554.884711054,1.17.21,0.787202464508986,0.97482500689437,0.932299544272999,845,739,271,0.91324810604941,0,"",1,1,367,0,47346.595507651,338022.765927864,0.0376521689341574,1,0.0151731173262131,7940,49602,0,57542
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,151796.712117094,172271.831394122,0.0126691755722379,0.0208471061150637,0.01772955287317,1,410950.903,Latitude.sh LTDA,65450.714778164,1.17.22,0.92402660709011,0.929820245384214,0.97644120218787,480,1507,82,0.964791190880241,0,"",1,1,70,1,629.794478994,167502.39070178,0.000501000410343193,1,0.00751879613112411,3935,660,48925,53520
