vote_account,current_balance,deposited_balance
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",1170000.026604863,1214034.725192254
"GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt",0.885669321,1.008221562
