vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version
Gfho5i3wo2HiLtG6xPftvyHM3GQr2KAV2coUU9mhndLE,81392.412276804,84763.8440312974,0.04599862056966661,0.011340579710144915,0.005341486331333353,10,375450.21,WEBNX,0,0.0,1.13.7
BeLBaGs8dVP1bcA2zhv1RHmEPFY9PfmSR2mFgoqKkiaz,81568.756006195,82662.4849024651,0.13109695870557916,0.018983748491291596,0.009265598804585929,10,375448.68,OVH SAS,0,0.0,1.13.7
66PSXQ5Z7mFqLZFEMYD657PJFGqwqqqLoFa1rkrp2S7G,80967.789794783,82512.0103057166,0.017748636065955434,0.12827259164535382,0.01528661739609179,10,375443.19,WorldStream B.V.,0,0.0,1.13.6
8e8QYWHrPEEpAk7rDJ3BSKm9YGnfb8cwmGzo6EMb7tYb,81046.110175709,82754.1184474329,0.011731498649121624,0.04064349273775812,0.014844378577165201,10,375441.03,Inetcom LLC,0,0.0,1.13.6
88KvxpFUnahtg4GCuRayvoyysboHp8j1P38EqgjjdB4r,48332.233120606,74302.4874079115,0.017748636065955434,0.051635042588989974,0.013127495757482973,10,375437.43,WorldStream B.V.,0,0.0,1.13.6
Ev683W2Xe56cJDG9Ja5rZDSVgWk1e5NVug3iJUWP2VZL,81261.463247896,82750.456834843,0.04599862056966661,0.012294871794871797,0.0065219454616428415,10,375435.81,WEBNX,0,0.0,1.13.7
BUyTfHHrp3HQ4TQXaXrRrNuhLsbz23auKYNrxkQRfViP,95305.460998505,96754.9066483477,0.13109695870557916,0.0022219221073210838,0.0022219221073210838,10,375434.1,OVH SAS,0,0.0,1.13.7
CbTt6Wyk2HiNjyGiwvAABPoRXrSBxLwFFiWd4rndXwqr,81342.84966255,82831.1361357524,0.04599862056966661,0.01237060041407868,0.007561285188150484,10,375433.2,WEBNX,0,0.0,1.13.7
DTWh2VQuUJmskHuZWy1KLNvzKqk7PeMkCoaNvZy415U7,93119.482132111,94561.1164493609,0.13109695870557916,0.0035244360902255576,0.002781013184219133,10,375429.87,OVH SAS,0,0.0,1.13.7
StakeSuWAzutXc386d7PRaSJLWrNfh5iBhqxqGCkmZ8,9.0,53739.9423354199,0.13109695870557916,0.013866348016584295,0.005681344933153263,10,375428.52,OVH SAS,0,0.0,1.13.7
3ucuV6s4F3jvhvMrx9hz69abis2Q6P14aDxpdtP65kCc,80976.295612601,82490.9896018712,0.011731498649121624,0.055614618624129496,0.012931743428217046,10,375427.62,Inetcom LLC,0,0.0,1.13.6
4CtNJvygjgJ3aY77eLV6Ld5V7g2M9bD2t9XYxYFcbMJ8,82980.632006444,84471.8979363437,0.03051151257496855,0.00078125,0.00078125,10,375426.81,LATITUDE-SH,0,1468.434077703,1.13.6
CGj63fS6gJXm8KvaUkkL5yAZvH9cjeRgHCgJwcZZEsRd,81602.261751061,82716.0536381763,0.13109695870557916,0.03553226958799714,0.005560407000104383,10,375422.49,OVH SAS,0,0.0,1.13.7
EwyKH3mvN2EBSCFmWZmyahRUQbR4WgYqbhzmAg2LYpFL,80502.074811336,81888.5351827987,0.13109695870557916,0.01278338509316771,0.006730520560741454,10,375422.22,OVH SAS,0,0.0,1.13.6
H4Df5oPRBfkTWPSX2arCvmZ2ef5tV7WWp9YtXnnm73yg,81262.567344884,84574.3610014379,0.13109695870557916,0.002083333333333337,0.0013583951067670957,10,375419.7,OVH SAS,0,0.0,1.13.7
4H9t6woq5aDVp9vmtiDjobKAjqMKdVXfS5kkc6RDYwz1,80921.273608246,82423.2677976808,0.13109695870557916,0.00789910600255428,0.003868827685960944,10,375418.17,OVH SAS,0,0.0,1.13.6
GWE9XszRqvos1GhqrjG8LKD3ZTgXWzsS4gQNJzkz2Wmp,81234.239125191,82560.319843371,0.13109695870557916,0.007291666666666663,0.0020996611976730937,10,375413.67,OVH SAS,0,0.0,1.13.7
57SfBPYR4n47Mb6EKW3yAu5tYicUi8bYbui1T4qZ7RYh,80971.01711485,81911.6169831708,0.027375402283937793,0.015017932952715574,0.005500473571387524,10,375411.87,IS-AS-1,0,0.0,1.14.16
Fu8PjDfwWjRBAx9nSynpMRUtn87SraJEexcnDHtcoD6g,81066.29914552,82613.5880777892,0.011731498649121624,0.07262966533847541,0.014100877864725659,10,375408.9,Inetcom LLC,0,0.0,1.13.6
a1exajFBsggm7R7ydb4LwyEAdsLCUKNAiUrre9B12kV,80911.551470208,84144.2301109206,0.014184339650250346,0.033125,0.003987817239035087,10,375403.14,RELIABLESITE,0,0.0,1.13.6
F2wLWDvK3FsvHNXQka6zqQMz3rg5ByuhrcnrMd9URhgk,81194.994237291,82696.5557078928,0.04599862056966661,0.007190561631351111,0.007123465102374021,10,375394.14,WEBNX,0,0.0,1.13.7
5fDZt4wStbJ7WQfax4bFmmjCXC2ChzHCoKHf51GkdwSF,81547.600548337,83029.3835165727,0.04599862056966661,0.0028273809523809536,0.0028273809523809536,10,375390.9,WEBNX,0,0.0,1.13.7
4qpydVthCuWtZMyegKEXC8ZQr5gFqXpyvpgUXZ6zWc5H,80565.369382305,82400.1066997783,0.04599862056966661,0.02731617647058824,0.008378828428723246,10,375390.54,WEBNX,0,0.0,1.13.7
8o3tfZcpTizxtxphuBCXNDxnVX7pFNwpNBLmHyf2Dbvx,80968.828483096,82509.8610998097,0.017748636065955434,0.060146189463077517,0.01734742901285475,10,375388.38,WorldStream B.V.,0,0.0,1.13.6
7fseiF5XbAPadUuBNuDC4AhKZupw5abt2VeQiGeb1qMk,80965.455205574,84308.5920717653,0.01167246668315174,0.016734006734006733,0.005685103117903554,10,375387.39,Inetcom LLC,0,0.0,1.13.6
9o4Y8WvRisPxEpuo4sZBq1CtfNsYanzp87bSgeYuGf3R,82102.981880915,85240.4259659809,0.0015239777454744102,0.024075757575757584,0.0066547447321562096,10,375387.39,LAYER-HOST-HOUSTON,0,0.0,1.13.7
87d9cGc1xHFxoiteZhXjYL48U6B1DAdLhpxXhmVKi1un,81221.127901773,82791.6524796195,0.04599862056966661,0.006548659673659663,0.004317060980180415,10,375384.06,WEBNX,0,0.0,1.13.7
5FYwswmNFCTHUb3v71CXwfgN4PDJFmQwMnLENVFszYhZ,81390.33199189,82861.2435277492,0.04599862056966661,0.012323270183090273,0.006599977379571867,10,375383.52,WEBNX,0,0.0,1.13.7
4ZyrfokvVoHjyUA8bewrURrgkL4ktNHj93qctJnCaJ1u,80984.766691684,82497.9100384412,0.011731498649121624,0.00955555555555555,0.004971641311128243,10,375368.22,Inetcom LLC,0,0.0,1.13.6
BfF3vg8UFcwTkFJNgQ7KQTAZBUWegF3spPm79d71WNwo,86079.753164944,87546.8502150115,0.027375402283937793,0.013159937888198758,0.0036880356369380237,10,375363.72,IS-AS-1,0,0.0,1.13.7
4DW4nrbGrjXRhhj3CH3AYgocExfqEoCCSMxZ9uzc3NpK,81567.854430616,82692.5009438897,0.13109695870557916,0.0203015873015873,0.008824052539708204,10,375363.0,OVH SAS,0,0.0,1.13.7
F7oKL1VEeL5YGNwyFZABpiBiT6i6N11HYJex7jGKSpeZ,90438.320932702,91835.2774325905,0.13109695870557916,0.02287843406593406,0.008328922120201254,10,375357.69,OVH SAS,0,0.0,1.13.7
GzhZDPBjhZpeteBULgSuwpPRd76yTCH8P37PCMmtN1yh,82012.57562419,85394.7671028533,0.13109695870557916,0.012971491228070176,0.004726275357773729,10,375354.18,OVH SAS,0,0.0,1.13.7
DLMhVf7xXa8R2D2y1fZSRVQwXdup7EfwBFbttzn5ppnC,90640.737648435,92027.9397411193,0.13109695870557916,0.008780219780219778,0.00608354973751297,10,375353.64,OVH SAS,0,0.0,1.13.7
DFciHT8BrdMwUqQj5s1uzuN4u7EZ8qzkCgEEYTsF36uD,80930.757161531,82316.5283818986,0.13109695870557916,0.013340848965848973,0.008706790060978185,10,375353.1,OVH SAS,0,0.0,1.13.6
AddV9GtVTtepbNa7MBNDx81wTMRgnXf8nzhRuyinVab5,81107.942429685,84371.6706230607,0.0015239777454744102,0.005166666666666664,0.0028881560413619944,10,375352.83,LAYER-HOST-HOUSTON,0,0.0,1.13.7
C2KtdF4FBNybpJrAW9p57SRxv1cqH7EAFeJPJ9J3biLi,81332.832455482,82731.3826715915,0.002879844836128769,0.017924080849777445,0.008301618496063604,10,375344.73,JSC ER-Telecom Holding,0,0.0,1.13.6
irVai3HewJyN1WJmBNVcTGEDZBMAMUmpvMcXuU94Mbc,80718.7965988,82216.4659018218,0.13109695870557916,0.05827046089950348,0.014003417047258151,10,375344.19,OVH SAS,0,0.0,1.13.7
C2YfFnfw92sDLfYQK1uB9Dq6FkHuFdFqFDM4RMJQFw8w,81260.128381993,82749.0597275559,0.04599862056966661,0.012527454984351528,0.007483883075974217,10,375344.01,WEBNX,0,0.0,1.13.7
H9DZHSMsytPrGKjdsqoMJ19RxrXaaFFZMwN7kgquQj84,81289.661945697,82774.4424152354,0.04599862056966661,0.012234730848861276,0.005305771075452062,10,375338.79,WEBNX,0,0.0,1.13.7
45EFuLYe3dENpTgxTb44xB7NCozKdZpdFoJigUPPfAMj,81262.405042053,82763.3064030737,0.04599862056966661,0.020335580872665283,0.006000991379289018,10,375336.45,WEBNX,0,0.0,1.13.7
7TxqpzzpayaU3F9kVSdgpEc4gfV2UZhCJHJSPftiw7Q5,81546.736692441,83029.1469121974,0.04599862056966661,0.005309364548494977,0.003061199659211552,10,375329.25,WEBNX,0,0.0,1.13.7
6chRekQ2YXnb68NsFhziv48hARVVSAWo9jNbg8UxRzJr,81267.469420498,82790.0967086121,0.04599862056966661,0.016085554911619827,0.006350467418872602,10,375324.84,WEBNX,0,0.0,1.13.7
2nj17ZX4Mwj9yFx7ATBzhN7RzVQfWiSjCdMeeH6NBXe8,80976.103462133,84135.0733860323,0.0032692750083090525,0.01526705893085203,0.006488819416640057,10,375316.83,Amarutu Technology Ltd,0,0.0,1.13.6
J43U4RpHE4DX4XK1s9mvGYuYSL1ELPgK9eFPWdpA3j9y,81355.368175957,82744.8396930288,0.13109695870557916,0.0013157894736842146,0.0013157894736842146,10,375316.47,OVH SAS,0,0.0,1.13.7
EsEtxoyhFTgfvudcy2VwwQJ1qA6BScLUW39PKpYczuxF,125755.786651383,127147.2410249912,0.13109695870557916,0.008764136439441317,0.007902045768676036,10,375315.21,OVH SAS,0,0.0,1.13.7
4k9wwnkxkM6rgri7CpBhLyVXCCFUvq1TSs7EYjVZTckx,80967.099070686,82511.5529716066,0.13109695870557916,0.009393814997263262,0.004332483002322104,10,375313.77,OVH SAS,0,0.0,1.13.6
F1hnW5XU95uyMZ1zfCqC8w6beJEt99CfbJVoFQ7NZEuL,81263.431006488,82901.6509830153,0.10668315706787644,0.005681818181818177,0.0020608116167629598,10,375306.12,WEBNX,0,0.0,1.13.7
A3GVugPZjqiuKSHtWSbH47Q7L9auC9UbTYS2TJCqPxMu,81440.669922826,82893.2508012104,0.04599862056966661,0.005851851851851853,0.003071465663831196,10,375304.95,WEBNX,0,0.0,1.13.7
5pA7CcMXqsG4F87SoWrTmDYMKM1Pk4a619MurCzP8UJU,81446.41716204,82919.2237560602,0.04599862056966661,0.01996115830973403,0.009491893187885708,10,375298.74,WEBNX,0,0.0,1.13.7
7PrwBc81z19peAGLjjq3Bt4uLtRonRrwR963gxJE8i18,80965.332530739,84315.6644637723,0.017748636065955434,0.06005288672679978,0.01386674897143024,10,375293.07,WorldStream B.V.,0,0.0,1.13.6
8j6hfPMpAoETDJGZP5hHnqgpCEsshobghwS6FeFbFykH,81487.953796365,82970.3967813125,0.1149311237083654,0.0031702898550724614,0.0031702898550724614,10,375292.71,WEBNX,0,0.0,1.13.7
6tajb2FFdjiRJLrdwfKQsijHGmeVFcTcXJn6NH3BEoLW,80972.374360842,82454.1990184797,0.13109695870557916,0.006626984126984125,0.0051163671723185155,10,375287.4,OVH SAS,0,0.0,1.13.7
Fgevrsfh8KsFN7eomRWS3N2bjKvqRBGMcEo9oQbT1ikX,81219.902858486,82798.4163317613,0.04599862056966661,0.017042004048583005,0.008613963018342151,10,375284.79,WEBNX,0,0.0,1.13.7
6UgxzgqkEyXMwPtgyDZSn8WGzJ5GdSWG1bSPvy7V6QwV,89842.059617539,91311.2185186172,0.13109695870557916,0.009860844017094018,0.0053931029174331905,10,375281.01,OVH SAS,0,0.0,1.13.7
GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9,81457.896462668,84445.8151813821,0.027375402283937793,0.024376362143603537,0.01083948249362215,10,375272.28,IS-AS-1,0,0.0,1.13.6
8rr2MSUfLmejRVUbsLYRsQCcB8rHsBqjicdGoYhZdvgb,81368.986681032,82692.9042994572,0.04599862056966661,0.010082088390911926,0.005660304957731342,10,375271.83,WEBNX,0,0.0,1.13.7
CvqeNUd9Xq5a2681T1pwr6E86tcbEYnEViCyUfybLSQo,80912.47428686,83857.509736416,0.001780628821306222,0.03648311991664986,0.00672823353668057,10,375267.87,JSC IOT,0,0.0,1.13.7
8BkMULdZ4cG6DYsr3UmRFaDJgSt7XYXEpYFgBjVNZgKm,79828.150783601,82163.1695252286,0.001780628821306222,0.00902937788018433,0.004518197147293587,10,375265.44,JSC IOT,0,0.0,1.13.7
5AXRMFd5rMThbGQE3yDaggReb7jMPP93yuiCP8mW6hxM,79384.676655627,81425.2612724325,0.014184339650250346,0.03542657242807169,0.012996062358255447,10,375262.11,RELIABLESITE,0,0.0,1.13.6
78QvBqfkWbDbyo1DMb2ku42r1UfxecwptjbPWJqxkX6E,81180.424045619,82503.9130631052,0.13109695870557916,0.0013157894736842146,0.0013157894736842146,10,375255.72,OVH SAS,0,0.0,1.13.7
576M4qCLi4H3yzcvADMMjNA8bDrJuiYZz2XCXMxGvaPe,80967.913883518,83202.213931874,0.002879844836128769,0.019552545155993438,0.005179591350681035,10,375253.02,JSC ER-Telecom Holding,0,0.0,1.13.6
Czos5xViyJStxzvZc1B8mEfU91ZZFchXU7sNuY8vensJ,81473.129490301,82938.1575255926,0.04599862056966661,0.012904040404040407,0.0067519979611552604,10,375242.76,WEBNX,0,0.0,1.13.7
Fc2GXrMTuZvZh5cPR9ovSk5Jn9auU4pdjt337G5MczMq,81332.832654537,82796.2482683202,0.04599862056966661,0.0019037356321839004,0.0019037356321839004,10,375240.33,WEBNX,0,0.0,1.13.7
BXaSsyrvY5o19AoRDovjzVyZU9nXHixuDfNjBH8pfbjd,80970.941207856,82453.165229571,0.13109695870557916,0.0,0.0,10,375240.24,OVH SAS,0,0.0,1.13.7
D55pKEVajSQJtxCfF65UJLSXkTpCRaEqrC3a6GRDj1CD,81200.542373993,82714.9386389021,0.10668315706787644,0.006630342837239389,0.005937076062491954,10,375238.44,WEBNX,0,0.0,1.13.7
GushxqHNL1eYcRumKwbijG7dtNH1sbJJRm2rqVZzmUAH,81420.705478467,82918.6103157138,0.04599862056966661,0.0019345238095238027,0.0019345238095238027,10,375233.58,WEBNX,0,0.0,1.13.7
6csfbzZEnk7kGJRy7Xg4cgAuRdFCUdrjckzRnnY1Qj55,80965.75426745,82510.301990822,0.017748636065955434,0.07190262352027059,0.015459272971492754,10,375231.69,WorldStream B.V.,0,0.0,1.13.6
6HNqJpARCvuabtvJFWXbTedMrRpZHZYd7MgYmuFhcbXM,93216.708962073,94670.0435281135,0.13109695870557916,0.011632531555132164,0.007416658118853217,10,375228.63,OVH SAS,0,0.0,1.13.7
52HBJgFBWwMSk6maAqMshgc1iniQKrRiTgXsQCCT66XA,81469.033458324,82929.7505066745,0.13109695870557916,0.002631578947368418,0.0018881560413619935,10,375224.58,OVH SAS,0,0.0,1.13.6
LZrqGh6cErfu2PdTUgPEzzuxKYynKD1dTkDGVbPLtDc,81194.804789172,82689.5216923377,0.04599862056966661,0.0014705882352941124,0.0014705882352941124,10,375218.1,WEBNX,0,0.0,1.13.7
6q9FDuZLXxZAXttw9oNHnya7cvgvrqLW2xbcc7wJdFFz,81295.316337231,82649.1587650758,0.04599862056966661,0.014347398669086497,0.009998364829573596,10,375212.97,WEBNX,0,0.0,1.13.7
9gANMngbGUmAaLXL1RC3JdiaLjRowJXNbzCTh53ht7mq,81458.396126595,82947.1929785356,0.13109695870557916,0.001628151260504196,0.001628151260504196,10,375209.01,OVH SAS,0,0.0,1.13.7
5PKBzZEbwGEXhQj47eiwH6RHAPSCxcVhdYcFttW5gLWQ,88421.252540816,89812.4657689771,0.13109695870557916,0.017101449275362324,0.008308026721317422,10,375205.23,OVH SAS,0,79.314506591,1.13.7
AGGFyRStdTLd2jLngawxETDj1PcctRFHEm7BvFcu9z7f,81401.751313152,82945.4814298351,0.04599862056966661,0.00944036859826335,0.006816827381563964,10,375195.69,WEBNX,0,0.0,1.13.7
kWEiSEQZMeLAbMUiz1njRTZEjuSpJDCgVynB6pJHpcr,80978.763774824,84281.8724785004,0.0032692750083090525,0.01246498599439776,0.0031120419351423714,10,375194.25,Amarutu Technology Ltd,0,0.0,1.13.6
FQKjbNhfmuVAWLexSwA3ACokDJC2zpMm9L1xg1BkHqeQ,80969.055355315,84141.1658108423,0.027375402283937793,0.00873270248270248,0.005858953762159708,10,375193.8,IS-AS-1,0,0.0,1.13.6
HoCWouds6KMeG2R3bncdeoj3B2Tsm5DBKMF5HgXUkQVq,81537.161117494,82941.4734665462,0.13109695870557916,0.005555555555555558,0.0013707528391317724,10,375193.44,OVH SAS,0,0.0,1.13.7
56ixbAMwsBiguYXsbzABGNaQVDeFDXQdA9m6hvyumtLy,80965.792675993,82510.2834659894,0.017748636065955434,0.1180056055056055,0.014388301734458046,10,375193.08,WorldStream B.V.,0,0.0,1.13.6
GmUsURgUQh5cqZXFubyK53U6SYYs3wF6Fc2zEjPQcuHP,81261.981067923,82795.0583925882,0.09819226471717576,0.008407407407407409,0.0033138558519752947,10,375192.09,WEBNX,0,0.0,1.13.7
3m9CSkhxoD3qK99AN2WM8rSfKu91hcMnibr2NswVVbDR,81042.552935397,84384.9351626892,0.07664797262405157,0.016726525286307893,0.00518982284761735,10,375191.55,PACKET,0,0.0,1.13.6
AJeVAZafCgFZSbXTLNsGvih1QWUjnshCVR9ymL58vD1t,80599.736792271,81885.430350057,0.1149311237083654,0.007505291005291004,0.00556610262205396,10,375186.87,WEBNX,0,0.0,1.13.7
9pxdYafUaYcQxCFau9CigKPANoTdL88tGC5hxhAvW5CP,80840.255237191,81523.5443227858,0.011731498649121624,0.007141884531590414,0.0057520366798619995,10,375181.11,Inetcom LLC,0,0.0,1.13.6
AkTJNhRStpi6FmehZi2tit96vQgXkmgpkfGfrp4krQuN,80996.237951467,82543.713061888,0.011731498649121624,0.02589285714285714,0.0037969470765415597,10,375179.76,Inetcom LLC,0,0.0,1.13.6
32PqUswoHFz1mEYqm4bsxyZmtXFQUc4x6a4JjLNwhHVo,82795.302782055,85766.285418619,0.014184339650250346,0.010801460172169552,0.0047392954313120825,10,375175.62,RELIABLESITE,0,0.0,1.13.6
9hRVfSz8GudfGFQd3X7HTjaGRiuwj7dpjS3jtuy8c7mk,81598.069474128,83052.4603508449,0.13109695870557916,0.01663888888888889,0.005347840596505271,10,375175.53,OVH SAS,0,0.0,1.13.6
