vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,7887541.05143855,7990111.19820584,0.0211152297925026,0.0673428281179029,0.0673428281179029,8,334996.104,NorthC Deutschland GmbH,0,1192500,0.895344519849162,0.912202493707327,0.8614816628281,1081,2451,679,0.870592935514358,0,"",1,1,493,0,1,0,0,0,1192500
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1001506.91396637,1006694.1421173,0.0278354844543169,0.038800613944031,0.038800613944031,0,374180.8,LATITUDE-SH,3787393393427080,0,0.862036263899336,0.949414106266128,0.962249691663126,1265,1256,17,0.945844888515082,0,"",1,1,26,1,1,0.100000002744478,93482,26090,119572
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,63663.38878523,64940.554891297,0.0278354844543169,0.0265913781780655,0.0201181754838577,0,376252.2,LATITUDE-SH,3083323237488630,0,0.862036263899336,0.973771139585218,0.967576539035603,1265,370,11,0.951816081364609,0,"",1,1,22,1,1,0.0891530290572451,83342,26255,109597
BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,74298.832677682,75901.9396047632,0.0105287755180758,0.0201789772727273,0.0114129866053323,10,331594.74,NorthC Deutschland GmbH,4981711933661900,0,0.947815199357392,0.985120438340583,0.852734657476051,839,160,1097,0.877545954755067,0,"",1,1,329,0,1,0.100000002744478,93482,0,93482
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,64675.056356404,79176.1491764204,0.049948046511657,0.0845490424430642,0.047011419237731,10,331412.85,HVC-AS,3227294780684110,0,0.752437608226746,0.938709354927509,0.852266906067061,1619,1641,1102,0.843557971696278,0,"",1,1,852,0,1,0.0933159084583692,87234,0,87234
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,456114.874803336,493496.590835285,0.0850587462503153,0.111509556675312,0.111509556675312,5,353935.23,UAB Cherry Servers,3213558775723080,0,0.578415010524027,0.854620584292165,0.910185840471285,1686,2461,91,0.854869923850236,0,"",1,1,786,0,1,0.0929187275753833,86862,0,86862
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,129436.268948374,133089.469712738,0.000929183255943185,0.0324593630381934,0.0324593630381934,10,336076.83,SERVER-MANIA,3132049998003640,0,0.995394598081363,0.957681445667645,0.864260876139612,276,925,536,0.891621492555884,0,"",1,1,118,0,1,0.0905619343784837,84659,0,84659
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,146928.256425369,150433.700404666,0.0850587462503153,0.0318840930579847,0.0318840930579847,5,355548.14,UAB Cherry Servers,3105807641144050,0,0.578415010524027,0.958431447874545,0.914333627183431,1686,893,80,0.866045980058224,0,"",1,1,574,0,1,0.0898031684945761,83950,0,83950
DfpdmTsSCBPxCDwZwgBMfjjV8mF8xHkGRcXP8dJBVmrq,161243.595769741,167012.152248277,0.00287520936246158,0.467891779400551,0.316691571214011,7,342144.768,ORACLE-BMC-31898,2982660430262400,0,0.985749318415211,0.587116683489762,0.879865288417129,404,2464,156,0.873636015730113,0,"",1,1,442,0,1,0.0862423727177571,80621,0,80621
GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe,170057.495524109,172318.19872859,0.0389046560436355,0.0338138844046817,0.0338138844046817,7,353195.028,WEBNX,2065791843695940,0,0.807173045315588,0.955915502633746,0.908282324453711,1299,996,94,0.896391141369388,0,"",1,1,86,1,1,0.0597315367905946,55838,24726,80564
