"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","msol_power","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_msol","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1387623.04672062,1407265.31547056,0.00361737234080695,0.0159152182304834,0.0159152182304834,0,417262.4,"AS-WAVE-1",0,39413.993138111,"1.14.17",0.979413574753005,0.980158497358339,0.999321990058568,226,1611,3,0.994785042111541,0,"",1,1,1,1,255.597092939,0.000293345861646174,1,0,0,373,40171,40544
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",138923.370010813,150033.61644995,0.000385652728291421,0.0174849456099456,0.0130180871479067,0,415019.7,"MWAY",25152661503971,48426.811678803,"1.14.20",0.997805254667121,0.983770350692407,0.993950838890612,54,1402,18,0.993760711456367,0,"",1,1,2,1,6797.417587193,0.00778856180316034,1,0.000586938472988689,747,9908,40130,50785
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",48438.219597475,48546.9921041231,0.000124790371716516,0.973290043290043,0.0218333836837544,0,414987.6,"ZEN-ECN",0,39888.732064873,"1.14.17",0.999289819400147,0.972780320460334,0.993873961041371,12,1793,21,0.993084582282642,0,"",1,1,3,1,0,0,1,0,0,0,40103,40103
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",728431.22877724,753857.64052526,0.00193778562823695,0.010045838853546,0.010045838853546,0,415100.8,"ALLNODES",0,38705.192037339,"1.14.18",0.988972083816093,0.987475852654753,0.994145069220001,165,1105,12,0.992836208652842,0,"",1,1,4,1,0,0,1,0,0,0,40093,40093
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",90403.786221915,91527.3301256176,0.00129566591290947,0.0288156332914397,0.00922945530123834,0,413930.7,"CETIN a.s.",0,38364.290273896,"1.14.20",0.99262637988346,0.988493638033196,0.991342739893018,129,996,29,0.991321061286946,0,"",1,1,5,1,0,0,1,0,0,0,40031,40031
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",121306.174159412,125520.644034862,0.00404187406499221,0.0131294473434535,0.00800430541061476,0,415065.6,"HVC-AS",0,39174.250598529,"1.14.17",0.976997740222073,0.990021032407512,0.99406076703018,233,824,14,0.99112493716565,0,"",1,1,6,1,0,0,1,0,0,0,40024,40024
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",343724.232213967,348443.861736634,0.00466098279312557,0.0180909178972085,0.0180909178972085,0,414989.4,"OOO NIIR-RadioNet",0,38783.027981064,"1.14.20",0.973474399423642,0.977446052573755,0.993878271948806,254,1716,20,0.989475197762238,0,"",1,1,7,1,0,0,1,0,0,0,39957,39957
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",163498.77171471,165801.146981784,0.00599732704420315,0.0153717635464838,0.0128468595986882,0,414488.2,"MEVSPACE sp. z o.o.",0,38500.256889781,"1.14.19",0.96586927934277,0.983983820078811,0.992677923723283,271,1384,26,0.987884739692091,0,"",1,1,8,1,0,0,1,0,0,0,39893,39893
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",646465.402272972,673835.028145987,0.0118430019224586,0.0162453692250429,0.0162453692250429,0,415955.6,"RELIABLESITE",1000000000000,38689.427858844,"1.14.20",0.932601609453805,0.979746898111893,0.996192271261455,439,1627,8,0.985144063818004,0,"",1,1,9,1,0,0,1,0.0000233374680353865,30,0,39782,39812
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",427322.51166989,437223.279573385,0.00708927129827433,0.00821662732801428,0.00821662732801428,1,410920.191,"Amarutu Technology Ltd",0,38447.661575975,"1.14.20",0.959655036892045,0.989756330672106,0.984132725655048,275,852,32,0.980799512385129,0,"",1,1,10,1,0,0,1,0,0,0,39607,39607
