vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,101.550228125,15466.4708058051,0.08887563058023754,0.0017857142857142904,0.0017857142857142904,0,416336.5,UAB Cherry Servers,0,0.0,1.13.6
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,267931.511682255,284669.1303881917,0.029813927344676115,0.014481137863442694,0.014481137863442694,0,416044.6,LATITUDE-SH,6501528140136,24449.933273778,1.14.15
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,1037175.517924629,1042694.7926592098,0.0026876809669130986,0.0186897963115361,0.0186897963115361,0,416030.1,AS-WAVE-1,0,33940.17957274,1.13.5
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,46119.23071957,49484.9299528736,0.19272775036962092,0.0,0.0,0,415927.4,TERASWITCH,0,25432.714964448,1.14.15
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,173272.466698113,224739.8904757423,0.13105675800116587,0.015125763940940206,0.015125763940940206,0,415832.6,OVH SAS,3000000000000,27318.267266844,1.13.6
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,9773.314120025,9806.4299073108,0.19272775036962092,0.0,0.0,0,415600.2,TERASWITCH,0,50.805915469,1.14.15
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,44880.262003671,45820.6292817758,0.19272775036962092,0.0019230769230769273,0.0019230769230769273,0,413640.2,TERASWITCH,0,8366.721798776,1.13.6
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,64715.294592439,78410.8287718712,0.029813927344676115,0.00757575757575758,0.0020996611976730945,0,413571.8,LATITUDE-SH,3083323237488634,118972.505555775,1.13.6
Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,2389642.621698696,2690388.5195559924,0.029813927344676115,0.00566761618724787,0.00566761618724787,4,413063.952,LATITUDE-SH,8507500000000,0.0,1.13.6
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,436040.425859737,440279.4705951024,0.010791223922606856,0.019904841386336303,0.019904841386336303,0,412529.6,RELIABLESITE,1000000000000,31684.735604765,1.13.6
5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T,116227.293335831,119927.2519233943,0.00030917568467095065,0.011713434097405273,0.009368926040002928,0,411159.4,Web Werks India Pvt. Ltd.,0,31094.868120232,1.13.5
7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD,41017.416715932,41980.1985425058,0.00010820888702774125,0.5795454545454545,0.023261057670337475,0,411152.4,ZEN-ECN,0,32036.677780389,1.13.5
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,145283.072388044,162347.7450058394,0.0036584760681652364,0.011362617441401357,0.009989903917545957,0,411120.2,OOO NIIR-RadioNet,0,28151.260696267,1.13.6
6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ,364271.474527918,371706.8121382107,0.010791223922606856,0.023434520553352666,0.023434520553352666,0,411111.3,RELIABLESITE,0,30027.068547501,1.13.6
GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD,116679.150516906,120019.3567204679,0.0003093713813812916,0.00497685185185186,0.003210246958618956,0,411093.2,TEXASNET-ASN,0,30955.490763734,1.13.6
CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9,45086.065151711,56715.9823254888,0.029813927344676115,0.014126984126984132,0.0075068733649552,0,411086.7,LATITUDE-SH,0,21812.513072398,1.13.6
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,468816.619499264,475050.9548819099,0.0012243438068862726,0.006269759113461604,0.006269759113461604,0,411055.9,ALLNODES,0,29901.963251679,1.13.6
F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK,3005743.844009376,3078888.1481580315,0.13105675800116587,0.009189004307585392,0.009189004307585392,0,411055.6,OVH SAS,0,0.0,1.13.6
MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F,73549.480344933,77309.5863952815,0.0028446112402851107,0.013388543823326448,0.009165286033525136,0,411020.4,ORACLE-BMC-31898,0,29046.0162472,1.13.6
5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z,98602.803787998,104148.668543773,0.0003674283178284748,0.008453874377090099,0.007624926360901394,0,411013.2,TIER-NET,2704427055171,33743.691748845,1.13.6
DDBCYLw8kkN8ZLHsBeT42YvEz5F6eq57zqaLCyLzFQnG,25083.043081094,41346.9188881362,0.029813927344676115,0.00978021978021979,0.008273531524749382,0,411012.0,LATITUDE-SH,0,21156.770832272,1.13.6
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,123631.000517244,138963.6438326108,0.006614879790408538,0.011563912831354694,0.009438245301722496,0,411004.3,Inetcom LLC,0,26057.019227093,1.13.6
EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z,259044.067810189,268326.3328275342,0.029813927344676115,0.011819219717229667,0.011819219717229667,0,411003.7,LATITUDE-SH,0,30122.523398406,1.13.6
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,58645.068064266,85786.445931851,0.00022096241583387165,0.015292698913388558,0.010236750912319072,0,410975.5,MWAY,25152661503971,31425.131983719,1.13.6
CertuszpSb9Qb8v5HhndmSdCC3WoKAiFoBEXmNhjJPUg,676801.158711305,677447.0276118101,0.07830740589674502,0.0065081998898146145,0.0065081998898146145,0,410922.9,PACKET,0,22633.963289927,1.13.6
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,155548.068195887,178778.7381386652,0.029813927344676115,0.007049559928483573,0.007049559928483573,0,410877.5,LATITUDE-SH,0,32007.295745282,1.13.6
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1001627.07036545,1016199.1000767527,0.029813927344676115,0.0098670028563694,0.0098670028563694,0,410830.1,LATITUDE-SH,3785800961206107,118783.344166117,1.13.6
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,314552.767847823,316536.7149672635,0.0008159229050655574,0.00982075324101186,0.00982075324101186,0,410527.2,COGENT-174,28169757490035,31697.598712318,1.13.6
73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD,20146.255474787,20958.1320147395,0.029813927344676115,0.019166666666666665,0.00653434216849694,0,410497.2,LATITUDE-SH,0,20190.020983596,1.13.6
DujbfBa9RitWFkjhVqyV3h4rp2nsf7ikU7C484TwKShR,39022.002144032,41861.2392120253,0.00010784722112294413,0.0642823842823843,0.01360446494885616,0,410320.4,CENTURYLINK-US-LEGACY-QWEST,0,30488.882276049,1.13.6
GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e,2786064.774878627,2818482.5492735985,0.0720208992634174,0.011755221084305555,0.011755221084305555,0,409577.4,PACKET,0,114.097455181,1.14.15
juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,671752.452409578,703036.5741578331,0.0023458649167869394,0.008281611220620166,0.008281611220620166,4,409294.788,Latitude.sh LTDA,778459672267214,52032.393256838,1.13.6
3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,51726.797071629,72526.7309098973,0.07830740589674502,0.006744505494505493,0.006744505494505493,0,409264.7,PACKET,75227499272000,28562.616744747,1.13.6
bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8,84489.861041432,89864.6720191735,0.00348809316137356,0.0073483748052713405,0.006190008435024413,0,409255.9,CETIN a.s.,0,27505.675198084,1.13.6
BACKboNezqTz4fKH3x26e6xVXL4r9ApVoBL5x9qfj1oS,57387.580031609,63055.1635224882,0.02693684418058565,0.015909090909090907,0.005991780259343701,0,409222.5,LATITUDE-SH,0,24447.353688804,1.13.6
DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao,231390.552302483,236387.0399107053,0.000830039644396484,0.007186353301366477,0.007186353301366477,0,408909.3,23M GmbH,0,29382.807693436,1.13.5
4EsJD6cpaae8rh27U9pHsfxAheCLQnze1bDvXZfpjcUv,20809.587924148,25638.7231483649,0.19272775036962092,0.0125,0.003664812462137612,0,407157.8,TERASWITCH,0,25826.102754141,1.13.6
3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,6382189.234894903,6418957.390293839,0.030798616716669173,0.009356174196392564,0.009356174196392564,1,406943.064,AMAZON-AES,0,0.0,1.13.6
GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr,215535.127025759,217982.4395748921,0.002876430947689691,0.012943953157436317,0.012943953157436317,1,406787.931,Amarutu Technology Ltd,0,28722.760178418,1.13.6
EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH,289819.299332253,295474.8629957408,0.0012304174706762572,0.016460372720920057,0.016460372720920057,0,406220.5,JSC Ufanet,0,26117.153506213,1.13.6
LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq,82946.299710908,110729.989459305,0.0003546103842085552,0.12620589285854997,0.023261057670337475,1,405283.428,STACKPATH,35293595309016,0.0,1.13.6
BEARSLRLiizzRK7oJzhDUoPCzP1EG7Xt1WqCLL7zeN81,61299.669818379,62110.4292390684,0.029813927344676115,0.0012499999999999955,0.0012499999999999955,2,402783.822,LATITUDE-SH,0,26179.793070982,1.13.5
2PEyBgsPYBQ8pMdXQtEaPGNqWQHE9GCnmV2tTVN4GMru,1138627.599112869,1185022.7166038353,0.13105675800116587,0.007073393952189611,0.007073393952189611,0,400427.4,OVH SAS,0,21676.356158217,1.13.6
ADRLhsipVVkHJiFhzKjKY3YPkisiARU8yoSmNEpcGvmw,314.567497465,321.8159922931,0.19272775036962092,0.0,0.0,6,399219.232,TERASWITCH,0,0.0,1.14.16
DeNodee9LR1WPokmRqidmAQEq8UbBqNCv6QfFTvU6k69,51819.877220617,56755.8029379461,0.029813927344676115,0.0038461538461538438,0.0020996611976730945,3,398801.047,LATITUDE-SH,0,15664.439466741,1.13.5
GmTownnqSF8zXE4Cy3ZP8daMBPDSc6PnYW6aJLzjwTkz,851367.015002351,853339.1877142083,0.002216922544459851,0.01819931938980245,0.01819931938980245,2,398693.694,GTT Communications Inc.,0,0.0,1.13.6
HLM6hyDWrEca9QMS92nDBa2AreU1qDkppttPVuJ7E2CU,2841.220252161,6793.3817102047,0.08887563058023754,0.05,0.003664812462137612,0,398681.6,UAB Cherry Servers,0,12925.060914425,1.13.6
J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,2573163.036379098,2579149.4260344636,0.19272775036962092,0.007630223811077075,0.007630223811077075,3,398492.781,TERASWITCH,0,13.999023235,1.14.16
8sLiGeRXLcwtPRWwCQ4QxBXCcipZ31wfXjnnujT3KUTW,234.289372138,71166.3031700098,0.12415351608766706,0.004876593062734369,0.004674002456179086,3,398407.615,AMAZON-02,0,0.0,1.13.6
8RDsLp5kLZEt2swpKne8JuZAN6PFRX1ak29Hci2DT1Xa,1222062.880716807,1224718.657140613,0.19272775036962092,0.012510729264848097,0.012510729264848097,3,398026.502,TERASWITCH,0,0.0,1.13.7
25NKahLoee3o1z6wYU1rqf1dJgMmmfN7KBc6WmyNxt51,419148.351793645,437773.308606157,0.12415351608766706,0.006393180063863813,0.006393180063863813,3,397859.759,AMAZON-02,0,0.0,1.13.6
7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8,1161698.496105183,1168111.612497503,0.10007867740595049,0.01364915247631202,0.01364915247631202,2,397635.49,UAB Cherry Servers,0,0.0,1.13.6
ChaossQVry9AgexbXooZoWUTDfhT1x5zsAmTbBqa5142,29527.277013871,40431.7849392485,0.029813927344676115,0.01071428571428571,0.0053488869963901845,0,397628.3,LATITUDE-SH,44084519610969,22367.302521109,1.13.5
8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW,1694754.462252198,1698509.6605820018,0.12415351608766706,0.008712971028973426,0.008712971028973426,3,396372.749,AMAZON-02,0,0.0,1.13.6
BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,4122966.641584632,4219159.589221896,0.011000400929816955,0.014218459688509922,0.014218459688509922,5,394819.525,HURRICANE,0,1140.696884076,1.13.6
Eb1oa4AfSUb5bHrKnNdSkZwjoAofMcLnkF7LgYBAyfsY,611509.467111872,612792.1549023485,0.07830740589674502,0.009908897827710617,0.009908897827710617,4,394576.128,PACKET,0,15637.550240358,1.13.6
Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9,20712.314177897,27193.5424265655,0.0023458649167869394,0.0,0.0,4,394313.088,Latitude.sh LTDA,4000000000000,20984.279444036,1.13.6
J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB,2921687.859588896,3454334.7872379385,0.19272775036962092,0.011067497747040179,0.011067497747040179,4,394157.568,TERASWITCH,0,1026.320815154,1.13.7
