"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","vemnde_votes","msol_power","eligible_stake_vemnde","vemnde_power","target_stake_vemnde","target_stake_msol","target_stake_algo","target_stake"
"oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe",161752.766918849,184000.175933982,0.00344661193912437,0.0251941789821816,0.0224952291827145,0,418169.5,"Edgevana",141.059212382,"1.17.20",0.976924566353149,0.962344610646663,0.995165645766108,200,1673,5,0.989834630847234,0,"",1,1,1,1,333.90503669,291.855394229,0.000263924381713675,1,0.0000330487492117894,27,318,43546,43891
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",1041754.24846008,1069009.95705619,0.0087865425207808,0.00937590396027809,0.00937590396027809,0,420200.9,"RELIABLESITE",48673.155589069,"1.17.20",0.941173162948241,0.984305413770354,1,442,1121,1,0.989742441512833,0,"",1,1,2,1,732.364050688,4452.72204405,0.000578421100043145,1,0.000503699845220293,418,697,43542,44657
"9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH",78396.366378799,89923.2485392647,0.000286180818242905,0.0101722351722352,0.00653053979519086,0,407427.3,"Adworlds Technologies Lp",0,"1.17.20",0.998083988972648,0.989068347929332,0.969601207422449,41,804,13,0.975480646161471,0,"",1,1,3,1,0,0,0,1,0,0,0,42914,42914
"A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg",71062.210557571,78017.2480371899,0.00020251994211962,0.00701058201058201,0.00701058201058201,0,407412.1,"Clouvider Limited",0,"1.17.20",0.998644107439687,0.988264791922866,0.969565034249094,29,861,20,0.97547718071486,0,"",1,1,4,1,13.102000746,0,0.0000102725058750832,1,0,0,12,42914,42926
"CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ",106300.655136744,115585.870482391,0.000490057741112301,0.0193656948212275,0.014514157021245,0,407424.2,"JSC Ufanet",2.512995939,"1.17.20",0.996719011281834,0.975704349160825,0.969593829998936,81,1454,14,0.974236974747219,0,"",1,1,5,1,164.563472906,0,0.000130381805337594,1,0,0,157,42860,43017
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",432311.464134139,468263.60888645,0.00121696722337951,0.00862825710949656,0.00862825710949656,0,407409.2,"MWAY",54188.840766489,"1.17.20",0.991852274955961,0.985556920613707,0.969558132788388,126,1049,21,0.974218676800731,0,"",1,1,6,1,207.451528131,264.279645223,0.000163569901241709,1,0.0000298613063944087,25,197,42859,43081
"MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM",133845.594101766,147409.858732967,0.000578360235759083,0.026626448539381,0.0184914627600497,0,407367.2,"H4Y-TECHNOLOGIES",31.741365716,"1.17.20",0.996127816684919,0.96904662654082,0.969458180598852,90,1598,29,0.973529543530706,0,"",1,1,7,1,29.061875924,6.539860064,0.0000229155900290317,1,0.000000796860704345177,1,28,42828,42857
"AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4",12114.03757783,18744.1180446615,0.00252221917305242,0.05,0.00419603737002373,0,406482,"PERFECT-INTERNATIONAL",0,"1.17.20",0.983113474276024,0.992976136423149,0.967351569213679,171,487,44,0.971747598239383,0,"",1,1,8,1,0,0,0,1,0,0,0,42750,42750
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",349121.339234674,365338.336138982,0.00344947549055486,0.0106203092964755,0.0106203092964755,0,407355.4,"OOO NIIR-RadioNet",44726.982155298,"1.17.20",0.976905394571644,0.982222369091534,0.96943009879322,201,1224,30,0.971564165089771,0,"",1,1,9,1,1129.997049814,124.099633341,0.000892917818372614,1,0.0000140079723816468,12,1076,42742,43830
"FMKT6kHBkmPf3LjZV5tpo3oR4m32rF8nF8JtC3WWcWoN",11038.081428817,30574.2028636804,0.00252221917305242,0.0314484126984127,0.00709032187564134,0,406241.2,"PERFECT-INTERNATIONAL",39540.469333769,"1.17.20",0.983113474276024,0.988131313146482,0.966778509993672,171,873,45,0.970934104741173,0,"",1,1,10,1,1.30211663,9371.909052311,0.000000790192759621782,1,0.00106016025707565,879,1,42714,43594
