"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_stake_algo","eligible_stake_msol","ui_hints","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"EREdwtKaz2Myg5E1v5akDLdAoV19qNqxrNXy95FGBzPP",60425.389185936,62902.7376043535,0.0354283001606752,0.105576973280231,0.0636853800223201,10,320013,"WEBNX",0,0,0.822534487966004,0.907549024651164,0.851664670658683,0.851481900551538,1,1,"",587,0,1,0,0,0,0
"9J7Hvujf8LZiKBaXGmA1XwYszfVenieTdta1imwoC3QD",138961.430355595,153024.44174101,0.0736921347763741,0.0313284996800844,0.0313284996800844,5,332639.555,"PACKET",0,0,0.630865371139549,0.95452095362194,0.885268276779774,0.851456497207598,1,1,"",588,0,1,0,0,0,0
"H1wiu8FvJZ3UqUCGMNfVeAbtB7YJMcL9aHGPJdvPNKTm",128103.35941847,130031.252077972,0.0354283001606752,0.0696882129728541,0.0629842976618384,10,319911.84,"WEBNX",0,0,0.822534487966004,0.908566773905446,0.851395449101796,0.851353095450417,1,1,"",589,0,1,0,0,0,0
"28h6qi6YXJH2DPJd275fX7eL7LQjxD6bo8BTs7YFKhUA",44808.063880666,77387.7889584386,0.0243308140851818,0.0779095406657326,0.0618945916577025,10,315643.05,"IS-AS-1",0,0,0.878123410938481,0.910148681446715,0.840034730538922,0.851287908362531,1,1,"",590,0,1,0,0,0,0
"2B3zQ7CymNKj2ouGspdxRPjXH4ggh9YeqfyGMgLzb6wS",79042.550860967,80809.4703382151,0.0354283001606752,0.12744783153536,0.0797020360198601,9,320790.743,"WEBNX",0,0,0.822534487966004,0.884297919479453,0.853734512308716,0.851285539884509,1,1,"",591,0,1,0,0,0,0
"7PHYfBQAdbbHXvQCbdLPgnkXofDyPx1pkSjkf7GyYer9",79539.543142419,81552.0930439169,0.0354283001606752,0.0595051759834369,0.0481468926750066,10,319060.17,"WEBNX",0,0,0.822534487966004,0.930105980583612,0.849128862275449,0.851266429174624,1,1,"",592,0,1,0,0,0,0
"4jx1b7HCN9nCxygP3hruC85BxcYndhxby4hkNexuHvxT",79026.044500445,80829.5107573924,0.0243308140851818,0.0409454273584708,0.0364178072273451,10,314138.61,"IS-AS-1",0,0,0.878123410938481,0.947132893027349,0.836030898203593,0.851052976687711,1,1,"",593,0,1,0,0,0,0
"DKGtK1iPahJcqNm5DLnDNHqY2pLxm2qAjL6uZGykdM68",60445.889696834,63094.1953082637,0.0354283001606752,0.107225677685262,0.0641315424037032,10,319794.57,"WEBNX",0,0,0.822534487966004,0.906901338364164,0.851083353293413,0.850984911325408,1,1,"",594,0,1,0,0,0,0
"GApBrTVrqcS4k1RcGs6PHhAswzWjmpCgpvAp88vVbTQ1",103.749652322,52282.2011778534,0.0100514204398103,0.0653737326270221,0.034301215801916,10,308530.08,"MEVSPACE sp. z o.o.",0,0,0.949650972049743,0.95020551254579,0.821104670658683,0.850811858710162,0,0,"NOT_ELIGIBLE_ALGO_STAKE_MIN_STAKE_BELOW_1000",595,0,1,0,0,0,0
"D7fnHDRyonVgZFoDd5ESmgwPxG8iZNopWcvYaDm991jx",79513.231351279,83763.9874897462,0.00204595664439896,0.187916851228441,0.0654562439179588,10,307183.59,"JSC IOT",0,0,0.989751505382676,0.904978291865956,0.817521197604791,0.850745636821478,1,1,"",596,0,1,0,0,0,0
"9xSvmMmFmG9atApxNDH5MY3pxKdicMKAGf7dNrwbTV1q",53006.160040486,65362.5260595206,0.00202344397789445,0.0845453566041801,0.0360251912885276,7,305544.99,"HVC-AS",0,0,0.989864274605878,0.947702846860842,0.813160319361277,0.850694968437336,1,1,"",597,0,1,0,0,0,0
"9DBZwngoxasx4uf2FxUaDpgWTTDo6RGthsEzTxVCWW8c",79046.360110223,80814.0377418471,0.0354283001606752,0.0689103895760242,0.0569471642664065,10,319254.03,"WEBNX",0,0,0.822534487966004,0.917330777049074,0.849644790419162,0.850680589013285,1,1,"",598,0,1,0,0,0,0
"EXYEG9LAhC2AP9FYGGUhjJDTKfCU57S1Mi3Zp28cV6CU",25132.3359798,47583.8255707043,0.00877341425776785,0.42936974789916,0.0879239794811454,10,310860.81,"HOSTING-SOLUTIONS",0,0,0.956052691027232,0.872362264985558,0.82730754491018,0.850580238164755,1,1,"",599,0,1,0,0,0,0
"DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f",1320783.37733313,1340329.3589225,0.0631567212531228,0.0345545345923036,0.0345545345923036,7,328416.48,"Leaseweb Deutschland GmbH",0,0,0.683638790889136,0.949837773996733,0.874029221556886,0.850569813180298,1,1,"",600,0,1,0,0,0,0
"GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9",82291.123772645,84071.6469315842,0.0243308140851818,0.0664171339085527,0.0562610856837802,10,314965.62,"IS-AS-1",0,0,0.878123410938481,0.918326745576034,0.838231856287425,0.850530163871327,1,1,"",601,0,1,0,0,0,0
"BCAJXBV1jCJA1KPfn4u8f19qmoVWJiRStudbxVi5rW5b",80690.496419373,85891.70179835,0.00204595664439896,0.242787618083671,0.0792054629580861,10,307815.21,"JSC IOT",0,0,0.989751505382676,0.885018786087721,0.819202155688623,0.850503334903023,1,1,"",602,0,1,0,0,0,0
"6QbXuFT59Gu9ihxPmUcLFpTfgXwaSxoJPUTcEDkidPAE",60535.888411945,63168.3298906596,0.0354283001606752,0.0463385462147072,0.0385829321942127,10,318161.43,"WEBNX",0,0,0.822534487966004,0.943989818198104,0.846737005988024,0.850494527231565,1,1,"",603,0,1,0,0,0,0
"HWPnjLn1Mhtv6YuxCDY58pJVqFrurruWPTXFVSVQC6Cj",1.001,43762.6958259987,0.0354283001606752,0.0596112677527151,0.0410378928745337,10,318274.56,"WEBNX",0,0,0.822534487966004,0.940425993828066,0.847038083832335,0.850451985237187,0,0,"NOT_ELIGIBLE_ALGO_STAKE_MIN_STAKE_BELOW_1000,NOT_ELIGIBLE_MNDE_STAKE_MIN_STAKE_BELOW_100",604,0,0,0,0,0,0
"9rRrsNWovWQ9PvmYf3pBFv59tZy4KCY3hhAY5gRmGabs",384.109793265,50136.9506057606,0.0354283001606752,0.0714423076923077,0.0480918761985684,10,318649.77,"WEBNX",0,0,0.822534487966004,0.930185847060113,0.848036646706587,0.850432406927538,0,0,"NOT_ELIGIBLE_ALGO_STAKE_MIN_STAKE_BELOW_1000",605,0,1,0,0,0,0
"9Mj5zVMTWuRoJJy76tHDPqnTEjQRo8vmhPKVFGZLNpvQ",78699.871011635,80504.1310529791,0.0243308140851818,0.0389519801377386,0.0323548675145484,10,313554.06,"IS-AS-1",100305628027,0,0.878123410938481,0.953030993016702,0.834475209580838,0.850309993130927,1,1,"",606,0,1,0.00000450661645854107,4,0,4
"GuPnsaM3j4ojKe2KJpcaAWNmhk5n2kaJxc8ZKkowdxrw",79114.074800076,80917.9197151666,0.0243308140851818,0.115212686586026,0.0789062147744206,10,316079.55,"IS-AS-1",0,0,0.878123410938481,0.885453199550302,0.841196407185629,0.850281853329504,1,1,"",607,0,1,0,0,0,0
"5TFdzjKE6LnkhQArxWjt26yVCXskPo3fUXE8F351Cfn7",41452.294408604,70556.1473119098,0.0354283001606752,0.0770724789915966,0.0560675073876655,10,319003.92,"WEBNX",0,0,0.822534487966004,0.918607759872815,0.848979161676647,0.850266796351638,1,1,"",608,0,1,0,0,0,0
"A8jgSjcAaTz4iDMjhsLVryoWXzgXeRjQXiPp8fKcayF8",60459.241937092,63053.9401530838,0.0354283001606752,0.0633344596579891,0.0479983496637492,10,318483.9,"WEBNX",0,0,0.822534487966004,0.930321617928748,0.847595209580838,0.850103283820703,1,1,"",609,0,1,0,0,0,0
"4Dh6frby55aY5NXdCGYe6yU61xusgzNHBa3GeXWMLPJ4",80047.816286103,82059.9894329172,0.0354283001606752,0.173205714783301,0.0863774018525756,10,320557.05,"WEBNX",0,0,0.822534487966004,0.874607405238531,0.853112574850299,0.850061702282579,1,1,"",610,0,1,0,0,0,0
"G9oM5tuM9E9r4Q9N5cNbm7NbT8bGuaQFdJ7QTPXVYHeJ",62772.657316423,65176.7238065791,0.000834053763388945,0.135893719806763,0.0748939815380043,10,306893.97,"HVC-AS",0,0,0.99582210330407,0.891277689816415,0.816750419161677,0.850032776003179,1,1,"",611,0,1,0,0,0,0
"2cbRaWTzuPM2zbCaZDNbwft9omJBAyxcavJ6Xp2vQNNk",81370.369632876,83170.9660464261,0.0243308140851818,0.0715949408778356,0.0512812241226553,10,314377.2,"IS-AS-1",0,0,0.878123410938481,0.925555925307188,0.836665868263473,0.849881648447606,1,1,"",612,0,1,0,0,0,0
"4aFj9VyXDrqU4TnKWnMVuPaAVTaF4GZLLKZN2iZivW29",110502.410671694,112454.403670444,0.0130127464357802,0.101154902020631,0.0682261011305311,10,311040.09,"24SHELLS",0,0,0.93481725911994,0.900957337593726,0.827784670658683,0.849879889416956,1,1,"",613,0,1,0,0,0,0
"7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh",146928.256425369,152004.051253902,0.0844489461899727,0.0371761893961636,0.0371761893961636,6,336233.359,"UAB Cherry Servers",3105807641144050,0,0.576982937133124,0.946031962622759,0.894832625415835,0.84987108392672,1,1,"",614,0,1,0.0999999966863114,93956,0,93956
