vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,score,eligible_stake_algo,eligible_stake_msol,ui_hints,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
HQbdXrLm3EuFyu66mCpDS4ir9zRkhNHJVnck4vxG7jEo,131806.039745076,137178.517789389,0.0027753826476218,0.0670538473363079,0.0575495542726129,6,341197.816,JSC ER-Telecom Holding,0,0,0.986097704365812,0.916456297795049,0.908044753160346,0.920699941394625,1,1,"",33,1,1,0,0,25744,25744
CertuszpSb9Qb8v5HhndmSdCC3WoKAiFoBEXmNhjJPUg,677536.966438141,679501.602822756,0.042347798750715,0.0363811534442401,0.0363811534442401,0,354644.5,PACKET,0,0,0.787873712407177,0.947186102696461,0.943831004657352,0.920095659544949,1,1,"",34,1,1,0,0,25728,25728
RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh,60459.586606195,72578.3468447575,0.000189083900200784,0.0395815472653708,0.0381279697321747,4,337547.328,MARKLEY-NETWORK-SERVICES,0,0,0.999052851223052,0.94465027941146,0.898329548902196,0.91738857468304,1,1,"",35,1,1,0,0,25652,25652
8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp,243007.132870708,247949.660081119,0.000646294608647573,0.052695279040153,0.052695279040153,5,337784.28,Blix Solutions AS,0,0,0.996762616238197,0.923503166003975,0.898960159680639,0.915894615022058,1,1,"",36,1,1,0,0,25610,25610
7DrGM5rSgw8iCnXNxgjfmy4GFy6PuKu3gsujT5TjcDaA,137699.764318777,139981.936414929,0.00124687478821344,0.0428563387508091,0.0428563387508091,5,337397.345,Psittacus Systems LIMITED,0,0,0.993754222705322,0.937786187096571,0.897930392548237,0.915738350614583,1,1,"",37,1,1,0,0,25606,25606
CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9,39302.657158982,43660.0483370813,0.0492059103121633,0.0558333333333333,0.0393662709581411,0,355197.6,UAB Cherry Servers,0,0,0.753520433409342,0.94285265873186,0.945302994011976,0.915609497359254,1,1,"",38,1,1,0,0,25602,25602
FCvNkHa4U3yh7AXWGGL2jWLWiSRouR8EtzY5WVTHKTHa,132746.233945977,138828.863319187,0.000361847706815632,0.0409760066121084,0.0387318879685324,5,336601.34,uvensys GmbH,0,0,0.998187452170239,0.943773581651901,0.895811949434465,0.915251383102848,1,1,"",39,1,1,0,0,25592,25592
FXRu5NA4ouLGFuZNNWZFwwnvQz9zE7JCX3D23RJTc2NU,12399.961031978,23724.387579193,0.000203526149643494,0.135208333333333,0.0565447664160514,5,336406.59,Netrouting,0,0,0.998980507893549,0.917914931115997,0.895293652694611,0.912985574911477,1,1,"",40,1,1,0,0,25529,25529
cvotehJbE3GoPGWWFGTPLfZev1XAeAUopH7Uh5CzXnS,10723.353819125,35415.9514968735,0.00202344397789445,0.165567765567766,0.0690107690608778,2,337405.474,HVC-AS,0,0,0.989864274605878,0.899818248599359,0.89795202661344,0.912235927995809,1,1,"",41,1,1,0,0,25508,25508
6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ,339134.862884565,367795.289701695,0.0139249398313301,0.137090492856441,0.137090492856441,0,345568.4,RELIABLESITE,0,0,0.930247949633424,0.800988079663046,0.919676380572189,0.912172906511676,1,1,"",42,1,1,0,0,25506,25506
ChaossQVry9AgexbXooZoWUTDfhT1x5zsAmTbBqa5142,23619.106347409,25565.9584618339,0.0266392516012659,0.0348214285714286,0.0173096482467753,7,338909.889,LATITUDE-SH,6365616061496,0,0.866560111431239,0.974871880126981,0.90195579241517,0.902119232857012,1,1,"",52,1,1,0.000286899156603298,270,25225,25495
F1FkySZudpAUwfzcgrGVJTrQKFGg2bxBMJooNhRX1RBB,86801.57437739,91750.8874066792,0.000239242458444888,0.0375141432641433,0.0307639214695732,5,333345.215,I P House Limited,0,0,0.998801599704315,0.955340542139809,0.88714628077179,0.909569734558949,1,1,"",43,1,1,0,0,25433,25433
H7fXvnLCKtZqJBTipxeseabGfAZUdHJ9XuP6hCKrbvUb,24382.599890408,28739.8500975289,0.00039520065934588,0.0738095238095238,0.0466585541859794,5,334089.635,STACKPATH,0,0,0.998020382376549,0.932266576075255,0.889127438456421,0.909198594260966,1,1,"",44,1,1,0,0,25423,25423
