"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"5xaCbKhVdjvS2LMFbZe24TgJiVHaAEUXWswS8vTmFDLZ",80623.101354832,82369.7876451387,0.128210707327532,0.0212070697844355,0.0132688877992832,10,363934.89,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.983333972325673,0.884107916416449,1912,1333,737,0.808970714283827,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1177,0,0,0,0,0,0
"BeLBaGs8dVP1bcA2zhv1RHmEPFY9PfmSR2mFgoqKkiaz",70798.656216083,78628.0097101187,0.128210707327532,0.0395461424540372,0.0175109549007529,10,364151.07,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.978005838666025,0.88463308301801,1912,1718,591,0.808964832157363,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1178,0,0,0,0,0,0
"6zvpPt26s3abg8SSj5qNbfevsGnWXubanXFx7UdxoKai",80559.92831113,82119.8809858391,0.128210707327532,0.057719007113744,0.023233163995587,10,364446.72,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.970818612684813,0.885351306284508,1912,2118,208,0.808964448056114,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1179,0,0,0,0,0,0
"B1UaJwhZ9rmB6rUwCikMCkYEPVgpGYgmmrKqfAHCZanw",116089.97008714,117873.78691915,0.128210707327532,0.0161532014441497,0.0108720980716742,10,363788.91,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.986344395243864,0.883753286846202,1912,1033,794,0.808929493300421,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1180,0,0,0,0,0,0
"GptPXjYUBUjxpRmueH6F5JcqizvjPTRDShTJQ8Vp6uN1",102586.667569346,104383.406514034,0.128210707327532,0.040290015547072,0.0205887150070154,10,364288.68,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.974140101319999,0.884967379326831,1912,1939,377,0.808924618752915,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1181,0,0,0,0,0,0
"13dy8pb1z2wqnHFGxN8Mv4kbfA1TbSEhTBjHfuJ51X41",80526.651184992,82106.5456094275,0.128210707327532,0.0567076224429166,0.0193436834513433,10,364215.78,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.975703889534665,0.884790283178927,1912,1847,482,0.808908682347964,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1182,0,0,0,0,0,0
"HseGLWffsq78cevv51PNeXF25CaZ2iSfgPG33RiRBVzV",67135.490293662,75319.1645392191,0.128210707327532,0.0490169359100354,0.0175843255567641,10,364114.71,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.97791368343779,0.884544753581278,1912,1731,637,0.808889797573089,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1183,0,0,0,0,0,0
"Fhks5gukimP6vxKYbRY4V1aw888EgHhpdDSscD9V6bub",69184.451281504,77348.6320599368,0.128210707327532,0.0745181442918512,0.0233106418432229,10,364405.23,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.970721298729613,0.885250514526257,1912,2120,230,0.808879430245521,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1184,0,0,0,0,0,0
"53gnaHMxDzGTZ9A58S4jbc1qzhYT4X51thUD4MdSBiyo",69351.927561806,77689.7239390033,0.128210707327532,0.0261805555555556,0.0193496164990666,10,364186.08,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.975696437490526,0.884718132896448,1912,1848,529,0.808852608896507,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1185,0,0,0,0,0,0
"BXaSsyrvY5o19AoRDovjzVyZU9nXHixuDfNjBH8pfbjd",80669.728388715,82316.9619199897,0.128210707327532,0.02628663003663,0.0113954879256507,10,363772.62,"OVH SAS",0,0,"1.13.6",0,0.346103074599795,0.985687005572417,0.883713713509448,1912,1104,797,0.808848483835884,0,"NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",1,1,1186,0,0,0,0,0,0
