vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW,3557282.23530612,3559839.4420209248,0.05584578437023437,0.011786906140529019,0.011786906140529019,0,415883.8,"Packet Host, Inc.",0.0,1.17.26
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,3259136.729699864,3382698.522783309,0.03610847954669018,0.04250479663415576,0.04250479663415576,0,415558.8,"The Constant Company, LLC",2.04084998,1.17.21
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,42071.256017909,46804.2771980137,0.13680960179294285,0.07985428314375682,0.027176693046351168,0,415438.0,TeraSwitch Networks Inc.,10.991356689,1.17.26
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,34724.135533931,39117.8978548636,0.13680960179294285,0.027083333333333338,0.014025571265821601,0,415130.7,TeraSwitch Networks Inc.,108.929442088,1.17.26
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,279280.770211414,300117.6984021457,0.0008031068788024398,0.018318569148437734,0.018318569148437734,0,414956.6,"Orangefin Ventures, LLC",51543.493989392,1.17.27
tri1cHBy47fPyhCvrCf6FnR7Mz6XdSoSBah2FsZVQeT,19014.862970162,22334.8027269782,0.006639697764422766,0.065,0.008042771990716608,0,414781.7,Datacamp Limited,0.0,1.17.22
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,1016670.259384609,1068745.091117469,0.18025967174171387,0.03624819582737907,0.03624819582737907,0,414146.3,Latitude.sh,1800.702705028,1.17.26
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,873941.22945243,937370.0845554611,0.13680960179294285,0.010790925646707705,0.010790925646707705,0,414033.5,TeraSwitch Networks Inc.,1090.126602632,1.17.27
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,1002910.341793545,1013214.4069545565,0.009546848564891134,0.02543995492829937,0.02543995492829937,0,412458.2,ReliableSite.Net LLC,52870.092358056,1.17.26
QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,478669.034194548,483786.1429481935,0.002246996290345536,0.01131284697130699,0.01131284697130699,0,411731.7,HostCircle B.V.,0.0,1.17.22
Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,927699.106896348,938851.0689672988,0.18025967174171387,0.009238588771349043,0.009238588771349043,4,404135.91,Latitude.sh,7889.639457324,1.17.26
BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,4128838.068234092,4150599.446559907,0.011590051586828637,0.015938280956846275,0.015938280956846275,3,402635.942,Hurricane Electric LLC,43305.502805176,1.17.27
TahoeLA91rRRqaWWBft1KvWLEjv87Zqe2qaDqSG69fm,175236.602850327,182339.6970761426,0.011590051586828637,0.019590829435082315,0.01795511631697149,0,402586.6,Hurricane Electric LLC,39258.18316043,1.17.27
8yPiZWMNYMhEqTmPSRc6LsWLFC8pewYEzmgc5kRCLTrZ,204582.858242297,225814.6256157109,0.03610847954669018,0.02977419443761614,0.02977419443761614,0,402069.6,"The Constant Company, LLC",0.0,1.17.27
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,288008.754340249,302865.8003271415,0.00841560538808794,0.00787906362748123,0.00787906362748123,4,398874.432,Latitude.sh LTDA,106677.481018779,1.17.20
EBVj3uwSKZpqEb1K267JaPxDQhULVqCy6hYeQqjsPh81,47753.364546158,55354.4145675017,0.006125609196989075,0.011834733893557426,0.010005447764539937,5,397009.28,HOSTKEY B.V.,0.0,1.17.27
CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,1342483.230714374,1432975.8740153583,0.04467988437362735,0.015889592946922847,0.015889592946922847,5,395513.72,Latitude.sh LTDA,13493.51632797,1.17.27
Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR,41615.200280751,49557.0177580578,0.00176907340711216,0.009065934065934067,0.003775735897989356,5,394163.375,HOSTKEY B.V.,0.0,1.17.27
Sms7uGpLwxCUxvV7uJq36wvQyGBPCzy87ZkC9mZcDSE,12883.944972575,20254.095868572,0.13680960179294285,0.03720238095238095,0.012587605842441448,0,393347.1,TeraSwitch Networks Inc.,3776.05400895,1.17.20
6F4gdYb1sqHGMeFaeEcqt8N6S2anHre2BkZM7QWo8r6N,14127.46961717,14153.9000140082,0.022066448505219112,0.07833333333333334,0.016456297849796284,0,393336.8,"WebNX, Inc.",5338.484443459,1.17.20
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,721571.026571515,739861.9689076568,0.08467653384944247,0.010542266709856274,0.010542266709856274,0,393330.0,UAB Cherry Servers,3910.789510416,1.17.20
3XDZhoRESsx9bU9rdX94qrtLL7YCxhgX3dKmXFRV2vU7,11138.655055552,11881.6987450337,0.18025967174171387,0.0125,0.006155428658143659,0,393309.7,Latitude.sh,2787.0696156,1.17.20
7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N,103646.433912758,106308.8734003858,0.06923750923980745,0.013332845800875459,0.013332845800875459,0,393308.2,OVH SAS,0.0,1.17.26
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,492620.456479305,588782.4758523502,0.004223166519110812,0.01626660231383893,0.01626660231383893,0,393304.0,OOO NIIR-RadioNet,49717.309796824,1.17.26
A2MtELFxn9wAiUrobrZ6vsypQtGHdH3ZesEnvAogvuFZ,75216.504135039,81145.0636257714,0.0003240185416195623,0.014665889665889664,0.00963186526870399,0,393300.7,LLC SETEL,3.510494184,1.17.26
8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,85037.247125785,204820.2367120664,0.007041513693149805,0.015854212859608176,0.013877782215491625,0,393292.5,ServeTheWorld AS,0.0,1.17.26
2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs,110998.795155769,127180.2040174663,0.005488166360657501,0.0038513513513513398,0.0038513513513513398,0,393290.5,"HIVELOCITY, Inc.",15.495819171,1.17.26
