vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"DTDvrj1mKFv453DMAGRuFwg77DuLjsfVHnbLe5BJPL9D","0","11364.155249498","1.18.23","1","1","1","0.99","0.9996670054373021","0.9996670054373021","0.9996670054373021","1","0.9996297435140554","","0","1","1","1","0","0","1","0","0","54710","54710"
"DySC6eaUthvVVzu4s8GFupm4PzYLNvq372AYnNrKP4xP","0","0","1.18.25","1","1","1","1","0.994699885946544","0.9957083207274229","0.999846663310233","1","0.9992229479779448","","0","1","1","1","1e-9","0","2","0","0","52956","52956"
"EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey","0","24746.566807817","1.18.26","1","1","1","0.99","0.9953711489963746","0.9980131119148155","0.9985867304563782","1","0.9990531469536358","","0","1","1","1","0","0","3","0","0","52255","52255"
"Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw","0","3474.532258579","1.18.23","1","1","1","1","0.9953711489963746","0.9991843650960752","0.9991843650960752","0.9890215097498947","0.9988088991343569","","0","1","1","1","3.318149697","80.706522686","4","2","21","38017","38040"
"3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ","0","0","1.18.23","1","1","1","1","0.9971439841794469","0.9977803087366481","0.9990742302325901","0.9802539579536721","0.9982075397227916","","0","1","1","1","0","0","5","0","0","49024","49024"
"GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9","0","0","1.18.25","1","1","1","0.99","0.9986534866330964","0.9986534866330964","0.9986534866330964","0.9781242201742987","0.99792415548537","","0","1","1","1","0","0","6","0","0","48033","48033"
"5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU","0","77305.94614305001","1.18.26","1","1","1","1","0.9981194825277601","0.9981194825277601","0.998941841482035","0.9721375053371172","0.9977625738464897","","0","1","1","1","1e-9","12407.409942264","7","730","0","47486","48216"
"BK5Km4MyuncoBWKCM9y3zntA1JjhdqNcHd3mxitms4Xo","0","919.54336973","1.18.26","1","1","1","1","0.994699885946544","0.9957083207274229","0.9989189330984812","0.9788181284015475","0.9977366684926572","","0","1","1","1","0","0","8","0","0","47400","47400"
"EBGfQMkRqBZ6mj2AJ1UxwKD7MbiuMGJamzKZe2UZrG6B","0","552.363736124","1.18.23","1","1","1","1","0.987142266934632","0.9990897179128272","0.9990897179128272","0.9801184020386161","0.997682237526977","","0","1","1","1","1e-9","1.881343769","9","0","0","47220","47220"
"Atw2Wond9H3DHfgg5NGqi4dxMwF3Nrgdhm39x2oK8MCW","0","17.052677554","1.18.23","1","1","1","1","0.987142266934632","0.9990897179128272","0.9990897179128272","0.9791262560967852","0.997618228111375","","0","1","1","1","0","0","10","0","0","47010","47010"
"H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC","0","0","1.18.23","1","1","1","1","0.9821885826556702","0.9895342903992728","0.9978370582537104","1","0.997558976436258","","0","1","1","0","24.003696798","7.940640003","11","0","0","0","0"
