"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","msol_power","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_msol","target_stake_algo","target_stake"
"EHSN8HePAJHpaMThxxcS3Pv7X6q5hVg259Q9MtXEuY1h",77036.688982928,77314.4016473957,0.013628265528627,0.0126785714285714,0.00540840909798212,10,372972.51,"MEVSPACE sp. z o.o.",0,0,"1.14.17",0.92274871346407,0.994570992903683,0.892688557258703,487,464,887,0.905150307109143,0,"",1,1,426,0,0,0,1,0,0,0,0,0
"A9igcq5tcmPjg8gy3soDnrmCMwXT3pmeFx3oojFjTfwc",69625.17374137,69917.0080151782,0.0121715675193092,0.0219298245614035,0.00905477404414087,10,372430.62,"RELIABLESITE",0,0,"1.14.20",0.931005948772389,0.990910740727893,0.891391574265794,443,1007,1088,0.905141413917739,0,"",1,1,427,0,0,0,1,0,0,0,0,0
"F7WubP6g5CLmumKWyB4yUouyucxZbnJxFKJtxq3DiRhA",71838.164589728,72127.6625273696,0.00178073465256679,0.0535482309452561,0.0100444067172475,10,367457.67,"Cosmonova LLC",0,0,"1.14.20",0.98990597573837,0.989917339025524,0.879489100378858,152,1123,1495,0.904970791868527,0,"",1,1,428,0,0,0,1,0,0,0,0,0
"Cbgpu9mePde2S3YPEDbVECdi6NNnXyGJZDba2yZ35qkX",70150.124330526,70440.8491907099,0.013628265528627,0.0149680629827688,0.00995506355995776,10,373061.52,"MEVSPACE sp. z o.o.",0,0,"1.14.17",0.92274871346407,0.990007022447422,0.892901597647341,487,1111,839,0.90496310968069,0,"",1,1,429,0,0,0,1,0,0,0,0,0
"78mx8fyMvqMD8AHyknq8Hmtf1akX3peZAyxo6gu3sNDQ",71817.500817095,72105.0836668676,0.0113611524157847,0.0135052202699262,0.00813632391193465,10,371902.32,"Inetcom LLC",0,0,"1.14.20",0.935599754876615,0.991832688789703,0.890127118167408,382,867,1191,0.904946413862847,0,"",1,1,430,0,0,0,1,0,0,0,0,0
"Cu1ddDuUR3eoMq7RT38vd8uAhq3EYMZdwK4uPtvxQFW5",71799.715569872,72087.4201366679,0.0113611524157847,0.0230357142857143,0.00900825576922013,10,371910.96,"Inetcom LLC",0,0,"1.14.20",0.935599754876615,0.990957436168285,0.890147797517569,382,1002,1189,0.904894993930554,0,"",1,1,431,0,0,0,1,0,0,0,0,0
"EdrtTDHBiECSuzNLsZH63QgXNHuty6JVu5cAink12Tjg",69679.799637141,69971.1931543123,0.0113489605287883,0.0101509784075574,0.00538773497763337,10,371727.09,"HOSTING-SOLUTIONS",0,0,"1.14.20",0.935668864107999,0.994591745761696,0.889707715096955,321,459,1214,0.90484666345748,0,"",1,1,432,0,0,0,1,0,0,0,0,0
"C4UD55ynixANA7brHZTyBwPN2uL3YYRwn2d1x3TgShvi",25106.318239049,40507.1319445212,0.0111972380470774,0.00366161616161615,0.00366161616161615,10,371541.87,"Limnet , LLC",0,0,"1.14.20",0.936528897021503,0.996324438524294,0.889264401527879,320,252,1233,0.904771249834314,0,"",1,1,433,0,0,0,1,0,0,0,0,0
"4LhqjPqhFMdXPMPN3B7raXVmd8zCKdEddRcrFuRf46Y9",71794.375197879,72081.9936947818,0.013628265528627,0.00462850675074783,0.00462850675074783,10,372578.4,"MEVSPACE sp. z o.o.",0,0,"1.14.19",0.92274871346407,0.995353865519431,0.891745277317505,487,369,1063,0.904484928124817,0,"",1,1,434,0,0,0,1,0,0,0,0,0
"6B4Cu11nC7reP3F3wgKVtrHKALH6nFi6io9TXyYijweB",69457.259109291,69749.1720518391,0.013628265528627,0.0353611971104231,0.0153601832593269,10,372991.14,"MEVSPACE sp. z o.o.",0,0,"1.14.20",0.92274871346407,0.984581317277437,0.892733147107488,487,1542,876,0.904416170406189,0,"",1,1,435,0,0,0,1,0,0,0,0,0
