vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
3614D3JSpMS1R9PELGLfTGGWaHGiUJKfBqxgKyGGP6pK,2548.485223636,26483.4520558971,0.03093629345372206,0.2013157894736842,0.006013375918961153,10,206396.37,AS-CHOOPA,0.0,1.17.20
DyDjFYB6i51FMHQvB4eKSwGHmgMxVf1i3FWwANAngqyY,100.151277406,101.0408355555,0.03898902643115901,0.0,0.0,10,201758.04,IS-AS-1,0.0,1.17.20
6ZUCygEHeA1MRgdxZ4V6e6gcAsJz1e2uDA3e3jv1bY7M,99.98771712,100.9733259002,0.03942122818036278,0.0,0.0,10,198512.73,IS-AS-1,0.0,1.17.20
9RykQjmjgDZ64o7zf76uUcbr2ai146wcwku4pUSztyLL,521.523401369,84159.1915324285,0.00248204035548287,0.11537491789760387,0.010959410078689957,100,197990.467,Unknown,0.0,1.17.20
94hdc73PTrQAnWkzGqCJqmUPV4eMoMuzs8KtSoeQLVfB,5.614766914,76036.0461096706,0.006013753819951359,0.10784359941336685,0.009269955355114596,100,196996.773,Inetcom Carrier LLC,0.0,1.17.20
9Bnti5HezjTHQ2uqZtr5V9YSdCuzuQTUZNoaZrVtxy5T,3.479164376,72349.29389411,0.00248204035548287,0.11892857142857145,0.010964388982563912,100,195125.813,Unknown,0.0,1.17.20
2cBhQVapMyJVtXUvojvv49jwR8jxRm19S9nXbeA5vCvj,16357.069436775,16380.677420556,0.03942122818036278,0.325,0.00910652859910115,10,193453.74,IS-AS-1,0.0,1.17.20
6JwTC7k6yEsGnoVrfN2PjcwMhNLEFAJBrFdo1ygYY3MM,16077.2553607,16339.9739354782,0.00445922499844417,0.175,0.009390528448266846,100,191636.37,HOSTING-SOLUTIONS,0.0,1.17.20
78oKabsmtwWk6ErK2qgyirbeqS8PzqCFZjvYATWpNJkk,6633.962739038,45228.5486728963,0.00011788448668687881,0.0068965517241379335,0.0019113037895974714,100,187973.076,Rostelecom,0.0,1.17.20
8cUmk4UHZXFBXZJBnWnXd48iTSRMYikQ1QYbJddBfAxu,1114.480193749,11847.3638107027,0.039729455237073254,0.0125,0.0017219354459771876,100,184477.32,Unknown,0.0,1.17.20
DgPGKMXUgYwG8hwLFdmUbZ54Bn8aBvuRoMbLesjVHDGj,2.21113556,11999.2501694632,0.030406572808336446,0.07999999999999999,0.0034733518072640733,100,184473.72,Unknown,0.0,1.17.20
3cHV1KGiGFokHQuDcrLyeaxkuapAiSQ5AkApZ71prxqd,11.895682345,11420.8405137057,0.004338527949908877,0.1,0.0014719244445036014,100,184470.93,Unknown,0.0,1.17.20
AQ4y1jf1BHfjDLtBdnizXspAZGTpoegBfLgMcEEJSrUM,115.208852828,29808.8442409932,0.030406572808336446,0.058184523809523804,0.00426268422515297,100,184468.14,Unknown,0.0,1.17.20
GRrCu7xG3N66KBCZ3mb7uiorVKSEDQZ8TUaRFEPornTb,104.29446443,29493.459701713,0.030406572808336446,0.10666666666666669,0.004692942002989908,100,184464.72,Unknown,0.0,1.17.20
53yo2YaGHPJbvb5jGS8Bo9Q5utez7bkke79SQu52hwJs,383.629588217,29908.8258377769,0.030406572808336446,0.17666666666666667,0.006202067877582039,100,184463.28,Unknown,0.0,1.17.20
4BoDfmoWtHRmK3gZgGGnAMH63BzUwmEjYadutr6yX8ia,70.911047137,29609.7806531712,0.030406572808336446,0.1425438596491228,0.006414877448967096,100,184457.34,Unknown,0.0,1.17.20
5YA5AexqMWr7mkToqDM2dnWBsXrZ52MXJVBmVYUSK5to,235.670867794,35378.0608495901,0.030406572808336446,0.0,0.0,100,184325.58,Unknown,0.0,1.17.20
Bvu4Mu9DETNHF6EzpUhJ16zqSAYTMBHDbE9P9KPqpVNy,413.442744557,35819.0147915271,0.030406572808336446,0.06944444444444445,0.003469933880982224,100,184302.27,Unknown,0.0,1.17.20
EKaSRpvxwg2GGMqnqEUoVwSvDGxnRj2MpUyf8AsQmbTU,115.046018006,17751.3393186602,0.030406572808336446,0.07999999999999999,0.004692942002989908,100,184299.93,Unknown,0.0,1.17.20
vxAiEGjfjSFJA1JyWPRnTqecio3kAtq72e1JE5JzCS2,71.753699566,29603.1787732622,0.030406572808336446,0.175,0.003505908795065572,100,184287.51,Unknown,0.0,1.17.20
AJPDNYcozarvTFucBGMgjQM2KadwxxLLpr7WQ9hHWCHo,115.088287188,35726.2770661608,0.030406572808336446,0.2013888888888889,0.004894797683954457,100,184287.15,Unknown,0.0,1.17.20
2rjDSyJeX8FmSaFgdCdgQU9fkt14qKnH92fdE1Ebytuc,2.210600405,33958.1258388688,0.030406572808336446,0.023703703703703706,0.0051323213480837775,100,184280.94,Unknown,0.0,1.17.20
63annmG8GhLHqsEThkVFUbV5fyNyGiCg4ANM7B9Fvya3,90.653038085,35747.8898771539,0.030406572808336446,0.004807692307692313,0.002001427362760472,100,184279.5,Unknown,0.0,1.17.20
Ga5ehHhigGP3ujtQDqmG1oRiUT2R5hcwQdCHA6RKYcMh,89.454201733,11931.9280781922,0.030406572808336446,0.1,0.0020339843505619705,100,184051.26,Unknown,0.0,1.17.20
G92FnRpXrPpqnSAdDu6tUfjqgAjotMzqXpGnncpvuUCx,103.117484694,35013.3838152096,0.030406572808336446,0.056691919191919196,0.002608288080867237,100,183806.37,Unknown,0.0,1.17.20
FP2TSHqNmmjzURPVATvBZNcHMfEPAikZQUDKqNwKLspf,1114.333073884,12557.2281098836,0.022781974451978798,0.11666666666666665,0.0034733518072640733,100,181723.59,Unknown,0.0,1.17.20
98Hrui1FDBJc175RTsRAbbEtZJahWqF5z3BcHnA3SSPe,70.909330964,23271.6102732394,0.030406572808336446,0.15320512820512822,0.00860567315534785,100,177981.48,Unknown,0.0,1.17.20
2WrDvTbMJq9gCUkytxNcZH2YrEhARSszo8EHUyqUVqYE,104.894251358,104.9903119179,0.0011590844577707713,0.0,0.0,100,158029.56,Unknown,0.0,1.17.16
99okAutmsQhdnJjA5ydKrt1SUtp5tnRQo2xqY5xBaFrR,100.960725607,101.0530599192,0.008298502013450306,0.1,0.0032210175584863067,100,157783.05,Unknown,0.0,1.17.16
BfxZj7ckfRGHxByn7aHgH2puyXhfjAUvULtRjJo4rd8C,710248.516142899,740940.3152069851,0.03492768669330216,0.009188718488527314,0.009188718488527314,100,154854.566,AS-CHOOPA,0.0,1.17.22
CvqeNUd9Xq5a2681T1pwr6E86tcbEYnEViCyUfybLSQo,1.103594093,91.8505284471,0.00893490075188459,0.0,0.0,10,153421.74,RELIABLESITE,0.0,1.17.20
CppiiXPEr8yjeubGLrL6ZWKCZBJH2MefLRZ8fdQwJRhB,2.211561047,35123.1726937866,0.018829285392798305,0.1,0.0014719244445036014,100,148453.11,Unknown,0.0,1.17.20
ALK9YCCWTeM4y3LWtrppSZqJrmaQdwmkzYNjkHx7tsyy,2.210582389,35123.3846897339,0.018829285392798305,0.10500000000000001,0.0034733518072640733,100,148443.93,Unknown,0.0,1.17.20
C2mentSvByvvSyXqzaVbVP9dFWTa8UbrcWqRZviyTPwx,2.20951602,35105.4249481989,0.018829285392798305,0.13787878787878788,0.006414877448967096,100,148442.4,Unknown,0.0,1.17.20
4UdX7x4MQ6czACVHVri67hNgtiAAsFWMsQqbT4iph5Jf,193.519406882,35312.1425088661,0.018829285392798305,0.13333333333333336,0.004692942002989908,100,148438.17,Unknown,0.0,1.17.20
488sMULa9HPTP2LYxym8ng7FfHifK9oEG3FFNf8YeNTM,2.21048161,35096.5499589293,0.018829285392798305,0.10113636363636362,0.002608288080867237,100,148435.74,Unknown,0.0,1.17.20
e3FL6cV81aw6imhqQJ4296cFf4MerfhUCL15GFnsexi,2.210634121,35105.8400996145,0.018829285392798305,0.10543478260869565,0.0034733518072640733,100,148435.65,Unknown,0.0,1.17.20
9LkbqZwSAdXSzBsBVHwhMcFPkENUrdsLapbH9isw2Wkr,65.582787914,35168.5614352085,0.018829285392798305,0.11798245614035086,0.005483873000704283,100,148430.88,Unknown,0.0,1.17.20
DPZej3UcnTkwmRB4ARbXwLmeUf3ThYAXSYK4JEeYCPxU,2.210616352,35107.2638780998,0.018829285392798305,0.12434782608695652,0.00669436936575038,100,148429.89,Unknown,0.0,1.17.20
A2RvPgsyiLL6ZzMhFgcZAbuBFKgE76AG39ZZzcpuNJAy,2.210582266,35100.5552292949,0.018829285392798305,0.10384615384615384,0.0034733518072640733,100,148428.36,Unknown,0.0,1.17.20
4virQdLujfhMYGp8nVvpVyBAjbiyxLh6EAh6GshgspmA,2.210488117,35122.5367859293,0.018829285392798305,0.21307565789473687,0.008167520326259163,100,148426.92,Unknown,0.0,1.17.20
4iEcWHKU1ohNskPeRyPNciU7gfBxJtnmkybCy4PMwsbA,2.210603793,35102.2647829578,0.018829285392798305,0.12934782608695652,0.006270220463568822,100,148424.58,Unknown,0.0,1.17.20
4dqfCZxduEjqU8pAoBF7jtWezU8518MSQSq9gfCbLuEK,85.515338988,10367.8375503791,0.030406572808336446,0.1,0.0014719244445036014,100,148277.88,Unknown,0.0,1.17.20
DNQr3fav5Vydi1fh8yqHdq1TKeNox41Hadugb1tg9xdz,70.842158087,29588.2096648593,0.030406572808336446,0.1324404761904762,0.005883418193466094,100,148277.79,Unknown,0.0,1.17.20
BNASDrv4EgCzUbUAVP6RR2G9wXYM6k2Tx2u3H9aGRZTW,149.710934054,35178.7312409659,0.030406572808336446,0.10089285714285715,0.002364781587360741,100,148277.43,Unknown,0.0,1.17.20
HeWCEtPcTkPL2ErgvEFGqd7YnmHrwUxf9AvX48vrYpGV,115.369741257,29827.3192601657,0.030406572808336446,0.04158653846153846,0.0024334629060420595,100,148276.26,Unknown,0.0,1.17.20
B8BacT5bUVYi94y8ssjDxvHYpnc1DHgxCb1q2idYjcUW,291.209061963,35808.8043471058,0.030406572808336446,0.05755952380952382,0.005753383700004601,100,148272.57,Unknown,0.0,1.17.20
5JGg8yCa3Y4FGPwh2RfE4aRjSxYfg4pz1BxKo3SuXtpJ,359.760833017,35714.3212032153,0.030406572808336446,0.07890625,0.004949333527020068,100,148270.32,Unknown,0.0,1.17.20
7PcuQEy1d2tXsSeTEc9guYPQKYtVqJ9ddUktNwhfnodC,114.033319604,34069.2722172353,0.030406572808336446,0.10910714285714285,0.005191869326959411,100,148270.23,Unknown,0.0,1.17.20
