vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_stake_msol,eligible_stake_vemnde,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"AddV9GtVTtepbNa7MBNDx81wTMRgnXf8nzhRuyinVab5","0","52748","1.17.22","0.9983505757418777","1","0.97","0.92","0.6558048958770432","0.9989401990393239","0.9985177984520283","1","0.9718226561322242","","false","true","true","true","true","true","0","0","112","1","1","52746","52748"
"9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x","3","52762","1.17.22","0.9924522095351257","1","0.97","0.92","0.8751231555000645","0.8860234198214035","0.9977213580864984","0.973584463391152","0.9713350975788353","","false","true","true","true","true","true","184.927078773","1243.591060688","113","3","27","52732","52762"
"A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg","0","54159","1.17.22","1","1","1","0.92","0.8448823560036625","0.849189232353663","0.9989190311167813","0.9420967040670426","0.9710320626345006","","false","true","true","true","true","true","160.81860919599998","932418.460192091","114","1410","24","52725","54159"
"DySC6eaUthvVVzu4s8GFupm4PzYLNvq372AYnNrKP4xP","0","52721","1.17.24","1","1","0.98","1","0.6558048958770432","0.9976011578572043","0.9928086987399298","0.9577103162344702","0.9708022804114309","","false","true","true","true","true","true","1e-9","0","115","1","1","52719","52721"
"HWeDLvzf8PhbYCuNFXB9E3fiCaz8RCtHW8b52iPAboCJ","0","52713","1.17.22","0.9347345234266772","1","0.97","0.92","0.969058038971025","0.9973958153996291","0.9984006806208691","0.9850028718989738","0.97037910402223","","false","true","true","true","true","true","0","0","116","1","1","52711","52713"
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP","0","53348","1.17.24","0.9973668202420712","1","1","0.92","0.6558048958770432","0.9976011578572043","0.9988013095407834","0.9109879257298064","0.9703243405602955","","false","true","true","true","true","true","4523.322371149001","28.318742177","117","1","637","52710","53348"
"BXf5pMTSWJdfwaiRYpwJjkTUuUe2sdvcJx7X7UNbyGe1","0","52704","1.17.24","0.9952508276081907","1","0.97","0.9","0.6558048958770432","0.9892011981710994","0.9994086274965505","1","0.9698725539463063","","false","true","true","true","true","true","0","0","118","1","1","52702","52704"
"9vNLTLdwAdHw8EdiZrLzDtUpm3hp7E2MGaNi6SmdfBGz","0","52702","1.17.22","1","1","0.97","0.92","0.6558048958770432","0.9722215634268221","0.9985177984520283","1","0.9697690540594409","","false","true","true","true","true","true","0","0","119","1","1","52700","52702"
"4tuMshQNpAFpy1YtEHnSsE5EPN1mAT8FevWvn2UPJHNM","0","52702","1.17.22","1","1","0.97","0.92","0.6558048958770432","0.9722215634268221","0.9985177984520283","1","0.9697690540594409","","false","true","true","true","true","true","0.9923960409999999","0","120","1","1","52700","52702"
"C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a","0","52705","1.17.22","1","1","0.98","0.9","0.6558048958770432","0.9722215634268221","0.9959997729523596","0.9797650288365564","0.9695676010166807","","false","true","true","true","true","true","44.502101078","21.51742803","121","1","7","52697","52705"
"9V3Yy2fYZt65so3xg6wmnUiG1mDQvgkTJYTsn3YPkgLH","7","52697","1.17.24","0.9574431739085428","1","0.93","0.97","0.969058038971025","0.995288942283312","0.9960158929209715","0.9556757247323862","0.9694010859685831","","false","true","true","true","true","true","0","0","122","1","1","52695","52697"
"CCknLtNpJWNzq2cBrwqYxXR9oguZmaXtoMQQQDCec2xY","3","52692","1.17.24","0.9982629550494556","1","0.97","0.92","0.6558048958770432","0.9815893591111258","0.9905563482941997","1","0.9690879939599619","","false","true","true","true","true","true","0","0","123","1","1","52690","52692"
"8vyuJTHSDkx7k1zymea4TMsgvixf3rCYBXHPDQajePkE","0","52694","1.17.22","0.9953352696210862","1","0.97","0.9","0.6558048958770432","0.9815893591111258","0.9988165916445113","1","0.9690867719960119","","false","true","true","true","true","true","14.168467175","83.298108894","124","1","3","52690","52694"
"AXA7ztxJGz77RHmocYQ6MEbPYHbpc3TmhtQqZGrdzqo1","0","52710","1.17.21","1","1","0.98","0.95","0.6558048958770432","0.9686914028968586","0.9928086987399298","0.9789108020652969","0.9690657225656444","","false","true","true","true","true","true","17.63652417","10540.78393459","125","17","3","52690","52710"
"H7fXvnLCKtZqJBTipxeseabGfAZUdHJ9XuP6hCKrbvUb","3","52798","1.17.21","1","1","0.97","0.92","0.6558048958770432","0.9892011981710994","0.9783116973598712","1","0.9688050056679636","","false","true","true","true","true","true","777.000000007","0","126","1","110","52687","52798"
"DSRnpPkLWLA5V2TZo3AJwe2eGfkZ4ZaCwRf2v7e4aXg7","0","52686","1.17.22","1","1","1","0.92","0.6558048958770432","0.9722215634268221","0.9613547698710807","0.9832486434834008","0.9685478338221186","","false","true","true","true","true","true","0","0","127","1","1","52684","52686"
"6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m","0","52762","1.17.22","1","1","0.97","0.9","0.6558048958770432","0.9990393992562903","0.9950634178506166","0.9490505483548154","0.9685088954075823","","false","true","true","true","true","true","542.67177095","28.48522844","128","1","77","52684","52762"
"We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb","0","52729","1.17.22","1","1","1","0.92","0.6558048958770432","0.9907364207496652","0.9613547698710807","0.9541613323432403","0.9684629934894802","","false","true","true","true","true","true","312.539175486","133.021486493","129","1","45","52683","52729"
"LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq","1","52793","1.17.21","1","1","0.99","0.92","0.6558048958770432","0.9892011981710994","0.9783116973598712","0.9460488767417208","0.9684274493287196","","false","true","true","true","true","true","757.5562639860001","1151.660874332","130","3","107","52683","52793"
"49DJjUX3cwFvaZD5rCAwubiz7qdRWDez9xmB381XdHru","3","52683","1.17.25","0.9612338812453715","1","0.96","0.92","0.8751231555000645","0.9990368827386162","0.9990368827386162","0.9334984677274367","0.9682334270348074","","false","true","true","true","true","true","0","0","131","1","1","52681","52683"
"GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy","0","52682","1.17.22","0.9981021128752343","1","0.98","0.9","0.6558048958770432","0.9722215634268221","0.9959997729523596","0.9683625208134462","0.9682197336846202","","false","true","true","true","true","true","0","0","132","1","1","52680","52682"
"mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR","7","97726","1.17.22","1","1","0.93","0.5","0.992189402701919","0.9923187907165985","0.9924779174362273","0.7575407557873126","0.9682124309313926","","false","true","true","true","true","true","274547.62220818293","4261354.93077255","133","6441","38605","52680","97726"
"J6XZBDuUpuBzgcVGmY8NgHQYKbGZegoYmbpadAKo1qRw","0","52675","1.17.22","1","1","0.96","0.9","0.8448823560036625","0.849189232353663","0.9995296752541345","0.9806223209074759","0.9672674113516064","","false","true","true","true","true","true","0","0","134","1","1","52673","52675"
"8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P","0","52736","1.17.21","1","1","0.98","0.96","0.6558048958770432","0.9686914028968586","0.9928086987399298","0.9487912616221018","0.967183848988664","","false","true","true","true","true","true","21.459305077","40100.783870898","135","61","4","52671","52736"
"EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72","5","58907","1.17.21","1","1","0.95","0.9","0.9939799896378271","0.9955306626265081","0.9613547698710807","0.7109207654927944","0.9671712121814545","","false","true","true","true","true","true","41831.39514408597","233897.17931099303","136","354","5882","52671","58907"
"Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9","3","53015","1.17.22","1","1","0.96","0.92","0.6558048958770432","0.9888251089659302","0.9950094923687919","0.9570212765067105","0.9665987626174343","","false","true","true","true","true","true","2009.480053309","41341.551303497","137","63","283","52669","53015"
"GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT","0","52677","1.17.24","1","1","0.97","0.95","0.6558048958770432","0.9722215634268221","0.9959997729523596","0.951479531322358","0.9664977624673776","","false","true","true","true","true","true","45.473673336999994","1031.892689658","138","3","7","52667","52677"
"9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6","4","57101","1.17.20","1","1","0.96","0.92","0.6558048958770432","0.9888251089659302","0.9950094923687919","0.9490507742423485","0.9660845366648948","","false","true","true","true","true","true","86.903623471","2925276.9999706377","139","4422","13","52666","57101"
"1Dadio3JRvpEjY6iSmXmhbGy9RiU8Nxh2GmoVbNusbE","2","52666","1.17.25","1","1","0.97","0.92","0.6558048958770432","0.9815893591111258","0.9613547698710807","1","0.9658803854377996","","false","true","true","true","true","true","0","0","140","1","1","52664","52666"
"GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt","4","52672","1.17.24","0.9994753513859619","1","0.96","0.92","0.6558048958770432","0.9888251089659302","0.9950094923687919","0.9470059895188759","0.9657833735814327","","false","true","true","true","true","true","10.542404586","3153.1377733700006","141","6","2","52664","52672"
"AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA","4","52684","1.17.25","1","1","0.96","0.92","0.6558048958770432","0.9888251089659302","0.9950094923687919","0.9434842264237985","0.965725404547569","","false","true","true","true","true","true","126.09727287400001","1.45329162","142","1","19","52664","52684"
"q1phrX11VjA2XEPqsTFMYRfrTZiwUeG7HCVz3d6V5Ua","0","52665","1.17.24","1","1","0.96","0.92","0.6558048958770432","0.9947311331573526","0.9613547698710807","1","0.9656005893777571","","false","true","true","true","true","true","0","0","143","1","1","52663","52665"
"GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe","3","52665","1.17.22","1","1","0.96","0.9","0.6558048958770432","0.9785766258988937","0.9986353374443424","0.948314114375511","0.9653904273541664","","false","true","true","true","true","true","1.106006851","0","144","1","1","52663","52665"
"Ac1beBKixfNdrTAac7GRaTsJTxLyvgGvJjvy4qQfvyfc","4","44118","1.17.24","0.9772305694157548","1","0.96","0.92","0.9447753794584186","0.9450132308985282","0.9073732611030152","1","0.9651221029090978","","false","true","true","true","true","true","0","0","145","1","0","44117","44118"
"Cc7UtVq4G25VbC3w6Ccs2XL2xikjc926q1sHp8zfddoL","0","52664","1.17.22","0.9803866980757897","1","0.97","0.92","0.6558048958770432","0.9888251089659302","0.9990159083360605","1","0.9651132494436779","","false","true","true","true","true","true","0","0","146","1","1","52662","52664"
"1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm","5","10196","1.17.25","0.9842281014418242","1","0.95","0.92","0.8751231555000645","0.8860234198214035","0.9983309730131427","0.9613589893929215","0.9648689179264838","","false","true","true","true","true","true","233.282325742","943997.848807597","147","260","6","9930","10196"
"2iWXwF2Q5W6o7yntV2mkbxncB4rYHnX61y3NU8a8EFMJ","0","606","1.17.22","1","1","1","0","0.6558048958770432","0.9722215634268221","0.9613547698710807","1","0.9639868890812541","","false","true","true","true","true","true","237.616020599","155.486793783","148","0","0","606","606"
"BJ6RVC6Moc9mB8u3qcubnhS9ejninfPfXvz6kFGgRH8v","0","52659","1.17.22","1","1","0.96","0.92","0.6558048958770432","0.9968844051575183","0.9613547698710807","0.9698216883369185","0.9638619826898323","","false","true","true","true","true","true","0","0","149","1","1","52657","52659"
"R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21","3","52661","1.17.22","1","1","0.96","0.92","0.6558048958770432","0.9686914028968586","0.9928086987399298","0.9427364289899234","0.9634447630123945","","false","true","true","true","true","true","11.891162289","1.708140145","150","1","3","52657","52661"
"HsUhGC6yKwr8kLC5gdqVLrDfKsGCd2ZAXiabP1WojuzA","0","52658","1.17.22","1","1","0.96","0.92","0.6558048958770432","0.9815893591111258","0.9613547698710807","0.9766519895305359","0.9628224815365439","","false","true","true","true","true","true","0","0","151","1","1","52656","52658"
"FXRu5NA4ouLGFuZNNWZFwwnvQz9zE7JCX3D23RJTc2NU","5","52658","1.17.26","1","1","0.95","0","0.6558048958770432","0.9968844051575183","0.9995802151423908","0.9854578840995105","0.9626098269675879","","false","true","true","true","true","true","0","0","152","1","1","52656","52658"
"EFEKcHrUBsRoQkuTSJAQNZnj1u8h9oE4LoCYerednc3F","7","52839","1.17.24","1","1","0.93","0.93","0.6558048958770432","0.9686914028968586","0.9928086987399298","1","0.9625457675936898","","false","true","true","true","true","true","1260.887892791","2454.348971119","153","5","178","52656","52839"
"Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ","0","52658","1.17.22","1","1","0.96","0.92","0.6558048958770432","0.9815893591111258","0.9613547698710807","0.9690662655088774","0.9623330799867594","","false","true","true","true","true","true","1.120948883","0","154","1","1","52656","52658"
