vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,737366.288095039,766063.8925844427,0.0094177458181824,0.02632250942823656,0.02632250942823656,0,414224.2,RELIABLESITE,43581.602111664,1.16.17
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,440920.524851593,490096.3894944646,0.13967121323036105,0.026024508221939892,0.026024508221939892,0,413854.0,LATITUDE-SH,54.697691395,1.16.17
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,30819.832336059,34882.9318127715,0.1352767931691902,0.05481601731601732,0.017319292202286812,0,413594.5,TERASWITCH,10.674972401,1.16.17
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,558469.043568555,618541.3875965266,0.0999778440082271,0.033237819622440934,0.033237819622440934,0,413492.2,TERASWITCH,6862.148977862,1.16.18
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,2162843.150732444,2308334.6136574424,0.00573029927940741,0.02194647172041302,0.02194647172041302,0,413155.3,AS-WAVE-1,0.0,1.16.17
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,24495.164947264,28948.5343750857,0.1352767931691902,0.061111111111111116,0.009550037759022974,0,413128.3,TERASWITCH,3.451604371,1.16.17
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,875408.194972644,901051.2650397479,0.07981710014279811,0.018617911695337663,0.018617911695337663,0,406053.3,UAB Cherry Servers,2672.097292908,1.16.17
5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T,162751.63549062,172330.271560889,0.0004278154912710507,0.004465209937245263,0.004465209937245263,0,404814.3,Web Werks India Pvt. Ltd.,41181.314815244,1.16.17
7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD,63187.783998655,64601.1093944817,0.005832813979713066,0.006315789473684219,0.004569869266905996,0,404803.6,HVC-AS,41262.118756826,1.16.17
D4mLBafAJjpRABT5Tyj6UhuwJ8DLRk74JzyuTMUdU9Fz,114551.012805764,138145.9804716458,0.13967121323036105,0.011728478306560897,0.011356694293607444,0,404784.5,LATITUDE-SH,0.0,1.16.17
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,597541.774537005,719831.6024207335,0.13967121323036105,0.015719893046627444,0.015719893046627444,0,404766.6,LATITUDE-SH,25752.179343919,1.16.17
73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD,14143.764711193,15931.8217012717,0.13967121323036105,0.09583333333333334,0.011300838599337578,0,404750.0,LATITUDE-SH,11.811262404,1.16.16
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,278800.526323904,319799.1425590246,0.000793901304418318,0.007780427202384099,0.007780427202384099,0,404746.1,MWAY,50469.668594665,1.16.17
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,425305.32631604,446075.118167806,0.0031303846043148785,0.03925361693926168,0.03925361693926168,0,404736.5,OOO NIIR-RadioNet,40314.747510973,1.16.18
