vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
AM3wUMazVnap88dVdE26jdSKBeLTe8EitNS7eTV35Tjd,6112.425941091,16818.9189957745,0.0000436602207223054,0.142857142857143,0.0462315275510632,5,335499.435,ServeTheWorld AS,0,0,0.99978360257463,0.940276832838342,0.87563789871606,158,1277,147,0.899709463472938,0,"",1,1,65,1,1,0,0,25220,25220
4nCK62aZ126pC1krepWXXxgBJGgPUGEWni2iCABZop81,87244.827952424,88084.6464407103,0.00198924778690694,0.0292643843514587,0.0265867282159553,10,329307.66,HVC-AS,10999999548133,0,0.990140496488859,0.965654528465033,0.85947765436178,337,431,299,0.887747081927735,0,"",1,1,98,1,1,0.00031809563998721,301,24885,25186
RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,2129864.76529451,2132970.73334628,0.00571058625985554,0.0441083201800335,0.0441083201800335,8,336396.436,RADIOKOMUNIKACE a.s.,0,0,0.971696062375785,0.943019650899,0.877979029546239,448,1183,135,0.897400159316381,0,"",1,1,66,1,1,0,0,25155,25155
R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21,17070.932313895,19540.7844281862,0.0264464523204538,0.0544444444444444,0.0317955579696289,5,343440.01,LATITUDE-SH,0,0,0.868920859820997,0.958925617988267,0.896362429616081,1258,624,105,0.896953202599313,0,"",1,1,67,1,1,0,0,25143,25143
FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,4869048.98732442,5063235.86355698,0.0171805835881919,0.0383023423248804,0.0383023423248804,7,340053.849,SERVERS-COM,0,0,0.91484619194946,0.950519973824674,0.887524707124077,1070,926,121,0.896573802228028,0,"",1,1,68,1,1,0,0,25132,25132
NoRDTy8jpkpjPR7yxahVdoEUPngbojPhFU5jb8TtY4m,111286.990783529,114542.165300927,0.0374641918597994,0.0351739382447199,0.0351739382447199,5,347502.875,WEBNX,0,0,0.814312558940629,0.954561332822001,0.906966318029088,1289,765,81,0.896373048538011,0,"",1,1,69,1,1,0,0,25127,25127
CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,102943.451510096,108455.726836471,0.000576714587075417,0.0478705665502673,0.0447535842647875,10,333639.387,JSC Ufanet,0,0,0.997141573044031,0.942186080890857,0.870783260071941,227,1211,155,0.895715525207564,0,"",1,1,71,1,1,0,0,25108,25108
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,335808.57870606,339535.892973571,0.00124480685047126,0.0356076602235176,0.0356076602235176,9,332988.929,Psittacus Systems LIMITED,0,0,0.993830241966991,0.954001038762654,0.869085594988472,301,790,159,0.894809036352412,0,"",1,1,74,1,1,0,0,25083,25083
HTtwGKgQgsQCAFDPBgN7LabHTMEkUpmTnFqEo5cBcquR,68758.064824459,72568.5825599919,0.00273784042752504,0.0461858676669048,0.0282823107994902,8,333033.284,OOO NIIR-RadioNet,0,0,0.986430173512924,0.963464127943203,0.869201359472539,378,487,157,0.894487543822649,0,"",1,1,75,1,1,0,0,25074,25074
DeNodee9LR1WPokmRqidmAQEq8UbBqNCv6QfFTvU6k69,42689.995315493,48174.7238523338,0.0225414476801577,0.0664728776125835,0.0434700529509826,3,341294.403,LATITUDE-SH,0,0,0.888275616536291,0.943844182175244,0.890762495282509,1093,1162,117,0.894463105236378,0,"",1,1,76,1,1,0,0,25073,25073
