vote_account,current_balance,deposited_balance
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",1230000.026604769,1214034.725192254
"GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt",1.073451345,1.008221562
