"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"DHasctf9Gs2hRY2QzSoRiLuJnuEkRcGHSrh2JUxthxwa",3998.37696951,10766.1319292816,0,0.948214285714286,0.059930492557452,100,0,"Unknown",0,0,1,0.922820766840274,0,1,2354,1663,0.224832366680021,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1817,0,0,0,0,0,0
"AXbeRDjWjApXL9ouAnR32GGLvxGzdZYHHKLkru44iqbX",3902.705830705,10807.7796584447,0.00409942961949495,0.147619047619048,0.0284050968425298,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.963419563254339,0,445,931,1663,0.224829442670372,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1875,0,0,0,0,0,0
"7kjcxQKLxQaN91HAmr1Dzbn5egCmiN8XwMLqsGTLFBdY",4000.196361479,10767.0031647112,0.00409942961949495,0.166666666666667,0.0285082844487546,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.963286676972579,0,445,938,1663,0.224819220648698,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1876,0,0,0,0,0,0
"8Ub49zFyCpGDibN5pmn6wcHj6DfzyHYBaMAraacaBbUB",4682.451414848,11555.3392387469,0.00409942961949495,0.152272727272727,0.0287098410641124,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.963027109858281,0,445,945,1663,0.224799253947598,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1877,0,0,0,0,0,0
"437jBWng7563yC8LForExeWZ8LVMQSkqqBEbzAFjfpVx",4038.758660867,10837.9372894007,0.000812067868349943,0.670714285714286,0.0546854999174844,100,0,"myLoc managed IT AG",0,0,0.995975068539988,0.92957533354925,0,256,2159,1663,0.22473272850994,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1878,0,0,0,0,0,0
"B9qYc3Sfg6hokZx6MnQJMpsT4mBZvqYQMjSR5HoNxQTx",2768.354071472,7195.8149536689,0.00409942961949495,0.198958333333333,0.0294794964253672,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.962035938118419,0,445,1003,1663,0.224723009967609,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1879,0,0,0,0,0,0
"GUTjLTQTCmeBzTrBgCsWSM7G2JrsLvwXbXdafWvicqbr",3710.946934507,10422.1075490803,0.00427953921141119,0.1375,0.0281779322475493,100,0,"JSC ER-Telecom Holding",0,0,0.978788900930948,0.963712108643063,0,585,924,1663,0.224714608500381,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1880,0,0,0,0,0,0
"3pSQk1HfYravmidy3JHzgVtD5s2Mbnd2feBYJdduB7Bq",4021.776212626,10821.5353028672,0.00409942961949495,0.2375,0.0297707164761228,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.961660901317637,0,445,1027,1663,0.224694160982933,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1881,0,0,0,0,0,0
"6hVDgmWqiiYm5SdNQ8buDSgoFhPUZsTWxjDpCH466qNH",3434.028378208,10150.2321228538,0.00409942961949495,0.16,0.0298263207511672,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.961589293441159,0,445,1031,1663,0.224688652684743,0,"NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1882,0,0,0,0,0,0
"CBWhs4dy6wfLyuEZX82CT3WHKKFdcDgRUTPqiq7r36WN",4036.112030887,10865.452568507,0.00409942961949495,0.050952380952381,0.0299605384539413,100,0,"Hetzner Online GmbH",0,0,0.979681595730247,0.961416446215406,0,445,1043,1663,0.2246753567443,1,"BLACKLIST_COMMISSION_RUG,NOT_ELIGIBLE_ALGO_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_MAX_COMMISSION_OVER_10,NOT_ELIGIBLE_MNDE_STAKE_SCORE_TOO_LOW",0,0,1883,0,0,0,0,0,0
