"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","msol_power","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_msol","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1302739.38297841,1332353.71204454,0.00341024663035919,0.0232318913615515,0.0232318913615515,0,414404.2,"AS-WAVE-1",0,44316.078835019,"1.14.17",0.980846803487415,0.976265095255096,0.997070893331819,214,1696,5,0.992974433503701,0,"",1,1,1,1,44.826734857,0.0000828622461192848,1,0,0,99,37495,37594
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",110803.100424968,112910.04667042,0.000288999696315953,0.01567635358966,0.0122997270847192,0,412207,"Web Werks India Pvt. Ltd.",0,40058.302274139,"1.14.17",0.998376871653112,0.987433961092497,0.99178435384494,28,994,16,0.992463941757548,0,"",1,1,2,1,0,0,1,0,0,0,37476,37476
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",113479.153373086,120489.670818042,0.000308480251503806,0.0202726476422129,0.0162533986237036,0,412212.2,"MWAY",25152661503971,41588.198599692,"1.14.17",0.998267461706521,0.983394685257826,0.991796865225484,32,1341,15,0.992146020071208,0,"",1,1,3,1,6698.581579862,0.0123354263722909,1,0.0006041526846054,719,14689,37464,52872
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",37938.366036714,40078.4348189704,0.000102616897099515,0.865134803921569,0.025631969483647,0,412150.5,"ZEN-ECN",0,35957.285391058,"1.14.17",0.99942366584922,0.973813051006019,0.991648412883257,7,1767,17,0.991472654733618,0,"",1,1,4,1,0,0,1,0,0,0,37438,37438
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",558344.212602539,573003.754215259,0.00146669303234433,0.0165874227937959,0.0165874227937959,0,412006.9,"ALLNODES",0,35940.952306619,"1.14.18",0.991762513707352,0.983053428847133,0.991302906297459,160,1371,20,0.990739039941264,0,"",1,1,5,1,0,0,1,0,0,0,37411,37411
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",167057.728416878,266974.745647165,0.00421941203740669,0.0205300555201103,0.0205300555201103,0,411999.3,"OOO NIIR-RadioNet",0,35867.453426647,"1.14.17",0.976302233627159,0.979025430835827,0.991284620433587,258,1573,21,0.988036623263539,0,"",1,1,6,1,0,0,1,0,0,0,37308,37308
"DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao",244217.220770638,247878.309642488,0.000824435838497045,0.00803403948168456,0.00803403948168456,0,409697.9,"23M GmbH",0,35832.745622215,"1.15.0",0.995369665793031,0.99179200871565,0.985747372128879,91,492,27,0.987692697045423,0,"",1,1,7,1,0,0,1,0,0,0,37295,37295
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",154670.201340718,157739.576690836,0.00501204554534332,0.0229030278232406,0.014763884029457,0,410646,"OOO NIIR-RadioNet",0,35858.26606665,"1.14.17",0.971850512978917,0.984916450595843,0.988028533646952,301,1231,24,0.9853002163864,0,"",1,1,8,1,0,0,1,0,0,0,37205,37205
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",579744.048384108,603441.569125949,0.0108020955985459,0.0141125283563937,0.0141125283563937,0,413192.2,"RELIABLESITE",1000000000000,35750.059382246,"1.14.17",0.939331467142336,0.985581909323013,0.994154779251127,311,1177,9,0.98506097200915,0,"",1,1,9,1,0,0,1,0.0000240148328465996,29,0,37196,37225
"AGDcryhr4pfWGb3TtFfZkxDVGYBunT5haDSjXZHnSoxZ",0.002024187,0.0020284195,0.00146669303234433,0,0,1,407948.805,"ALLNODES",0,0,"1.14.18",0.991762513707352,1,0.981538988830225,160,1,33,0.984531916593611,0,"NOT_ELIGIBLE_ALGO_STAKE_MIN_STAKE_BELOW_1000,NOT_ELIGIBLE_MSOL_STAKE_MIN_STAKE_BELOW_100,NOT_ELIGIBLE_MNDE_STAKE_MIN_STAKE_BELOW_100",0,0,10,0,0,0,0,0,0,0,0,0
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",380844.158218784,386626.026974129,0.00495640905467397,0.0133970716294459,0.0133970716294459,1,408175.713,"Amarutu Technology Ltd",0,35583.66608453,"1.14.17",0.972162987927084,0.98631285701035,0.98208493735648,276,1116,32,0.980883708186871,0,"",1,1,11,1,0,0,1,0,0,0,37038,37038
"MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F",58016.03346236,62303.4675816402,0.000772331342660672,0.315496632996633,0.025631969483647,0,406200.2,"ORACLE-BMC-31898",0,35640.831880065,"1.14.17",0.995662303762104,0.973813051006019,0.977331784488583,84,1767,35,0.979881192570466,0,"",1,1,12,1,0,0,1,0,0,0,37001,37001
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",82817.350727721,85747.0914023041,0.00123962594777986,0.0377999037999038,0.0136575372501667,0,405183.3,"CETIN a.s.",0,35457.084680133,"1.14.17",0.993037805779629,0.986046751827569,0.974885087781771,140,1148,37,0.97853640316958,0,"",1,1,13,1,0,0,1,0,0,0,36950,36950
"GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD",164778.933472981,168676.910351486,0.000431761510263504,0.0205436922736574,0.00631173138786183,0,404138.2,"TEXASNET-ASN",0,34068.772502872,"1.14.17",0.997575068917589,0.99355160796274,0.972370540895853,58,315,38,0.977877473442804,0,"",1,1,14,1,0.009757611,0,1,0,0,0,36925,36925
"6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ",387239.180512131,392904.730027709,0.0108020955985459,0.0335093343298527,0.0335093343298527,0,409726.5,"RELIABLESITE",0,34104.501125081,"1.14.17",0.939331467142336,0.96576512665256,0.985816184721872,311,1823,26,0.977122300627381,0,"",1,1,15,1,0,0,1,0,0,0,36896,36896
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",5433196.91648174,5446793.61196429,0.0147740038910009,0.0116816612390833,0.0116816612390833,1,408266.694,"AMAZON-AES",0,35271.295844647,"1.14.17",0.917023772626017,0.988065409205953,0.982303840801344,547,927,30,0.972703950959341,0,"",1,1,16,1,0,0,1,0,0,0,36729,36729
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",350165.64809173,353506.606228206,0.0331550254537368,0.0151872038632951,0.0151872038632951,0,414424.7,"LATITUDE-SH",6000000000000,44839.728980678,"1.14.17",0.813789210363266,0.984483965105255,0.99712021704358,656,1255,4,0.967943427405199,0,"",1,1,17,1,0,0,1,0.0001441126337261,172,0,36550,36722
"9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6",135542.738395537,149619.894085617,0.0331550254537368,0.0187975919516707,0.0112773498862078,0,413355.4,"LATITUDE-SH",2353187612488630,117019.755344436,"1.14.17",0.813789210363266,0.988478474646835,0.994547444117438,656,887,8,0.966271641272903,0,"",1,1,18,1,1309.814966216,0.00241221205369474,1,0.0565207763995459,67305,2872,36487,106664
"CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9",72063.32072518,76143.6218595099,0.0331550254537368,0.0221652909808832,0.0115239183768574,0,412540.7,"LATITUDE-SH",0,34998.737498081,"1.14.17",0.813789210363266,0.988226567492674,0.992587247631018,656,914,10,0.964744420348415,0,"",1,1,19,1,0,0,1,0,0,0,36429,36429
"5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z",108260.797962753,110492.655180042,0.000283451660737587,0.0122540677713091,0.00935163783446191,4,396820.88,"TIER-NET",2704427055171,33663.507845245,"1.14.17",0.998408031456847,0.990445881923452,0.954764814918185,27,662,53,0.964223853386077,0,"",1,1,20,1,0,0,1,0.0000649535045890313,77,0,36409,36486
"AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t",1138704.80386639,1157826.45761363,0.0331550254537368,0.0140799154379906,0.0140799154379906,0,412283.3,"LATITUDE-SH",3299928276640360,137821.6041361,"1.14.17",0.813789210363266,0.985615228371372,0.991967934294079,656,1172,14,0.964067153233746,0,"",1,1,21,1,62.132464444,0.000114165761319904,1,0.079260341257393,94384,136,36403,130923
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",475358.531437454,478479.820930981,0.0331550254537368,0.0185699481067,0.0185699481067,0,412412.6,"LATITUDE-SH",28169757490035,49411.223951349,"1.14.17",0.813789210363266,0.981027978197256,0.992279034583381,656,1499,11,0.963953595750584,0,"",1,1,22,1,0,0,1,0.000676599006135742,806,0,36399,37205
"EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z",317820.745655093,321892.995497539,0.0331550254537368,0.0173657146349561,0.0173657146349561,0,412305.6,"LATITUDE-SH",0,34961.988058095,"1.14.17",0.813789210363266,0.982258285549234,0.992021588868336,656,1420,13,0.96385019961224,0,"",1,1,23,1,0,0,1,0,0,0,36395,36395
"73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD",26715.651862326,28213.3600353886,0.0331550254537368,0.00584415584415584,0.00519302287000488,0,411198.4,"LATITUDE-SH",0,34937.488431437,"1.14.17",0.813789210363266,0.994694538587518,0.989357627226304,656,234,23,0.962757633198238,0,"",1,1,24,1,0,0,1,0,0,0,36354,36354
"RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh",48482.767150998,48832.4419730702,0.000124985883760346,0.0222222222222222,0.00513347869435694,4,395150.208,"MARKLEY-NETWORK-SERVICES",0,34867.052004797,"1.14.17",0.999298033411528,0.994755372004614,0.950745120080381,9,230,63,0.961600203048575,0,"",1,1,25,1,0,0,1,0,0,0,36310,36310
"Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9",69765.247791176,97885.8121551771,0.00387021590008685,0.00877278325123153,0.00856807884850914,4,396007.872,"Latitude.sh LTDA",741077625000000,100928.825409161,"1.14.17",0.97826344727663,0.991246406409563,0.952808689442512,235,562,54,0.95968155349138,0,"",1,1,26,1,2117.726036035,0.00390004971734767,1,0.0177998130152168,21196,4644,36238,62078
"DujbfBa9RitWFkjhVqyV3h4rp2nsf7ikU7C484TwKShR",14220.188695214,23816.6589665739,0.0000608293298223864,0.015,0.00614741764815737,0,393530.6,"CENTURYLINK-US-LEGACY-QWEST",0,34773.136769276,"1.13.6",0.999658360161565,0.993719479398581,0.946848286999521,3,301,65,0.958578389978224,0,"",1,1,27,1,0,0,1,0,0,0,36196,36196
"GmTownnqSF8zXE4Cy3ZP8daMBPDSc6PnYW6aJLzjwTkz",890551.992143583,892369.383644328,0.00229199548488036,0.0912256120412938,0.0912256120412938,2,398100.696,"GTT Communications Inc.",0,34747.616324842,"1.14.17",0.987127312277925,0.906799184861929,0.957844096649452,177,1828,49,0.958422675070177,0,"",1,1,28,1,0,0,1,0,0,0,36190,36190
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",714334.746631445,729091.787736873,0.00387021590008685,0.0110286167828589,0.0110286167828589,4,395370.624,"Latitude.sh LTDA",808581104861145,84254.844237227,"1.14.17",0.97826344727663,0.98873259328156,0.951275448629234,235,857,62,0.958308767240551,0,"",1,1,29,1,179.008567105,0.000329607601230044,1,0.0194211451454134,23127,392,36186,59705
"FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb",76082.316012008,99032.944659596,0.0331550254537368,0.0048105014952841,0.0048105014952841,0,408703.4,"LATITUDE-SH",0,34756.803684838,"1.14.17",0.813789210363266,0.995085342256948,0.983354570599796,656,199,28,0.958169959152418,0,"",1,1,30,1,0,0,1,0,0,0,36181,36181
"FXRu5NA4ouLGFuZNNWZFwwnvQz9zE7JCX3D23RJTc2NU",33202.598864761,34401.855969561,0.0000880510444174982,0.0125,0.00207831353619548,5,391840.135,"Netrouting B.V.",0,34656.763542653,"1.14.17",0.999505473023021,0.997876687134768,0.942780969516503,6,59,74,0.955745948334295,0,"",1,1,31,1,0,0,1,0,0,0,36089,36089
"8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp",261485.796462512,270659.723081728,0.000692730471125972,0.0111702817523492,0.0111702817523492,5,391671.795,"Blix Solutions AS",0,34614.91001378,"1.14.17",0.996109371467267,0.988587861003666,0.94237593763173,76,876,84,0.954197383096577,0,"",1,1,32,1,0,0,1,0,0,0,36031,36031
"AM3wUMazVnap88dVdE26jdSKBeLTe8EitNS7eTV35Tjd",27773.541609784,27830.5410917424,0.0000712290643592749,0,0,5,390865.34,"ServeTheWorld AS",0,34610.82674267,"1.14.17",0.999599951436082,1,0.940435578901578,5,1,101,0.954119668606765,0,"",1,1,33,1,0,0,1,0,0,0,36028,36028
"BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg",358629.086950792,400174.026718615,0.00102413079892406,0.00915093935499959,0.00915093935499959,5,391423.75,"01node Staking Services S.r.l.",12865518106028,34942.592520324,"1.14.17",0.994248105614485,0.99065092589591,0.941779132749597,107,633,95,0.953610651124681,0,"",1,1,34,1,0,0,1,0.000309025516374452,368,0,36009,36377
"7DrGM5rSgw8iCnXNxgjfmy4GFy6PuKu3gsujT5TjcDaA",167945.088042651,171629.486071,0.00137523216236574,0.0165932014484768,0.0136310559463237,5,391689.845,"Psittacus Systems LIMITED",0,36337.939335059,"1.14.17",0.992276191515965,0.986073806500581,0.942419366558427,158,1145,83,0.953447681162829,0,"",1,1,35,1,0,0,1,0,0,0,36002,36002
"FCvNkHa4U3yh7AXWGGL2jWLWiSRouR8EtzY5WVTHKTHa",161934.824151887,167478.391876605,0.000428658652978653,0.0346732591819863,0.0200260003244399,5,391325.615,"uvensys GmbH",0,34574.077302684,"1.14.17",0.997592495702736,0.979540399758039,0.941543016532346,53,1555,97,0.953088888960536,0,"",1,1,36,1,0,0,1,0,0,0,35989,35989
"AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA",398905.39405242,407793.900598325,0.0331550254537368,0.0125972741922453,0.0125972741922453,5,406173.6,"LATITUDE-SH",730135625000000,52425.117776038,"1.14.17",0.813789210363266,0.98712997154019,0.97726778396503,656,1029,36,0.952875863993617,0,"",1,1,37,1,0,0,1,0.0175369971427549,20883,0,35981,56864
"7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o",284968.421595568,292445.9980853,0.00310094078001711,0.0134248115309028,0.0134248115309028,5,391656.69,"M247 Europe SRL",0,34525.078049369,"1.14.17",0.982583978646934,0.98628451648876,0.942339594477284,207,1118,85,0.951911416811959,0,"",1,1,38,1,0,0,1,0,0,0,35944,35944
"7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh",196472.905022001,298395.719418145,0.00387021590008685,0.0157517738093822,0.0144071195759328,5,391797.29,"Latitude.sh LTDA",3093509335489320,244742.789094949,"1.14.17",0.97826344727663,0.98528093965913,0.942677882958922,235,1203,77,0.951429743369355,0,"",1,1,39,1,31228.563665308,0.0575045574235366,1,0.0743024128336023,88480,68477,35926,192883
"F1FkySZudpAUwfzcgrGVJTrQKFGg2bxBMJooNhRX1RBB",101424.150629708,102363.211229483,0.00225254493222788,0.00505405405405405,0.00475122465931928,5,390265.51,"I P House Limited",0,34483.224520495,"1.14.17",0.987348881058539,0.995145902545963,0.938992367095454,175,194,106,0.950751333509045,0,"",1,1,40,1,0,0,1,0,0,0,35901,35901
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",4202892.34329058,4220374.82201408,0.0109085312318087,0.0152572266188518,0.0152572266188518,5,394372.17,"HURRICANE",0,34459.745711615,"1.14.17",0.938733685567925,0.98441242622763,0.948873133638868,355,1260,64,0.950047010288628,0,"",1,1,41,1,0,0,1,0,0,0,35874,35874
"B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv",495940.706581809,527581.158061202,0.00135051304153703,0.0115369173148171,0.0115369173148171,5,389630.91,"AS40676",0,34547.536040472,"1.14.17",0.992415023169558,0.988213287103684,0.937465497462115,157,916,110,0.94982294677415,0,"",1,1,42,1,8.942926131,0.000016572449223857,1,0,0,20,35866,35886
"4MpRU9fDDSQNNTeb4v5DPZZTKupYancGksH679AKLBnt",161632.214778485,166641.137297846,0.00387021590008685,0.00813693839537966,0.00784453593050474,5,390650.45,"Latitude.sh LTDA",0,34433.204449403,"1.14.17",0.97826344727663,0.991985615368938,0.939918546100588,235,466,102,0.949822920840621,0,"",1,1,43,1,0,0,1,0,0,0,35866,35866
"FnAPJkzf19s87sm24Qhv6bHZMZvZ43gjNUBRgjwXpD4v",159018.420931845,159520.138105766,0.000610304316294925,0.0105575980392157,0.0099257245738421,5,389193.72,"LEVEL3",0,34444.433444954,"1.14.17",0.996572307000199,0.989859365145182,0.936413603142859,72,727,115,0.949780000813398,0,"",1,1,44,1,0,0,1,0,0,0,35864,35864
"ChaossQVry9AgexbXooZoWUTDfhT1x5zsAmTbBqa5142",53399.421906616,60131.187898891,0.0331550254537368,0.00407754010695187,0.00378262535439037,0,403920.3,"LATITUDE-SH",44110881183491,34248.436431694,"1.14.17",0.813789210363266,0.996135473815933,0.971846265930356,656,132,39,0.949398196449694,0,"",1,1,45,1,0,0,1,0.00105948904283069,1262,0,35849,37111
"2giMniq7L6WLUaZwDsfP2fmTbTnsJgVDyBDZJ5vnmtE3",99624.217616528,100555.061095053,0.00263096189207447,0.0105490889347953,0.00786912840840411,6,389449.066,"PERFECT-INTERNATIONAL",0,34376.038653869,"1.14.17",0.985223552546779,0.991960490418443,0.937027974484483,180,470,113,0.948668256950526,0,"",1,1,46,1,0,0,1,0,0,0,35822,35822
"BEARSLRLiizzRK7oJzhDUoPCzP1EG7Xt1WqCLL7zeN81",37641.67081187,37791.4452535982,0.0331550254537368,0.0136111111111111,0.00511968360635636,2,403513.04,"LATITUDE-SH",0,34407.684004968,"1.14.17",0.813789210363266,0.994769465781765,0.970866384230271,656,228,40,0.948539363754693,0,"",1,1,47,1,0,0,1,0,0,0,35817,35817
"gangtRyGPTvYWb8K3xS2feJQaCks4iJ7rytFUPtVqSY",62877.055803808,109554.055142733,0.0331550254537368,0.0215972222222222,0.00593073149733612,5,402279.66,"LATITUDE-SH",100195435303166,85411.77724044,"1.14.17",0.813789210363266,0.99394085720503,0.967898829127264,656,283,42,0.946192889938785,0,"",1,1,48,1,2089.72497209,0.00384849098642901,1,0.00240656516365801,2866,4583,35728,43177
"HQbdXrLm3EuFyu66mCpDS4ir9zRkhNHJVnck4vxG7jEo",132912.364514725,133742.532654442,0.00285894642460916,0.0220698364566304,0.0151077833760636,6,388513.562,"JSC ER-Telecom Holding",0,34332.143489441,"1.14.17",0.983943107750032,0.984565105192814,0.934777119379743,193,1250,117,0.946170962653101,0,"",1,1,49,1,0,0,1,0,0,0,35728,35728
"3TZAkZtKuQe1B3wffyke6WNy9Z7cLVY9xhR3qT1hVEqv",21906.317386359,63654.5822034325,0.0108020955985459,0.0107795698924731,0.00928072582260375,5,391383.755,"RELIABLESITE",0,0,"1.14.17",0.939331467142336,0.990518329311421,0.941682903390969,311,650,96,0.945077715192753,0,"",1,1,50,1,0,0,1,0,0,0,35686,35686
"GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j",118962.802478035,119510.86458326,0.000494640454477381,0.0133188545688546,0.00915694886895776,8,386378.674,"SIA BITE Latvija",0,34184.124911718,"1.14.17",0.997221917692598,0.990644786264868,0.92964050472834,61,636,128,0.944730282225651,0,"",1,1,51,1,0,0,1,0,0,0,35673,35673
"2wUhcnViyzstvWmk7NAboKtjbFbqJPo4BvFBV37dacLc",55405.585375951,57642.4243419942,0.010943300621203,0.0216911764705882,0.00888102303454638,5,391231.375,"MEVSPACE sp. z o.o.",0,0,"1.14.17",0.938538407917985,0.990926686403539,0.941316271820329,357,600,98,0.944705093880215,0,"",1,1,52,1,0,0,1,0,0,0,35672,35672
"81LF3sFyx9aANNhZPTyPEULKHV1mTqd3qho7ZLQghNJL",182449.835026421,184780.255915655,0.0124773614711337,0.0179927186352443,0.0145206024548992,5,391575.655,"marbis GmbH",0,34221.895169482,"1.14.17",0.929922559240234,0.985164999666104,0.942144621453746,542,1214,91,0.943573564052618,0,"",1,1,53,1,0,0,1,0,0,0,35630,35630
"ASe5VJAvTWqPeZXaoKZFk23xzoD3SgXZk1JrkWQx3M1W",1615754.04470749,1619855.80877171,0.00414583929802594,0.0164233414054588,0.0164233414054588,6,387554.574,"SERVERS-COM",0,34210.66617393,"1.14.17",0.976715445130041,0.98322106290077,0.932469760955639,257,1356,124,0.943180735593634,0,"",1,1,54,1,0,0,1,0,0,0,35615,35615
"D3DfFvmLBKkX9JJNEpJRXpM1pYTVPQ5dpPQRc9F49xk4",140031.562158472,140702.187085385,0.00310094078001711,0.0430655878645055,0.0186892147325418,5,386916.285,"M247 Europe SRL",0,34023.856520667,"1.14.17",0.982583978646934,0.980906129228545,0.930934015460217,207,1503,125,0.942724172394198,0,"",1,1,55,1,0,0,1,0,0,0,35597,35597
"mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR",80089.371217581,132371.192055087,0.00387021590008685,0.0152519923703337,0.0111444526482904,6,384203.944,"Latitude.sh LTDA",1542963226836960,178575.448832481,"1.14.17",0.97826344727663,0.988614249355563,0.92440802884162,235,869,134,0.937632417871155,0,"",1,1,56,1,33240.971467004,0.0612094205166921,1,0.0370601344178268,44131,72889,35405,152425
"dcwMB2qjmAwid5KNo2qquBPyDxzdLfe9io8JAxeRU5m",101762.269776974,102414.418119933,0.00263096189207447,0.0055547385620915,0.0055547385620915,7,383113.779,"PERFECT-INTERNATIONAL",0,33993.231987345,"1.14.17",0.985223552546779,0.994324991082203,0.921785054001043,180,254,140,0.937124818168169,0,"",1,1,57,1,0,0,1,0,0,0,35386,35386
"Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",1605949.64868744,1722034.72525718,0.0331550254537368,0.0119085201356488,0.0119085201356488,4,396954.336,"LATITUDE-SH",8507500000000,0,"1.14.17",0.813789210363266,0.987833638395013,0.955085914687783,656,957,52,0.935867015846106,0,"",1,1,58,1,0,0,1,0.00020433880901462,243,0,35339,35582
"6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ",120488.833247995,121959.072923713,0.00495640905467397,0.0114593834727155,0.00639483986605379,7,383215.428,"Amarutu Technology Ltd",2000000000000,33970.773996242,"1.14.17",0.972162987927084,0.9934667000324,0.922029625024301,276,325,138,0.935237609702275,0,"",1,1,59,1,0,0,1,0.0000480296656931993,57,0,35315,35372
"EFEKcHrUBsRoQkuTSJAQNZnj1u8h9oE4LoCYerednc3F",41596.131978651,42017.480784087,0.000107541848902259,0.0385964912280702,0.00849976506360372,7,380992.17,"Scaleway S.a.s.",0,33885.02530294,"1.14.17",0.999396005512617,0.991316199314164,0.916680389084687,8,552,146,0.935147084706636,0,"",1,1,60,1,0,0,1,0,0,0,35311,35311
