vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"DTDvrj1mKFv453DMAGRuFwg77DuLjsfVHnbLe5BJPL9D","0","0","1.18.22","1","1","1","0.99","0.9993764774721666","0.9993764774721666","0.9993764774721666","1","0.9997219773306291","","0","1","1","1","0","0","1","0","0","53917","53917"
"3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ","0","0","1.18.23","1","1","1","1","0.9978264639755938","0.9984791424067433","0.9997621547684228","1","0.9996819023950034","","0","1","1","1","0","0","2","0","0","53741","53741"
"8DHFGo3fDB8GudbNLZEyExLzXQPwvY4twybPbxwDnffx","0","16201.358451261","1.18.23","1","1","1","0.99","0.9991687748383179","0.9991687748383179","0.9991687748383179","1","0.9996616765659633","","0","1","1","1","2.950658629","53.3593","3","3","50","53653","53706"
"o27rnqfNHPwHsRp2xPXXwWzn2q2dGxn6UD4Rt5KMU5h","0","1931.250305113","1.18.23","1","1","1","0.99","0.9991687748383179","0.9991687748383179","0.9991687748383179","1","0.9996616765659633","","0","1","1","1","0.108059428","13925.41671057","4","640","1","53653","54294"
"3eV533fsCb9EkazR6C41rTHnvLfwtzh415U5v5W8hZM4","0","24.088141534","1.18.22","1","1","1","1","0.9888616237373025","0.9988732516675991","0.999886193910039","1","0.9991576702618566","","0","1","1","1","0","300","5","0","0","560","560"
"GxMWXbj3xLVf9bK4rspJ3yjg7cmaLhZX6325brY8J1wi","0","0","1.18.23","1","1","1","0.93","0.9978264639755938","0.9984791424067433","0.9997621547684228","1","0.9990029023950034","","0","1","1","1","0","2.644673327","6","0","0","50913","50913"
"EBGfQMkRqBZ6mj2AJ1UxwKD7MbiuMGJamzKZe2UZrG6B","0","890.45749045","1.18.23","1","1","1","1","0.9850859502372679","0.9993527395829706","0.9993527395829706","1","0.9988916476630753","","0","1","1","1","1e-9","1.881343769","7","0","0","50477","50477"
"H4QVPxS7napq3NEYxqLhxbKi9nJ8s56dD2EQZGsyZ3sb","0","0","1.18.23","1","1","1","0.9","0.9993764774721666","0.9993764774721666","0.9993764774721666","1","0.998848977330629","","0","1","1","0","3.297518276","7.3112731470000005","8","0","0","0","0"
"WiFKWdvXypmu9nk4RwuMDh28YbVAp66TigPHUxH5iYY","0","0","1.18.21","1","1","1","0.96","0.9954887044340158","0.9967958889461142","0.9986321436479633","1","0.9988343758160717","","0","1","1","1","0.093131615","8.093","9","0","1","42219","42220"
"Node56Cr7y4Udym2vPt9DsRbWcBL29JivsGh2drpbKb","0","0","1.18.23","1","1","1","0.96","0.9954887044340158","0.9967958889461142","0.9986321436479633","1","0.9988343758160717","","0","1","1","1","0","0","10","0","0","1078","1078"
"BUyTfHHrp3HQ4TQXaXrRrNuhLsbz23auKYNrxkQRfViP","0","0","1.18.22","1","1","1","0.9","0.9976913244795793","0.9976913244795793","0.9989232525413768","1","0.9985186978246259","","0","1","1","1","0","0","11","0","0","49068","49068"
"Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw","0","3657.000337931","1.18.23","1","1","1","1","0.9906907190381483","0.9991676704852257","0.9991676704852257","0.988296417190947","0.9984563859953152","","0","1","1","1","7.904715899","80.27352268599999","12","2","53","42607","42662"
"9mg9SH69itqkRdy1CudMforH3ju7uR3K8GH8esGx4Mfx","0","0","1.18.22","1","1","1","0.92","0.9888616237373025","0.9988732516675991","0.999886193910039","1","0.9983816702618568","","0","1","1","1","0.407354211","0","13","0","2","30828","30830"
"B1UaJwhZ9rmB6rUwCikMCkYEPVgpGYgmmrKqfAHCZanw","0","0","1.18.22","1","1","1","0.9","0.9978264639755938","0.9993493072604772","0.9982120059154117","0.9962631767485954","0.9983550073190793","","0","1","1","1","0","0","14","0","0","41357","41357"
"NikGQUQqSLtsdHGGx7mQopojZcgd3N9uWFaZQ1r5EXn","0","3898.875070449","1.18.23","1","1","1","0.92","0.9938847476227718","0.9955064259878827","0.99953578357325","1","0.9983347066936191","","0","1","1","1","0","12868.43329421","15","589","0","48402","48991"
"HG574XwiowrjLx8h91KhHUhPeMfmUPBLfC9XrXynj9x","0","0","1.18.23","1","1","1","1","0.991995792842802","0.9927054284007618","0.9956147891748054","1","0.9982118395995843","","0","1","1","0","0","0","16","0","0","0","0"
