vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,865814.180636579,945871.625800738,0.12684596491738254,0.018305791296406516,0.018305791296406516,0,396587.4,TERASWITCH,25.011662454,1.16.18
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,833055.064670178,874764.7452845667,0.007343596652726094,0.08641296364501141,0.08641296364501141,0,396267.3,RELIABLESITE,46523.15446504,1.16.23
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,41504.193153881,62781.5387862424,0.12684596491738254,0.08159201364149876,0.06491885104598266,0,395793.7,TERASWITCH,10.763617936,1.16.20
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,44797.093977257,54863.9296254371,0.12684596491738254,0.09543635762385763,0.06783936749287624,0,395406.0,TERASWITCH,106.673034833,1.16.20
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,636092.412480058,707038.2377941764,0.15087473511860777,0.07721873026132063,0.07721873026132063,0,395286.5,LATITUDE-SH,296.375646851,1.16.23
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,2888333.797191834,2976937.278034264,0.007518909430487472,0.03690944509388507,0.03690944509388507,0,395152.6,AS-WAVE-1,72.033586326,1.16.17
8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW,3527334.586772449,3534180.10603479,0.09408144049283548,0.031194499969506396,0.031194499969506396,1,392565.987,PACKET,0.0,1.16.23
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,1993.413568293,6196.7369308485,0.0014377667521252415,0.0,0.0,0,383358.2,Unknown,0.0,1.16.24
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,891462.167108956,904609.8234270249,0.0808938437649746,0.027223197395250986,0.027223197395250986,0,380815.9,UAB Cherry Servers,3446.480696289,1.16.17
Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,1257709.852272683,1272419.4518860637,0.15087473511860777,0.022337635394229217,0.022337635394229217,4,379620.096,LATITUDE-SH,3326.594408663,1.16.17
