vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"H4QVPxS7napq3NEYxqLhxbKi9nJ8s56dD2EQZGsyZ3sb","0","13754.47380584","1.17.34","1","1","1","0.9","0.999621965476132","0.999621965476132","0.999621965476132","1","0.9982747641704899","","0","1","1","1","0.001430188","1.5211493","1","0","0","21690","21690"
"HQuUQmerqwvBRFo1moWgNPpcc43EJxGUQZmgrrmqA9sA","0","37225.22693307","1.17.34","0.998522519473555","1","1","1","0.9933564157356423","0.9948088283369523","0.998801124764071","0.9953112299002302","0.9981352087120785","","0","1","1","1","0","0","2","0","0","48419","48419"
"D6HbUn4FeyZWiY5ftTAxK1TXmvCLjBoPG9nRsr8z8y5g","0","45309.488263613","1.17.33","1","1","1","1","0.9922186151258983","0.992647921594678","0.9942641781638574","0.9994094696609533","0.9980082789359086","","0","1","1","1","1381.733002775","79.614688549","3","2","4886","47978","52866"
"74PrnaiKU5q8SJX4H9Jis7xyzMUNoSesizn7FhFZaxfG","0","37548.663999786","1.17.34","0.9990439059198071","1","1","0.96","0.9933564157356423","0.9948088283369523","0.9984926566431239","1","0.9979199032984742","","0","1","1","1","0","0","4","0","0","47676","47676"
"GxMWXbj3xLVf9bK4rspJ3yjg7cmaLhZX6325brY8J1wi","0","4767.693864529","1.17.34","0.9971977238492439","1","1","0.93","0.9973625038519874","0.9993649868918995","0.9993649868918995","1","0.9976516501432162","","0","1","1","1","0.021966449","2.644673327","5","0","0","20150","20150"
"JeDosjMNLfyjzj8Zpu27U6s2vbidbKZj4N3in2KRECB","0","20527.864902366","1.17.34","0.9937208196347884","1","1","1","0.9973625038519874","0.9980000670083397","0.9997991434475181","1","0.997584838027966","","0","1","1","1","0","0","6","0","0","46566","46566"
"DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY","0","7433.094685628001","1.17.34","1","1","1","0.92","0.9948021131794811","0.9948021131794811","0.9963369072081576","1","0.9973965869267754","","0","1","1","1","924.5154644150001","1177.6620242089998","7","10","1238","17560","18808"
"P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX","0","33199.567346415","1.17.34","1","1","1","1","0.9741473476136783","0.9981049053972022","0.9949693893443936","0.9953129898977613","0.9971971918900665","","0","1","1","1","9.705353302999999","1.722849011","8","0","34","45354","45388"
"8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf","0","23310.435803116998","1.17.34","1","1","1","0.99","0.9933564157356423","0.9948088283369523","0.9984926566431239","0.9764775674064856","0.9971953896086324","","0","1","1","1","0.721592379","0","9","0","3","45348","45351"
"5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX","0","5917.417340195","1.17.34","0.9989515705128252","1","1","1","0.9741473476136783","0.9981049053972022","0.9949693893443936","1","0.9971613765782189","","0","1","1","1","22.237275771","12.011056904","10","0","79","45245","45324"
"Cc7UtVq4G25VbC3w6Ccs2XL2xikjc926q1sHp8zfddoL","0","4840.868250715","1.17.34","0.9994245464033377","1","1","0.92","0.9922186151258983","0.9995769869233504","0.9991455789265188","0.9856175137499249","0.99694087091165","","0","1","1","1","0","0","11","0","0","44592","44592"
"3CnKZPQn92W8WXG7KTVaFQRk8LJJ3KZbrVVF4ngUxqkg","0","3251.381026084","1.17.34","1","1","1","1","0.9874995661727758","0.9874995661727758","0.9908657920793991","1","0.996805193521983","","0","1","1","1","0","0","12","0","0","44200","44200"
"H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC","0","43595.191847691","1.17.31","1","1","1","1","0.9741473476136783","0.9851284944949644","0.9981706674532647","1","0.9966568660814616","","0","1","1","1","24.133082315","7.940640003","13","0","86","43782","43868"
"2bm3fmyLq12943jC1UePUcvFho7y1bUik8PisvsRc2yq","0","8439.125408435","1.17.34","0.9969923405265875","1","1","0.92","0.9814331024081286","0.9997834516617046","0.9998640899852304","1","0.996501042742199","","0","1","1","1","1e-9","1.005142668","14","0","0","43354","43354"
"5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z","0","42270.504300903995","1.17.34","1","1","1","1","0.9985176024586392","0.9985176024586392","0.9985176024586392","0.9521872177107177","0.9964849308886835","","0","1","1","1","456.425725345","1270.5571434830001","15","31","1613","43310","44954"
"9PzBVUpbEGcGxnjxq4WvJMnScwvQTY2wFrfMZv8FEPjC","0","34862.163356164","1.17.34","1","1","1","1","0.9741473476136783","0.9851284944949644","0.9964238732053193","1","0.9964314732752751","","0","1","1","1","25.374553523000003","0","16","0","90","43166","43256"
"DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45","0","27801.434215442998","1.17.34","0.9997285138714634","1","1","0.95","0.9933564157356423","0.99912750259898","0.9993879324353557","0.9677410146078587","0.9964314269980643","","0","1","1","1","594.548604229","17789.209518295","17","433","2102","43166","45701"
"9KCBBdzx4cGZg14YaqBuZd1tGUvo9ohYnW7KEqQes1E1","0","36582.807970407","1.17.34","0.9996750140132309","1","1","0.92","0.9922186151258983","0.992647921594678","0.9991455789265188","0.9848581012926861","0.9963021178535348","","0","1","1","1","0","0","18","0","0","42822","42822"
