"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1043535.69801656,1137078.98360662,0.0028900940259319,0.0104428712481979,0.0104428712481979,0,420687.5,"AS-WAVE-1",0,34036.757953387,"1.13.5",0,0.985089052824437,0.98250322053651,0.998681520804267,202,1324,3,0.995345887248312,0,"",1,1,1,1,1,0,0,27507,27507
"5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z",98602.803787998,105142.359395982,0.000272981928432935,0.00602114898989898,0.00442246399047647,0,418303.2,"TIER-NET",2704427055171,33839.240622588,"1.13.6",0,0.998591596301634,0.992590268012741,0.993021366057446,38,533,10,0.993845163168498,0,"",1,1,2,1,1,0.0000784887689744272,74,27466,27540
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",114204.80993388,116159.210391329,0.000295299531688461,0.0071152607611817,0.00612729189013978,0,418268.5,"Web Werks India Pvt. Ltd.",0,31182.887578806,"1.13.5",0,0.998476452434257,0.989733869894383,0.992938990781803,44,799,13,0.993544360198533,0,"",1,1,3,1,1,0,0,27457,27457
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",84489.861041432,85105.3014403079,0.00117946164184408,0,0,0,418184.5,"CETIN a.s.",0,27583.514776057,"1.13.6",0,0.993914768834737,1,0.992739580892639,111,1,15,0.993478872815067,0,"",1,1,4,1,1,0,0,27456,27456
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",89880.505501158,98525.8139899805,0.000250406917864001,0.00654885654885654,0.00345805630444019,0,417942.8,"MWAY",25152661503971,31513.98614579,"1.13.6",0,0.99870806821814,0.994206109881747,0.992165802675843,33,380,21,0.993329251775112,0,"",1,1,5,1,1,0.000730243956618023,692,27452,28144
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",473872.522048942,493011.09610585,0.00125322032002756,0.00521022713297894,0.00521022713297894,0,418283.9,"ALLNODES",0,30002.665964719,"1.13.6",0,0.993534223515358,0.991270389825388,0.992975549261483,115,666,12,0.992930333036226,0,"",1,1,6,1,1,0,0,27440,27440
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",41939.795538519,42059.3067385224,0.000106923098419366,0.499886363636364,0.0169393011942422,0,418173.6,"ZEN-ECN",0,32127.338022963,"1.13.5",0,0.99944834851113,0.971618608501715,0.992713705085593,15,1608,16,0.992127104336916,0,"",1,1,7,1,1,0,0,27418,27418
"GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD",119128.755890202,130014.916539486,0.00033050755991739,0.0122921991062235,0.00794061316751032,0,417509.2,"TEXASNET-ASN",0,31082.945444719,"1.13.6",0,0.998294802617897,0.986695693732623,0.991136467819398,47,1087,26,0.991896152089415,0,"",1,1,8,1,1,0,0,27412,27412
"MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F",71955.47308012,74526.1214118961,0.00209240230410657,0.033767413319843,0.00992682486541533,0,418291.3,"ORACLE-BMC-31898",0,29128.244153691,"1.13.6",0,0.989204607204259,0.98336784383195,0.992993116323147,155,1284,11,0.991669863190149,0,"",1,1,9,1,1,0,0,27406,27406
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",316464.150738598,392441.778500044,0.000997069420887838,0.0102172372859891,0.0102172372859891,0,417692.7,"COGENT-174",28169757490035,31787.141858109,"1.13.7",0,0.994855790388884,0.982881264810197,0.991572083470131,104,1308,24,0.991408744637636,0,"",1,1,10,1,1,0.000817821763366956,775,27398,28173
